timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,13.83,13.87,13.52,13.77,19219059,13.704,51560
2023-05-03,13.79,14.04,13.68,13.79,18611814,13.837,49621
2023-05-04,13.79,13.89,13.35,13.51,20211545,13.501,51956
2023-05-05,13.73,13.95,13.62,13.87,17581494,13.848,45378
2023-05-08,14.34,14.66,14.23,14.36,31179512,14.45,73226
2023-05-09,14.38,14.56,14.21,14.47,16716680,14.449,43624
2023-05-10,14.65,14.7,14.05,14.34,18980352,14.277,46669
2023-05-11,14.26,14.29,14.02,14.07,14689556,14.111,37675
2023-05-12,14.18,14.2,13.87,14.02,15346038,13.982,40074
2023-05-15,14.05,14.32,13.92,14.28,13140789,14.192,32161
2023-05-16,14.21,14.45,13.96,14.2,15438561,14.226,37484
2023-05-17,14.4,15.01,14.36,14.91,31153948,14.794,76793
2023-05-18,14.91,15.08,14.8,15.05,18295324,14.963,47696
2023-05-19,15.07,15.09,14.62,14.82,14237316,14.816,38139
2023-05-22,14.92,14.98,14.1,14.38,24914401,14.37,71767
2023-05-23,14.35,14.64,14.07,14.07,25724875,14.337,63781
2023-05-24,13.98,13.98,13.55,13.8,27010248,13.704,73008
2023-05-25,13.88,14.39,13.8,14.38,25463014,14.186,69381
2023-05-26,14.41,14.54,14.28,14.35,15188114,14.395,39803
2023-05-30,14.44,14.75,14.42,14.62,18202304,14.599,48763
2023-05-31,15.09,15.11,14.48,14.78,26334068,14.739,69069
2023-06-01,14.87,14.88,14.61,14.7,18556346,14.75,42314
2023-06-02,14.9,15.07,14.64,14.87,26040982,14.911,59051
2023-06-05,14.88,14.91,14.68,14.81,12564003,14.783,37131
2023-06-06,14.81,15.02,14.7,14.93,13786122,14.915,34923
2023-06-07,15.02,15.27,14.9,15.16,16928192,15.109,43839
2023-06-08,15.16,15.6,15.09,15.3,18917426,15.382,47435
2023-06-09,15.33,15.67,15.31,15.57,18084168,15.551,48604
2023-06-12,15.75,16.37,15.73,16.02,25235922,16.091,68481
2023-06-13,16.25,16.35,16.1,16.31,17066238,16.251,46061
2023-06-14,16.39,16.7,16.31,16.59,20231299,16.539,54717
2023-06-15,16.46,16.65,16.4,16.65,14761642,16.564,39868
2023-06-16,16.67,16.72,16.43,16.48,17800525,16.566,43457
2023-06-20,16.38,16.43,16.15,16.32,13627985,16.279,37088
2023-06-21,16.25,16.35,16.0,16.3,15976261,16.214,42667
2023-06-22,16.23,16.39,16.07,16.36,10280602,16.278,29364
2023-06-23,15.94,16.33,15.92,16.26,15363936,16.162,38261
2023-06-26,16.15,16.49,16.11,16.44,16770189,16.309,38357
2023-06-27,16.53,17.48,16.52,17.35,36400563,17.194,87184
2023-06-28,17.35,17.58,17.28,17.55,22976882,17.466,50788
2023-06-29,17.67,17.98,17.53,17.6,17252384,17.715,45297
2023-06-30,17.76,17.99,17.67,17.94,15675676,17.847,38952
2023-07-03,17.85,18.18,17.82,18.1,11286697,18.066,23718
2023-07-05,17.98,18.42,17.89,18.32,17263603,18.267,39310
2023-07-06,18.03,18.15,17.67,17.88,22503256,17.862,48188
2023-07-07,17.95,18.55,17.93,18.35,18052451,18.332,43380
2023-07-10,18.36,18.72,18.29,18.57,19106139,18.588,45572
2023-07-11,18.64,18.87,18.44,18.8,20803818,18.692,48841
2023-07-12,18.93,19.07,18.49,18.57,20676546,18.666,53337
2023-07-13,19.05,19.08,18.24,18.45,25526996,18.53,61354
2023-07-14,18.42,18.56,17.96,18.14,20624371,18.176,48494
2023-07-17,18.04,18.38,18.0,18.18,13056643,18.23,32620
2023-07-18,18.2,18.72,18.2,18.68,14087229,18.547,34385
2023-07-19,18.7,18.8,18.44,18.6,17350520,18.563,46496
2023-07-20,18.15,18.17,17.28,17.44,45675271,17.574,130284
2023-07-21,17.5,17.67,17.1,17.42,25526412,17.378,66144
2023-07-24,17.29,17.32,16.86,16.88,25413926,16.979,66280
2023-07-25,16.57,16.83,16.19,16.65,33977384,16.547,87877
2023-07-26,16.71,16.9,16.51,16.76,19377649,16.681,48051
2023-07-27,16.51,16.69,16.34,16.57,20192038,16.53,52544
2023-07-28,16.79,16.86,16.59,16.79,16614703,16.713,39836
2023-07-31,16.84,16.87,16.59,16.75,18378884,16.686,42873
2023-08-01,16.53,16.54,15.94,16.23,28651718,16.16,64943
2023-08-02,16.0,16.11,15.77,15.95,27034742,15.939,57394
2023-08-03,15.75,16.02,15.7,15.98,37609148,15.846,74284
