timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,43.06,43.42,42.13,43.37,1024306,42.962,5706
2023-05-03,43.45,44.4,43.11,43.47,888364,43.705,5519
2023-05-04,43.16,43.3,41.69,42.09,1202415,42.121,6222
2023-05-05,42.58,43.39,42.4,43.16,826207,42.981,5272
2023-05-08,43.33,43.67,42.93,43.46,821503,43.398,4995
2023-05-09,43.45,44.2,43.06,43.9,1000663,43.816,5255
2023-05-10,44.63,44.66,42.47,43.11,714680,43.233,4626
2023-05-11,43.02,43.25,42.68,43.05,816106,42.957,4654
2023-05-12,43.21,43.26,42.27,42.72,684877,42.67,4331
2023-05-15,42.86,43.39,42.63,43.34,840241,43.166,5464
2023-05-16,43.17,43.31,42.57,42.64,919243,42.873,5464
2023-05-17,43.16,45.33,43.1,45.25,1464998,44.53,9236
2023-05-18,45.25,45.51,44.71,45.12,737174,45.11,4783
2023-05-19,45.25,45.3,44.14,44.52,554534,44.584,3352
2023-05-22,44.8,45.12,44.26,44.92,733376,44.848,4874
2023-05-23,44.86,45.81,44.75,44.83,668688,45.211,4386
2023-05-24,44.38,44.53,43.35,44.03,631496,43.85,4304
2023-05-25,44.08,45.14,44.0,45.12,644767,44.787,4319
2023-05-26,45.3,45.76,45.02,45.1,614889,45.258,3889
2023-05-30,45.3,45.99,45.08,45.21,780280,45.406,4775
2023-05-31,45.75,45.75,44.42,44.93,716306,44.899,4448
2023-06-01,45.09,45.3,44.36,44.84,609995,44.915,3920
2023-06-02,45.43,46.49,45.21,46.1,755697,46.066,4859
2023-06-05,46.04,46.33,45.51,46.28,487312,46.088,3161
2023-06-06,45.98,47.54,45.8,47.46,547451,47.206,3498
2023-06-07,47.74,48.41,47.49,48.36,665650,48.109,4253
2023-06-08,48.09,48.87,48.05,48.65,670428,48.592,3877
2023-06-09,48.82,49.28,48.65,48.65,718187,48.923,4525
2023-06-12,49.1,50.0,49.03,49.58,631803,49.557,3961
2023-06-13,49.79,50.82,49.75,50.82,1341653,50.451,6773
2023-06-14,50.9,51.02,50.01,50.44,960277,50.583,6355
2023-06-15,50.06,50.38,49.75,50.34,884694,50.126,5359
2023-06-16,50.64,50.99,50.06,50.42,848572,50.555,4308
2023-06-20,49.96,50.16,49.32,49.51,632851,49.62,4274
2023-06-21,49.34,49.84,49.02,49.58,653562,49.515,4336
2023-06-22,49.21,49.79,48.78,49.67,819744,49.462,4506
2023-06-23,48.75,49.89,48.63,49.25,956681,49.278,6048
2023-06-26,49.72,50.3,49.05,49.96,576064,49.886,3701
2023-06-27,50.35,52.28,50.14,51.93,896502,51.606,5050
2023-06-28,52.13,52.51,51.83,52.44,804590,52.321,4814
2023-06-29,52.57,53.09,52.13,52.27,707701,52.452,4214
2023-06-30,52.54,53.4,52.23,53.18,859793,52.928,5213
2023-07-03,53.07,53.74,52.96,53.19,374429,53.384,2351
2023-07-05,52.92,54.29,52.5,53.65,1005681,53.711,6255
2023-07-06,53.18,53.32,52.26,52.79,491636,52.769,3146
2023-07-07,52.97,54.47,52.81,53.75,828733,53.898,5451
2023-07-10,53.75,55.57,53.75,55.55,1187552,55.167,7496
2023-07-11,55.61,56.49,55.47,56.34,884058,56.12,4920
2023-07-12,56.76,57.1,55.76,55.99,1398688,56.116,5968
2023-07-13,57.15,57.18,54.29,54.34,1929618,54.965,10158
2023-07-14,54.06,54.06,52.06,52.36,1345082,52.696,7475
2023-07-17,52.22,52.64,51.77,52.16,749123,52.343,4380
2023-07-18,52.42,53.45,52.41,53.42,698997,53.073,4428
2023-07-19,53.26,54.47,52.83,54.43,846577,53.965,4988
2023-07-20,54.09,54.2,52.73,54.08,990880,53.75,6141
2023-07-21,54.36,54.66,53.76,54.15,448143,54.166,2767
2023-07-24,53.65,53.94,53.2,53.33,1333444,53.477,7242
2023-07-25,50.36,50.55,46.45,48.18,7763159,47.753,35090
2023-07-26,48.06,48.43,47.13,47.86,2453897,47.704,13148
2023-07-27,47.3,47.53,46.6,47.14,2315751,47.048,11374
2023-07-28,47.45,48.48,47.34,48.12,1274828,48.015,7378
2023-07-31,48.1,48.71,48.04,48.63,875931,48.374,5093
2023-08-01,48.0,48.23,47.17,47.9,1513877,47.803,7675
2023-08-02,47.15,48.12,47.12,47.92,1453728,47.902,7792
2023-08-03,47.49,47.56,46.62,46.81,1200733,46.931,6787
2023-08-04,46.94,47.25,46.5,46.74,1065456,46.772,6815
2023-08-07,46.77,47.22,46.1,46.79,999425,46.56,5517
