timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,112.92,113.39,111.2,112.16,2277490,112.445,15640
2023-05-03,111.94,115.27,111.88,113.29,2997159,113.417,18235
2023-05-04,113.03,113.41,111.72,112.45,1631067,112.444,10809
2023-05-05,113.7,116.62,112.97,116.06,2021737,115.362,14332
2023-05-08,116.74,117.59,114.93,115.75,1414139,115.931,9388
2023-05-09,114.08,114.41,112.86,113.84,1573195,113.658,10661
2023-05-10,115.4,116.24,114.14,115.41,1964618,115.436,12197
2023-05-11,115.29,115.84,113.91,115.46,1720886,114.716,11385
2023-05-12,116.71,117.07,114.99,116.09,2282114,115.861,13315
2023-05-15,116.69,121.26,116.02,121.11,2763771,119.506,17183
2023-05-16,120.79,123.07,120.44,120.92,2698345,121.807,16870
2023-05-17,122.25,126.3,121.88,125.7,3630089,124.928,22825
2023-05-18,125.81,132.06,125.76,129.92,5942858,129.936,35516
2023-05-19,128.16,128.39,125.25,126.95,5802070,126.705,37299
2023-05-22,127.23,127.56,125.65,126.55,2708821,126.462,18344
2023-05-23,125.89,126.73,124.19,124.49,2034416,124.897,14401
2023-05-24,121.92,122.62,120.18,121.73,3084697,121.212,20958
2023-05-25,127.3,130.73,126.12,130.47,5360383,128.644,29411
2023-05-26,130.72,136.69,129.98,136.06,4428314,134.368,26611
2023-05-30,138.0,138.8,135.48,136.57,4358627,136.845,24770
2023-05-31,133.6,135.75,132.16,133.3,3743186,133.446,24053
2023-06-01,133.93,136.19,131.69,134.83,2504720,134.445,15796
2023-06-02,135.26,135.33,132.38,134.63,2498241,134.148,16594
2023-06-05,134.95,135.15,133.04,133.73,1969760,133.92,13132
2023-06-06,131.35,135.35,130.75,133.94,2854441,133.484,17973
2023-06-07,135.2,137.04,133.58,135.01,2614031,135.33,15606
2023-06-08,135.85,136.76,134.15,136.2,2413800,135.939,13937
2023-06-09,137.84,137.98,135.82,136.12,1999026,136.763,12280
2023-06-12,137.78,140.23,136.83,140.01,2840652,139.009,17854
2023-06-13,141.33,142.53,139.4,141.79,3547807,141.311,20533
2023-06-14,138.41,141.36,138.23,141.17,3486063,140.169,20856
2023-06-15,138.69,141.43,137.93,140.11,2681293,139.715,18310
2023-06-16,140.89,140.95,138.13,138.93,3630887,139.794,18928
2023-06-20,139.11,140.32,137.27,138.52,1916991,138.46,13317
2023-06-21,138.49,139.16,135.87,136.67,1736702,137.186,11794
2023-06-22,135.08,139.6,134.95,138.92,1944728,138.319,13104
2023-06-23,136.06,136.79,134.84,136.07,2787539,135.786,19866
2023-06-26,136.34,140.87,136.34,139.8,3761057,140.012,24414
2023-06-27,140.15,146.69,139.96,146.55,3662191,143.991,24027
2023-06-28,142.82,145.92,142.05,144.03,3657293,144.045,24306
2023-06-29,144.69,145.25,143.51,144.23,1753021,144.317,11905
2023-06-30,145.47,145.56,143.44,144.54,2871723,144.661,20338
2023-07-03,144.02,145.91,143.38,145.47,1349279,144.472,8384
2023-07-05,144.22,144.92,142.16,142.26,2674587,143.216,18456
2023-07-06,140.65,141.33,138.75,140.38,2686389,139.805,18822
2023-07-07,139.61,142.12,139.41,139.57,1453437,140.456,10065
2023-07-10,139.78,141.88,139.7,140.56,3843846,140.854,21991
2023-07-11,140.18,140.44,134.01,137.56,4564121,136.28,28280
2023-07-12,139.36,139.7,137.85,138.89,2875923,138.878,19257
2023-07-13,140.17,143.66,140.02,142.65,2839534,142.498,17734
2023-07-14,144.15,145.39,142.38,142.74,3304662,143.964,20993
2023-07-17,142.98,146.5,141.83,145.5,3485366,145.048,20861
2023-07-18,143.8,145.15,141.91,144.51,3475642,143.48,21052
2023-07-19,144.08,144.65,141.18,141.78,2922585,142.282,17225
2023-07-20,137.82,138.19,133.52,134.04,5018081,135.35,35586
2023-07-21,135.17,137.3,135.15,136.4,3218908,136.22,21646
2023-07-24,137.54,139.08,136.85,138.35,2838536,137.926,19749
2023-07-25,138.68,141.4,138.5,140.06,1939420,140.298,13583
2023-07-26,137.64,140.29,136.81,139.02,1961686,138.511,13783
2023-07-27,144.21,150.43,144.06,146.14,5011389,147.465,32821
2023-07-28,149.39,153.28,148.7,151.93,3831771,151.656,25394
2023-07-31,151.81,152.68,150.52,151.59,1772681,151.683,11762
2023-08-01,150.71,152.86,150.28,152.63,1478650,152.063,9975
2023-08-02,150.62,150.62,146.88,147.33,2388058,147.931,16461
2023-08-03,146.0,148.7,145.36,147.81,2097637,147.245,14525
2023-08-04,147.71,149.07,145.07,145.66,2041147,146.795,15087
2023-08-07,147.11,150.69,147.03,150.38,1992114,149.448,13627
2023-08-08,148.2,148.31,145.9,148.01,1475855,147.141,10303
2023-08-09,147.98,148.91,144.8,145.16,2518293,146.167,15838
2023-08-10,146.87,147.98,143.1,144.61,1933681,145.466,13283
2023-08-11,142.28,142.47,138.53,138.83,2340379,139.876,16904
2023-08-14,138.2,141.93,137.67,141.89,1917446,140.608,12874
2023-08-15,141.27,141.85,139.73,140.08,1562394,140.664,11442
2023-08-16,140.53,141.26,138.17,138.25,1712931,139.411,11997
2023-08-17,139.11,139.79,136.57,137.59,2854155,137.888,18256
2023-08-18,137.33,143.65,135.53,142.66,7166090,140.699,36139
2023-08-21,143.37,149.22,143.16,148.77,4179236,146.735,27914
2023-08-22,150.88,151.15,146.94,147.85,2577085,148.691,16003
2023-08-23,147.01,148.58,146.05,148.0,2571133,147.655,16959
2023-08-24,149.54,149.95,141.82,142.52,3054177,144.747,20115
2023-08-25,143.33,144.96,140.96,144.36,2236206,143.355,15796
2023-08-28,145.31,147.19,144.04,145.42,1613876,145.084,10993
2023-08-29,143.88,150.52,143.86,149.98,2373799,149.103,15385
2023-08-30,149.21,151.57,148.18,150.95,1980261,150.381,13162
2023-08-31,149.36,153.39,149.36,152.76,2615618,152.236,17295
2023-09-01,154.4,154.54,152.5,153.99,1530035,153.774,10156
2023-09-05,153.97,154.82,152.31,153.61,1761228,153.768,12606
2023-09-06,153.28,155.26,151.55,153.18,1451736,153.104,9933
2023-09-07,149.22,149.49,145.13,148.23,3250079,147.279,21754
2023-09-08,147.73,148.5,146.18,147.53,1752009,147.232,12795
2023-09-11,150.0,150.0,144.04,146.71,1962086,146.277,14949
2023-09-12,146.03,146.44,143.72,143.97,2128285,144.856,14114
2023-09-13,144.21,147.11,143.8,144.58,2013086,145.389,15129
2023-09-14,146.52,146.71,143.94,144.57,2459865,144.919,16399
2023-09-15,140.75,141.22,136.71,138.25,6150233,139.023,32804
2023-09-18,137.85,140.98,137.52,140.27,3206815,139.981,22371
2023-09-19,139.71,140.05,136.67,137.71,3347957,137.699,22632
2023-09-20,138.66,139.66,136.89,136.97,2643088,137.998,19340
2023-09-21,134.92,137.52,134.92,135.19,2554429,135.899,18243
2023-09-22,136.99,138.31,135.75,136.17,2856903,136.966,20729
2023-09-25,135.86,137.04,134.71,136.59,3142045,136.072,23094
2023-09-26,135.61,136.03,133.54,134.08,2735114,134.494,19554
2023-09-27,135.22,136.07,133.1,135.06,3252016,134.671,24490
2023-09-28,134.68,139.8,134.28,138.22,2858348,137.982,20888
2023-09-29,140.23,141.56,138.07,138.45,2217525,139.376,16394
2023-10-02,138.86,141.41,137.26,139.51,2707792,139.256,19852
2023-10-03,138.68,140.01,135.43,136.72,3015392,137.31,19891
2023-10-04,137.54,139.61,136.97,139.3,2904944,138.572,18664
2023-10-05,139.45,140.15,137.78,139.28,2222646,139.119,14478
2023-10-06,138.05,141.16,135.15,140.29,2662072,139.442,18912
2023-10-09,139.47,140.93,137.76,140.15,1732536,139.734,12663
2023-10-10,140.99,142.73,140.35,141.4,1695579,141.642,11696
2023-10-11,142.82,142.94,140.81,142.18,2957084,141.962,20923
2023-10-12,143.0,148.4,142.77,145.0,4828731,146.241,31794
2023-10-13,147.05,147.11,140.72,141.14,3352542,142.344,23604
2023-10-16,141.76,142.66,139.73,141.0,3058624,141.285,21186
2023-10-17,139.13,142.79,136.81,142.72,3505885,140.881,23186
2023-10-18,139.99,142.48,138.1,141.45,2689993,140.779,19088
2023-10-19,142.77,143.05,133.77,134.43,5168355,136.063,35228
2023-10-20,134.49,136.15,133.36,134.12,3386286,134.749,23097
2023-10-23,133.25,135.81,131.9,134.23,2057840,134.327,13987
2023-10-24,135.33,135.55,133.51,134.9,2718673,134.591,18713
2023-10-25,133.19,133.26,129.75,130.11,3529643,131.089,25328
2023-10-26,131.18,134.41,130.51,130.84,2698587,132.035,17342
2023-10-27,131.27,133.11,130.56,131.3,2354483,131.377,17376
2023-10-30,131.69,132.96,129.82,131.03,2553637,131.216,17048
2023-10-31,131.82,132.55,129.21,132.35,1941417,131.526,14162
2023-11-01,133.03,135.83,132.77,135.29,1951038,134.225,13767
2023-11-02,137.94,139.78,136.67,138.51,3229381,138.719,20162
2023-11-03,139.49,141.77,139.07,139.75,2610084,140.408,17726
2023-11-06,140.4,140.79,139.21,140.36,2298038,140.19,16563
2023-11-07,139.97,141.92,139.69,141.74,2724945,141.281,16716
2023-11-08,142.37,144.53,141.61,144.23,2161569,143.664,14841
2023-11-09,144.9,147.21,142.89,143.17,2397474,145.151,15930
2023-11-10,145.23,150.99,144.67,150.68,3027082,148.847,20152
2023-11-13,149.0,150.25,147.55,149.74,2053076,149.41,14126
2023-11-14,153.03,154.91,152.14,154.08,3362776,153.652,19580
2023-11-15,155.0,156.77,154.06,155.37,2096403,155.441,13570
2023-11-16,155.4,157.76,151.2,154.81,4446134,155.635,29197
2023-11-17,142.17,149.05,141.94,148.59,12508223,147.133,68130
2023-11-20,149.01,153.0,148.81,152.57,3820262,150.939,24047
2023-11-21,151.57,151.81,148.16,149.25,3677114,149.204,25115
2023-11-22,151.04,153.79,149.02,149.48,2707643,150.395,17615
2023-11-24,149.33,150.66,149.32,150.34,914729,149.994,5935
2023-11-27,149.49,151.76,148.77,150.81,1680693,150.714,12524
2023-11-28,149.36,149.99,146.5,148.06,2764817,147.933,17573
2023-11-29,150.24,152.82,148.85,149.36,2611752,150.786,18011
2023-11-30,150.41,150.48,147.04,149.78,1926065,148.771,12201
2023-12-01,149.36,151.98,148.63,151.59,2009547,150.883,14788
2023-12-04,149.9,150.66,145.65,148.27,2422456,147.601,16397
2023-12-05,146.58,147.47,145.22,146.15,2741129,146.381,18131
2023-12-06,148.68,148.72,144.69,144.7,2003583,145.992,12978
2023-12-07,146.96,148.54,144.57,148.39,2264731,146.966,14999
2023-12-08,147.52,148.81,145.99,147.72,2018029,147.471,13541
2023-12-11,149.39,155.66,149.03,155.14,3292334,154.27,20848
2023-12-12,155.15,158.18,154.64,157.22,2616460,157.201,16843
2023-12-13,157.03,158.38,154.62,156.99,3151102,156.47,21275
2023-12-14,157.85,163.06,157.7,161.74,3420203,161.16,21943
2023-12-15,162.21,164.21,161.48,161.95,3281964,162.231,13541
2023-12-18,161.08,161.35,157.73,160.36,2174798,159.425,14658
2023-12-19,160.58,162.73,160.02,162.33,1715297,161.751,11879
2023-12-20,160.81,162.0,156.83,156.92,2372595,159.516,16411
2023-12-21,161.0,161.82,159.58,161.39,1666020,160.8,11247
2023-12-22,161.6,163.0,160.84,162.05,1105741,162.086,7382
2023-12-26,162.31,164.98,162.1,164.28,973889,164.33,6680
2023-12-27,164.54,164.99,163.53,164.21,1194175,164.077,7930
2023-12-28,165.25,165.25,162.85,163.12,1266265,163.549,8671
2023-12-29,163.11,163.56,160.7,162.07,1236695,162.05,8509
2024-01-02,159.73,160.11,153.43,154.37,4189604,155.692,29169
2024-01-03,151.71,153.17,150.73,151.45,2702568,151.766,19139
2024-01-04,150.06,152.0,148.75,149.31,2510268,150.241,17238
2024-01-05,150.24,151.52,148.05,149.0,2448121,149.227,17065
2024-01-08,149.89,152.79,149.72,151.56,2862468,151.821,20714
2024-01-09,149.87,151.69,148.93,151.03,2930884,150.633,20601
2024-01-10,151.69,151.9,148.24,149.81,2429461,149.651,16071
2024-01-11,150.25,152.44,148.48,151.95,2956725,150.598,20395
2024-01-12,152.2,152.4,150.37,151.25,1705927,151.306,12018
2024-01-16,151.3,154.24,149.84,153.76,3282774,152.475,18298
2024-01-17,153.11,153.75,150.2,153.37,2797721,151.902,18993
2024-01-18,158.66,160.74,156.77,160.34,3703619,159.07,24421
2024-01-19,162.57,168.28,162.3,167.94,4382976,165.523,26832
2024-01-22,168.18,171.91,167.64,168.3,3383038,168.935,23324
