timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,28.85,28.86,27.71,28.16,58948268,28.076,152870
2023-05-03,28.16,28.5,27.81,27.86,42055992,28.197,113404
2023-05-04,27.58,27.82,26.83,26.99,68280438,27.149,192217
2023-05-05,27.62,27.89,27.47,27.71,41113483,27.713,106964
2023-05-08,28.08,28.15,27.66,27.69,26729954,27.821,69371
2023-05-09,27.42,27.83,27.24,27.66,26576400,27.586,75226
2023-05-10,27.96,28.0,27.02,27.32,36318057,27.374,112367
2023-05-11,27.01,27.49,26.88,27.39,29059216,27.253,82948
2023-05-12,27.53,27.55,26.88,27.09,32222862,27.063,81390
2023-05-15,27.1,27.82,27.03,27.65,30455661,27.537,86541
2023-05-16,27.78,27.9,27.33,27.36,26323324,27.491,74358
2023-05-17,27.74,28.67,27.73,28.57,44955538,28.323,120088
2023-05-18,28.44,28.5,28.0,28.47,43912478,28.241,118570
2023-05-19,28.46,28.67,28.03,28.11,30807048,28.293,80019
2023-05-22,28.3,28.45,28.01,28.34,30507592,28.238,81578
2023-05-23,28.32,29.08,28.3,28.58,37063583,28.778,104851
2023-05-24,28.33,28.51,28.0,28.1,37337640,28.15,104931
2023-05-25,27.99,28.24,27.87,28.17,30830936,28.077,91778
2023-05-26,28.2,28.4,27.79,28.31,45575811,28.155,110421
2023-05-30,28.32,28.49,27.95,28.26,34496862,28.134,82045
2023-05-31,28.1,28.16,27.48,27.79,38200113,27.729,106407
2023-06-01,27.76,27.98,27.34,27.78,49400808,27.739,133614
2023-06-02,28.16,28.95,28.12,28.71,55712763,28.714,149416
2023-06-05,28.82,28.84,28.3,28.54,29598312,28.571,84008
2023-06-06,28.46,29.43,28.45,29.23,36060902,29.138,104767
2023-06-07,29.3,29.65,29.01,29.48,36490441,29.392,114339
2023-06-08,29.31,29.38,28.99,29.23,35181826,29.168,97646
2023-06-09,29.2,29.4,29.08,29.27,25120017,29.235,73306
2023-06-12,29.3,29.56,28.91,29.13,29643179,29.161,78585
2023-06-13,29.13,29.8,29.03,29.4,34913809,29.509,99650
2023-06-14,29.57,29.73,28.99,29.12,31784018,29.346,86336
2023-06-15,28.9,29.47,28.69,29.37,28489721,29.146,86174
2023-06-16,29.53,29.68,29.16,29.19,30504369,29.365,74241
2023-06-20,29.01,29.04,28.58,28.87,30021668,28.813,88360
2023-06-21,28.78,29.0,28.54,28.57,28174974,28.742,84769
2023-06-22,28.5,28.53,27.9,27.96,42682804,28.159,112843
2023-06-23,27.74,27.89,27.59,27.75,38317774,27.753,95665
2023-06-26,27.8,28.28,27.79,28.09,32482377,28.134,81487
2023-06-27,28.1,28.4,27.95,28.24,31062809,28.273,71940
2023-06-28,28.25,28.27,27.9,28.07,29088702,28.032,76738
2023-06-29,28.5,29.0,28.4,28.66,58966465,28.729,146022
2023-06-30,28.94,29.11,28.67,28.69,39175182,28.844,105002
