timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,309.2,311.89,305.26,309.28,509919,308.81,3948
2023-05-03,315.0,316.69,309.55,311.0,1375524,312.867,9727
2023-05-04,310.87,314.37,309.58,313.57,584705,312.141,3804
2023-05-05,314.09,319.74,310.66,318.06,795719,316.257,5654
2023-05-08,318.05,318.05,310.0,314.37,517290,313.297,3223
2023-05-09,311.87,315.69,311.09,314.0,278252,314.026,2082
2023-05-10,315.19,315.78,310.71,313.26,291071,312.479,2246
2023-05-11,313.5,313.59,308.64,310.56,378619,311.097,2590
2023-05-12,311.04,311.41,307.7,309.6,193630,309.149,1582
2023-05-15,310.0,312.48,309.14,311.87,171248,310.799,1339
2023-05-16,310.6,310.64,306.11,307.61,301174,308.318,2404
2023-05-17,308.25,308.25,302.14,306.25,182460,305.384,1428
2023-05-18,305.85,306.23,301.93,305.45,239084,303.884,1989
2023-05-19,307.51,310.5,306.52,308.48,228972,307.841,1579
2023-05-22,309.93,310.47,306.13,306.87,233601,307.847,1954
2023-05-23,305.47,306.87,302.33,303.15,311258,303.769,2539
2023-05-24,301.82,302.31,298.33,301.56,386364,300.647,2843
2023-05-25,298.51,298.89,291.64,297.13,499021,295.429,3731
2023-05-26,298.06,299.11,294.83,298.66,405928,297.971,3281
2023-05-30,298.02,298.95,295.0,298.69,418460,297.461,2775
2023-05-31,298.86,299.58,294.8,296.41,368170,296.389,3160
2023-06-01,301.08,308.38,300.19,302.41,516213,303.461,3552
2023-06-02,302.51,303.17,297.68,300.2,352517,300.405,2832
2023-06-05,299.67,304.29,299.59,302.13,540755,302.096,4488
2023-06-06,303.65,304.76,298.32,299.79,459887,299.832,3782
2023-06-07,299.18,309.31,294.04,304.9,1058343,303.269,7828
2023-06-08,310.69,311.28,303.69,308.88,648419,307.99,4653
2023-06-09,308.88,308.88,308.88,308.88,0,308.88,0
2023-06-12,319.4,319.76,310.0,313.41,788375,313.975,5253
2023-06-13,310.36,312.76,299.52,304.6,833504,303.586,6269
2023-06-14,304.6,306.52,296.08,299.99,842137,299.795,6320
2023-06-15,300.3,300.3,293.21,297.83,759048,295.975,5867
2023-06-16,300.57,304.79,296.2,297.48,744823,300.042,4369
2023-06-20,296.0,298.73,293.65,293.79,378495,295.888,2992
2023-06-21,294.04,294.84,289.83,294.36,358732,292.906,2775
2023-06-22,294.73,296.46,291.58,293.95,511013,294.409,3632
2023-06-23,293.35,293.52,283.97,284.52,649830,286.801,4714
2023-06-26,283.87,283.95,279.56,281.58,381025,281.4,3083
2023-06-27,281.91,283.49,277.71,282.95,330139,281.501,2615
2023-06-28,282.95,285.68,281.29,284.02,248633,283.762,2099
2023-06-29,282.71,285.45,280.59,282.13,382881,282.527,3211
2023-06-30,284.51,286.5,282.91,284.85,343150,284.347,2697
2023-07-03,282.87,285.65,281.24,285.44,203264,284.363,1286
2023-07-05,285.45,287.6,283.83,285.89,328964,285.592,2506
2023-07-06,286.38,286.92,282.47,284.99,496111,284.671,3219
2023-07-07,285.82,286.54,274.75,275.07,1546245,278.739,9800
2023-07-10,275.0,282.74,275.0,281.58,586958,280.892,4294
2023-07-11,280.0,280.52,276.02,279.84,405974,278.701,3129
2023-07-12,280.17,281.69,277.29,277.62,477429,279.219,3690
2023-07-13,278.93,280.86,276.39,277.97,449793,278.385,3341
2023-07-14,278.94,280.0,276.12,278.93,500329,278.443,3522
2023-07-17,278.42,280.5,276.22,278.4,600647,278.895,4338
2023-07-18,278.4,281.12,275.76,276.17,499885,277.186,3781
2023-07-19,276.17,278.95,275.83,276.89,488522,276.895,3401
2023-07-20,278.45,279.9,273.47,274.7,845561,275.422,6067
2023-07-21,276.1,278.12,274.33,276.74,650522,276.511,4913
2023-07-24,276.9,278.41,275.7,277.0,608899,276.797,4648
2023-07-25,280.47,280.47,264.37,270.31,1494352,268.443,9806
2023-07-26,270.0,270.0,263.08,265.25,833272,264.903,6162
2023-07-27,265.73,267.02,262.4,262.79,631144,264.079,4142
2023-07-28,263.3,268.26,256.13,265.23,1817436,263.816,10002
2023-07-31,264.08,273.46,263.53,270.19,647894,269.625,5052
2023-08-01,269.66,269.71,266.49,269.3,476764,268.731,3766
2023-08-02,269.7,275.87,269.15,271.56,646580,272.204,4963
2023-08-03,270.08,271.11,266.78,267.75,520441,268.374,3856
2023-08-04,267.04,269.94,266.68,268.92,437760,268.296,3113
2023-08-07,262.96,271.76,262.96,271.23,700450,269.489,4981
2023-08-08,271.84,278.95,271.65,274.14,780012,275.307,5441
2023-08-09,273.51,275.65,270.71,271.29,253562,272.004,2024
2023-08-10,271.68,272.57,268.77,269.06,409934,270.333,3148
2023-08-11,268.45,276.52,267.43,273.68,435080,272.859,3338
2023-08-14,274.05,274.05,269.96,272.74,310453,271.813,2385
2023-08-15,271.56,272.23,266.5,270.22,383748,270.211,2890
2023-08-16,270.07,271.07,265.07,265.26,283012,266.925,2110
2023-08-17,265.26,265.79,260.93,261.5,319233,262.603,2555
2023-08-18,260.05,262.4,259.75,261.15,289510,261.016,2041
2023-08-21,260.92,266.25,260.41,265.07,368693,264.344,2831
2023-08-22,264.07,265.85,262.67,262.98,260347,263.772,2161
2023-08-23,265.74,266.78,263.99,264.8,196188,265.071,1538
2023-08-24,263.83,266.49,262.34,262.43,189303,263.686,1417
2023-08-25,263.0,264.79,261.09,264.43,272464,263.311,2145
2023-08-28,265.48,266.47,263.54,265.05,135788,264.924,1061
2023-08-29,265.35,268.15,265.11,268.0,193181,267.178,1555
2023-08-30,268.84,269.46,265.25,267.18,227612,267.07,1839
2023-08-31,266.83,269.18,265.32,267.36,315488,267.935,2482
2023-09-01,269.01,269.72,266.91,267.17,171063,267.906,1305
2023-09-05,269.25,270.5,266.11,266.29,308069,268.0,2568
2023-09-06,266.47,266.47,261.5,263.72,376360,263.345,2903
2023-09-07,263.21,263.27,256.92,261.34,553790,260.541,4121
2023-09-08,262.22,262.7,258.62,258.99,340397,260.003,2734
2023-09-11,260.12,261.99,258.33,258.92,257398,259.479,2100
2023-09-12,258.92,260.57,257.89,258.44,250731,259.11,2125
2023-09-13,258.62,260.0,255.05,255.91,255483,256.522,1945
2023-09-14,256.63,258.85,256.0,256.32,214647,256.838,1823
2023-09-15,256.3,257.58,254.0,254.79,426274,255.953,1956
2023-09-18,254.94,256.06,252.62,253.3,212232,253.851,1654
2023-09-19,253.66,256.8,253.33,256.67,219835,255.71,1642
2023-09-20,256.81,262.48,256.42,260.53,508489,260.813,4115
2023-09-21,258.8,260.28,256.76,258.93,499690,259.147,3921
2023-09-22,258.94,260.72,257.09,257.68,400958,258.33,3042
2023-09-25,257.1,257.1,251.85,255.02,376800,254.124,2723
2023-09-26,254.97,258.46,254.04,258.05,428379,256.643,3225
2023-09-27,258.44,261.38,255.16,257.52,341360,257.418,2625
2023-09-28,258.48,259.35,256.25,257.83,275181,257.724,1959
2023-09-29,258.14,259.23,255.25,257.01,405346,257.216,3084
2023-10-02,256.12,256.86,251.08,252.86,343464,253.676,2554
2023-10-03,251.94,253.75,248.41,251.31,369256,250.844,3180
2023-10-04,251.76,257.55,251.54,257.16,510554,255.389,3825
2023-10-05,258.0,260.14,255.65,259.77,374249,258.081,2982
2023-10-06,259.5,265.18,258.76,263.25,469931,263.257,3661
2023-10-09,262.98,264.89,260.0,264.21,258935,263.394,1592
2023-10-10,264.48,265.19,262.76,264.14,245605,264.089,2023
2023-10-11,265.6,268.44,264.88,266.52,423995,266.769,3384
2023-10-12,266.92,268.02,259.39,260.99,652968,262.127,4665
2023-10-13,261.18,262.35,258.81,262.26,407295,261.037,3045
2023-10-16,262.04,268.75,261.22,267.94,508704,266.717,4133
2023-10-17,268.11,269.44,265.73,267.43,267536,267.563,2201
2023-10-18,266.68,268.15,263.31,263.5,505918,265.589,3722
2023-10-19,263.1,263.45,256.1,257.3,490957,258.396,4084
2023-10-20,258.01,260.5,255.46,257.45,508065,258.594,3633
2023-10-23,256.34,256.34,251.88,253.39,473269,253.461,3787
2023-10-24,253.42,255.53,249.4,252.11,367760,251.666,3017
2023-10-25,249.89,250.74,244.61,246.72,468250,246.913,3747
2023-10-26,248.03,249.97,241.01,241.08,670574,243.355,5444
2023-10-27,240.0,240.28,233.76,234.52,514659,235.488,4077
2023-10-30,235.32,237.87,234.39,237.21,397427,236.532,2870
2023-10-31,236.69,239.0,236.07,237.54,284153,237.527,1912
2023-11-01,238.56,241.06,235.1,239.62,376195,238.574,3027
2023-11-02,239.26,242.5,237.38,241.86,288991,240.886,2453
2023-11-03,244.2,251.51,243.66,249.5,487362,249.509,3834
2023-11-06,249.5,251.5,247.64,248.63,495089,249.381,4101
2023-11-07,246.6,248.39,241.52,245.61,764261,245.784,5296
2023-11-08,245.69,246.51,229.1,231.69,1605317,234.255,10205
2023-11-09,231.97,232.11,222.59,224.65,776847,224.988,5630
2023-11-10,225.39,226.95,221.39,224.79,637161,223.385,4550
2023-11-13,223.24,224.73,220.86,222.59,414393,222.252,3087
2023-11-14,225.87,227.46,224.02,225.26,422802,225.693,3436
2023-11-15,224.43,231.67,223.17,229.63,537456,229.072,4356
2023-11-16,231.61,232.88,227.85,229.46,307515,229.228,2465
2023-11-17,231.27,231.27,226.75,228.0,481104,228.309,3466
2023-11-20,228.13,231.0,228.13,230.11,372086,229.84,2658
2023-11-21,230.4,231.91,228.88,229.57,295933,230.332,2278
2023-11-22,230.95,231.41,229.48,231.25,187124,230.621,1432
2023-11-24,231.25,232.47,229.37,231.95,179686,230.899,1163
2023-11-27,231.25,232.25,227.09,228.79,335368,228.826,2503
2023-11-28,227.65,227.65,223.89,227.41,318317,226.061,2175
2023-11-29,228.0,234.06,227.41,232.06,521503,231.839,3937
2023-11-30,232.68,235.11,229.24,234.08,432944,233.379,3164
2023-12-01,233.95,234.76,231.11,234.64,310214,233.13,2536
2023-12-04,234.11,236.24,232.32,232.85,362329,233.775,2623
2023-12-05,232.0,232.48,229.16,229.57,327513,230.059,2514
2023-12-06,230.53,236.0,229.34,233.87,352175,234.011,2751
2023-12-07,237.82,239.93,235.74,239.12,531272,238.181,3394
2023-12-08,237.65,240.81,236.8,239.29,379790,239.279,2295
2023-12-11,248.0,251.19,242.5,246.11,679882,245.994,5135
2023-12-12,247.55,250.89,244.11,249.04,464447,248.677,3405
2023-12-13,249.27,255.69,248.76,255.56,442946,253.144,3432
2023-12-14,257.0,261.46,254.76,256.54,664709,257.878,4964
2023-12-15,257.78,259.86,248.01,248.13,1079007,252.015,6465
2023-12-18,249.7,251.43,247.04,250.33,586601,249.485,4108
2023-12-19,250.33,252.87,249.09,251.69,333615,251.636,1671
2023-12-20,251.5,253.0,248.1,248.16,291539,250.946,2154
2023-12-21,250.03,254.97,250.03,253.86,462102,252.874,3045
2023-12-22,255.31,258.78,255.18,257.97,261789,257.533,1880
2023-12-26,258.5,261.13,257.79,260.7,193975,260.139,1453
2023-12-27,261.59,263.34,260.64,261.93,244478,262.119,1878
2023-12-28,261.23,263.98,260.29,260.58,344262,261.117,2529
2023-12-29,260.16,261.0,257.0,258.77,353353,258.54,2317
2024-01-02,257.56,267.99,256.71,267.71,458105,265.872,3006
2024-01-03,268.27,268.3,263.39,263.43,308378,265.161,1995
2024-01-04,263.93,264.58,259.6,260.28,281886,261.108,2293
2024-01-05,257.89,259.93,255.37,257.88,364517,257.835,2588
2024-01-08,255.06,258.71,251.53,257.98,519136,255.331,3733
