timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,68.25,68.99,67.4,68.1,5677083,68.079,33334
2023-05-03,68.33,68.74,66.32,66.64,8235325,67.049,50904
2023-05-04,66.45,67.25,66.4,66.82,6259608,66.818,34801
2023-05-05,67.14,68.44,67.12,68.14,6013990,67.868,34109
2023-05-08,68.08,68.77,67.86,68.41,4307327,68.471,30315
2023-05-09,68.0,68.37,67.83,68.0,4497792,68.068,29844
2023-05-10,68.17,68.95,67.56,68.49,5838650,68.362,38025
2023-05-11,68.57,69.1,67.95,69.08,6002277,68.473,39316
2023-05-12,68.61,68.78,67.61,68.06,8623789,68.091,53646
2023-05-15,68.2,68.46,67.77,68.17,3552966,68.088,20107
2023-05-16,68.06,68.14,66.93,67.02,4852231,67.26,28428
2023-05-17,67.06,67.35,66.06,66.53,6481997,66.412,32150
2023-05-18,66.31,66.35,65.18,65.7,7066233,65.648,40016
2023-05-19,65.77,66.35,65.66,65.84,5978241,65.92,31418
2023-05-22,65.84,66.3,65.14,65.81,5317612,65.653,32022
2023-05-23,66.08,67.16,65.86,66.53,5782704,66.515,37108
2023-05-24,66.6,66.69,65.25,65.47,4368097,65.654,28161
2023-05-25,64.94,65.15,63.98,64.56,4468021,64.464,28301
2023-05-26,64.51,64.97,63.7,63.82,4356590,64.057,25996
2023-05-30,63.7,64.09,63.07,63.71,5227411,63.581,31196
2023-05-31,63.69,64.6,63.15,64.44,4504269,64.222,26164
2023-06-01,64.46,64.73,63.78,64.68,5424402,64.493,32229
2023-06-02,64.92,65.79,64.49,65.66,4138814,65.468,23612
2023-06-05,65.9,66.46,65.69,65.98,4823989,66.118,29064
2023-06-06,66.27,66.38,65.12,65.48,3736547,65.532,21025
2023-06-07,65.16,65.33,64.75,65.16,3918750,65.068,24110
2023-06-08,65.34,65.62,65.06,65.31,3232327,65.404,19588
2023-06-09,65.37,65.46,64.6,64.8,4776447,64.895,27837
2023-06-12,64.79,64.98,64.2,64.76,3757304,64.598,21763
2023-06-13,64.19,64.8,63.95,64.76,3799338,64.587,23621
2023-06-14,64.96,65.0,64.05,64.16,3833014,64.446,24006
2023-06-15,64.24,64.95,63.87,64.67,5617193,64.505,33022
2023-06-16,64.88,66.24,64.61,66.16,9156612,65.433,43324
2023-06-20,65.83,66.37,65.25,66.03,5891082,65.986,34468
2023-06-21,65.91,66.38,65.44,65.5,4514729,65.783,28300
2023-06-22,65.75,65.85,65.12,65.3,3299188,65.364,18509
2023-06-23,65.38,65.42,64.89,65.04,5222897,65.144,31091
2023-06-26,65.04,65.1,64.0,64.79,5477531,64.608,31077
2023-06-27,64.75,65.05,64.22,64.75,4295108,64.734,23859
2023-06-28,64.7,64.7,62.88,64.09,6282502,63.649,36037
2023-06-29,63.77,64.45,63.63,64.0,3946963,64.029,23676
2023-06-30,64.28,64.41,63.94,63.95,4961488,64.118,28621
2023-07-03,63.94,64.91,63.44,64.43,3178906,64.474,17317
2023-07-05,64.31,65.0,63.92,64.73,5351687,64.558,29117
2023-07-06,63.66,63.91,63.3,63.44,3906003,63.628,22775
2023-07-07,63.24,63.45,62.62,62.65,5843235,62.968,32568
2023-07-10,62.72,62.96,62.3,62.48,4886008,62.504,28121
2023-07-11,62.32,62.92,62.12,62.79,6148261,62.664,33065
2023-07-12,62.88,63.27,62.12,62.28,4757041,62.617,25616
2023-07-13,62.4,62.75,62.2,62.28,4202248,62.401,22883
2023-07-14,62.02,62.34,61.57,61.94,6539734,62.019,34698
2023-07-17,61.99,62.02,61.4,61.85,5060440,61.728,28326
2023-07-18,61.94,62.76,61.8,62.0,4301162,62.214,22688
