timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,33.52,33.93,32.29,33.17,2932026,33.05,6964
2023-05-03,33.42,33.9,33.2,33.28,1060794,33.579,2844
2023-05-04,33.48,34.11,32.99,33.35,1161084,33.628,3218
2023-05-05,33.61,35.28,33.61,34.75,1787724,34.794,4103
2023-05-08,34.63,35.77,34.33,35.63,1808103,35.357,4580
2023-05-09,35.33,35.81,34.74,35.71,2527440,35.531,5928
2023-05-10,39.5,44.83,39.42,42.76,14882832,42.83,31110
2023-05-11,43.32,43.66,42.03,43.4,3629367,42.917,7430
2023-05-12,43.71,45.06,42.92,43.28,3216306,43.846,6792
2023-05-15,43.24,44.11,42.55,43.85,1968243,43.328,3917
2023-05-16,44.03,44.46,43.27,44.09,2206788,44.028,4723
2023-05-17,44.1,44.58,43.43,44.38,1329315,44.033,2825
2023-05-18,44.11,46.27,43.83,44.46,3177828,45.032,6069
2023-05-19,45.18,45.18,43.71,43.89,1552395,44.144,3575
2023-05-22,44.12,45.07,43.66,43.74,1252614,44.223,2853
2023-05-23,43.9,44.38,42.8,43.2,1933116,43.468,4407
2023-05-24,42.74,44.05,42.17,43.81,2338344,43.208,4895
2023-05-25,43.83,44.24,42.63,43.04,1321746,43.047,3017
2023-05-26,43.12,43.29,41.75,42.15,1671414,42.458,3901
2023-05-30,42.63,42.93,41.44,41.52,1358292,42.107,2971
2023-05-31,41.5,42.14,40.87,41.84,1726410,41.585,4014
2023-06-01,42.0,45.57,41.87,44.43,4364211,44.466,8587
2023-06-02,45.4,46.8,45.08,46.06,2914887,46.062,5557
2023-06-05,46.19,49.3,46.15,47.98,3404331,48.249,6712
2023-06-06,47.8,48.93,47.32,47.4,2228775,48.171,3479
2023-06-07,47.96,48.64,45.93,46.01,2045031,47.048,4287
2023-06-08,45.87,47.14,45.39,47.0,1871064,46.655,3624
2023-06-09,47.19,47.75,46.31,46.4,1060125,46.853,2118
2023-06-12,46.85,48.47,46.63,48.04,1362441,47.824,3012
2023-06-13,48.46,50.12,47.84,49.83,2841492,49.313,6499
2023-06-14,49.0,49.44,46.72,47.69,3044337,47.942,6000
2023-06-15,47.57,48.5,46.95,48.25,1475940,47.669,2645
2023-06-16,48.84,49.33,47.8,48.15,1288368,48.442,2227
2023-06-20,48.14,49.06,46.88,47.12,1585443,47.49,3406
2023-06-21,47.0,47.75,46.51,46.82,1092336,46.909,2612
2023-06-22,47.14,49.99,47.14,49.29,2534808,49.055,5884
2023-06-23,49.33,51.15,49.08,50.03,3185415,50.353,7170
2023-06-26,49.95,50.66,48.48,49.05,1755444,49.518,3900
2023-06-27,48.81,50.47,48.81,50.24,1444173,49.903,2995
2023-06-28,49.98,51.31,49.95,50.12,1334691,50.523,2956
2023-06-29,50.19,50.73,49.51,49.61,1152153,50.02,2640
2023-06-30,49.75,50.92,49.63,49.73,1215867,50.166,2769
2023-07-03,49.73,50.08,48.77,49.42,727518,49.353,1578
2023-07-05,49.59,49.91,48.94,49.28,939534,49.404,2372
2023-07-06,48.7,49.53,47.81,48.68,1437798,48.594,3282
2023-07-07,48.99,49.72,48.59,48.67,1070391,49.163,2599
2023-07-10,48.81,50.33,48.81,49.84,1312149,49.684,2870
2023-07-11,49.69,50.14,47.03,48.6,2276661,48.388,4725
2023-07-12,49.01,50.73,48.51,49.95,1607109,49.965,3367
2023-07-13,50.23,51.67,49.44,49.57,1771041,50.314,3601
2023-07-14,49.62,51.53,49.37,51.04,3400065,50.712,7102
2023-07-17,51.04,52.43,50.56,50.64,1786569,51.285,3923
2023-07-18,50.64,50.64,47.84,48.18,3201825,48.678,6029
2023-07-19,47.81,48.77,47.23,48.43,1744902,48.096,3748
2023-07-20,48.17,48.46,47.22,47.84,894147,47.724,2025
2023-07-21,48.26,48.44,47.6,47.79,859908,47.888,1889
2023-07-24,47.77,49.11,47.15,47.8,1508985,48.021,3816
2023-07-25,47.81,49.14,47.7,48.88,1755576,48.711,3717
2023-07-26,48.69,50.29,48.45,49.12,1574505,49.41,3952
2023-07-27,49.83,49.85,47.82,48.14,1161615,48.738,2184
2023-07-28,49.2,49.69,48.59,49.16,930702,49.118,2397
2023-07-31,49.59,50.61,47.2,48.23,3137010,48.163,5957
