timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,90.74,91.14,88.84,89.81,140338,89.676,1012
2023-05-03,90.74,94.43,90.24,93.17,275590,92.539,2177
2023-05-04,92.8,92.86,89.1,89.53,258385,89.843,1970
2023-05-05,90.7,92.74,90.53,92.58,227572,91.999,1725
2023-05-08,92.93,94.36,92.86,93.89,146532,93.712,1207
2023-05-09,93.75,96.24,93.74,94.81,184256,95.096,1370
2023-05-10,95.3,96.26,93.97,95.64,241184,95.257,1870
2023-05-11,100.25,107.19,99.2,105.74,1103604,104.487,6325
2023-05-12,107.96,107.96,102.91,104.71,273772,104.926,1927
2023-05-15,105.74,105.74,103.78,105.57,201130,105.261,1345
2023-05-16,105.57,106.19,104.18,104.3,178958,104.842,1227
2023-05-17,106.63,106.63,105.04,105.09,348803,105.67,2309
2023-05-18,105.22,107.49,105.22,106.45,411620,106.355,1675
2023-05-19,106.85,106.89,104.63,105.37,159400,105.625,1210
2023-05-22,106.08,106.36,103.58,103.71,159026,104.585,1280
2023-05-23,103.48,105.93,103.36,104.15,549170,104.25,1225
2023-05-24,103.93,104.49,102.27,102.98,234639,102.988,1731
2023-05-25,103.29,107.72,103.29,106.91,220174,106.567,1655
2023-05-26,107.0,108.7,106.32,107.99,160481,107.533,1135
2023-05-30,108.28,109.12,105.76,106.23,143909,106.704,931
2023-05-31,106.0,106.27,104.37,105.06,139076,105.056,1051
2023-06-01,105.12,106.65,104.64,106.42,154793,106.052,1156
2023-06-02,107.58,108.87,106.91,107.54,130834,107.928,1001
2023-06-05,107.5,108.01,106.43,107.7,169926,107.321,1337
2023-06-06,107.53,111.03,107.19,110.58,344194,109.868,2108
2023-06-07,110.96,112.9,110.96,111.95,158806,112.06,1019
2023-06-08,112.84,113.83,111.0,111.2,108828,111.791,791
2023-06-09,111.2,112.86,111.2,111.86,178324,112.038,1373
2023-06-12,112.32,113.0,110.14,111.15,348887,111.106,1905
2023-06-13,110.62,111.65,110.62,110.96,138890,110.994,978
2023-06-14,111.69,114.48,111.61,113.34,415336,113.212,2773
2023-06-15,112.69,113.97,112.13,112.59,130594,112.812,924
2023-06-16,112.41,112.89,110.82,111.31,214904,111.527,1729
2023-06-20,110.55,111.02,107.86,108.99,360205,108.884,2764
2023-06-21,109.39,111.07,108.8,110.37,205373,110.147,1646
2023-06-22,109.53,110.55,108.73,110.45,281666,109.879,2181
2023-06-23,109.86,110.97,109.02,110.44,294859,110.1,2415
2023-06-26,110.74,112.05,106.24,106.64,230205,107.997,1797
2023-06-27,107.57,109.89,107.2,108.83,209336,108.677,1530
2023-06-28,108.26,108.81,106.66,106.96,222307,107.651,1706
2023-06-29,107.61,109.69,107.42,108.74,181424,108.582,1462
2023-06-30,109.36,111.63,108.66,110.58,184193,110.348,1457
2023-07-03,113.58,113.96,111.45,111.46,163237,112.46,1113
2023-07-05,111.18,113.25,110.65,113.06,216198,112.491,1494
2023-07-06,112.16,112.8,109.09,109.09,329757,110.101,2472
2023-07-07,109.0,111.04,109.0,110.17,200976,110.293,1471
2023-07-10,109.43,111.42,109.43,110.9,150260,110.553,1098
2023-07-11,111.71,112.0,109.74,110.35,150583,110.287,1116
2023-07-12,111.25,111.35,107.6,107.61,301121,109.1,2063
2023-07-13,109.99,114.49,108.91,114.48,416406,112.607,2868
2023-07-14,116.8,116.8,112.72,113.0,761018,114.032,3595
2023-07-17,112.21,115.81,111.09,115.71,536600,114.089,2158
2023-07-18,115.29,117.95,114.71,117.71,283442,116.741,2313
2023-07-19,117.33,120.0,116.53,119.97,355095,118.943,2846
2023-07-20,118.84,120.82,118.32,119.73,350067,119.616,2657
2023-07-21,120.44,120.44,117.2,118.15,210391,118.304,1595
2023-07-24,117.14,119.35,117.14,118.78,318672,118.729,2604
2023-07-25,118.2,119.18,116.65,118.65,401254,118.362,3134
2023-07-26,118.65,120.14,118.02,119.41,228769,119.315,1593
2023-07-27,118.95,120.1,118.09,118.4,231930,119.007,1912
2023-07-28,119.3,119.89,118.21,118.92,289617,119.114,2362
2023-07-31,119.51,121.2,117.38,118.02,429733,118.92,3103
2023-08-01,117.02,118.22,114.24,114.26,402909,115.219,2973
2023-08-02,113.15,114.97,111.97,113.78,255402,113.952,1961
2023-08-03,112.92,114.53,110.95,111.11,283325,112.106,2202
2023-08-04,111.51,112.7,109.77,109.93,230040,110.931,1744
2023-08-07,110.33,111.66,108.47,109.36,297526,109.38,2285
2023-08-08,108.51,109.64,107.8,108.96,385271,108.678,2859
2023-08-09,109.87,110.1,105.3,105.42,369852,106.416,2673
2023-08-10,106.14,109.19,98.77,99.69,970279,100.843,6330
2023-08-11,99.9,101.35,97.69,97.69,344607,98.769,2478
2023-08-14,97.11,100.16,96.86,98.11,419643,98.826,2877
2023-08-15,97.75,98.57,95.26,95.8,346791,96.059,2725
2023-08-16,95.74,97.55,94.8,95.0,407816,95.957,3227
2023-08-17,94.87,95.63,94.15,94.84,404806,95.004,2881
2023-08-18,93.92,96.16,93.92,95.64,302783,95.624,2146
2023-08-21,95.64,97.71,95.63,97.61,303307,96.796,2195
2023-08-22,97.76,98.81,97.14,97.91,296487,98.0,2318
2023-08-23,97.6,99.85,97.27,98.97,229025,99.178,1746
2023-08-24,98.6,100.45,98.06,98.11,259080,98.942,2011
2023-08-25,98.33,99.26,97.09,98.87,269061,98.579,2161
2023-08-28,99.19,100.86,99.19,100.01,210037,100.158,1631
2023-08-29,100.09,103.94,100.09,102.85,209980,102.998,1625
2023-08-30,102.14,105.0,101.86,104.65,253692,104.278,2069
2023-08-31,105.0,105.23,101.52,101.7,280421,102.56,2206
2023-09-01,101.96,103.38,100.57,102.02,424659,102.081,2409
2023-09-05,101.59,102.66,99.93,101.63,305443,101.247,2185
2023-09-06,100.72,103.14,99.89,99.99,183398,100.722,1388
2023-09-07,99.5,100.95,99.18,99.32,188922,99.755,1388
2023-09-08,99.32,99.97,97.82,99.68,1095735,98.722,1750
2023-09-11,99.95,100.56,98.62,98.89,178749,99.197,1394
2023-09-12,99.06,100.91,98.11,98.21,202844,98.91,1659
2023-09-13,97.37,98.55,96.28,96.35,194038,96.983,1463
2023-09-14,97.23,97.35,95.57,96.3,275553,96.207,2147
2023-09-15,96.0,96.37,93.3,93.7,249143,94.193,1958
2023-09-18,94.23,95.4,93.98,94.59,174735,94.882,1331
2023-09-19,94.1,94.1,92.9,93.54,174240,93.446,1204
2023-09-20,94.26,95.48,93.55,93.65,179691,94.137,1433
2023-09-21,93.04,93.18,90.05,90.11,321331,91.115,2274
2023-09-22,90.2,90.5,88.26,88.31,230200,88.977,1629
2023-09-25,87.56,87.92,87.05,87.44,184882,87.493,1389
2023-09-26,86.87,89.03,86.57,88.78,255198,88.453,1940
2023-09-27,88.77,89.99,88.08,88.26,272689,88.917,2033
2023-09-28,87.36,89.3,87.18,88.45,214422,88.588,1709
2023-09-29,89.51,89.87,88.66,89.12,206107,89.337,1667
2023-10-02,88.79,89.67,85.4,86.36,232582,86.534,1794
2023-10-03,86.0,86.75,82.63,83.37,277498,83.652,2155
2023-10-04,83.74,86.04,83.74,85.05,172629,85.195,1343
2023-10-05,85.1,86.24,82.69,83.5,159921,83.329,1239
2023-10-06,82.88,85.51,82.22,84.94,239532,84.195,1261
2023-10-09,83.5,83.95,82.2,83.9,330696,83.248,2402
2023-10-10,84.48,85.71,84.14,84.33,182784,84.688,1374
2023-10-11,85.66,87.99,84.79,86.92,238368,86.983,1755
2023-10-12,87.07,87.95,84.46,85.32,225552,85.449,1576
2023-10-13,85.26,85.86,83.45,84.28,198050,84.445,1499
2023-10-16,84.24,85.51,83.5,85.51,124264,84.751,849
2023-10-17,84.98,86.22,84.1,85.75,142787,85.464,1108
2023-10-18,84.48,85.81,82.08,82.36,238864,82.886,1658
2023-10-19,82.65,83.08,81.13,81.34,160535,81.755,1277
2023-10-20,80.99,81.67,80.01,80.93,92496,80.994,694
2023-10-23,80.16,82.62,79.8,81.89,160350,81.658,1147
2023-10-24,82.03,82.71,81.47,81.98,105563,82.112,843
2023-10-25,81.72,82.36,80.3,80.73,76499,80.808,612
2023-10-26,80.05,81.34,79.57,80.24,110709,80.305,879
2023-10-27,80.33,80.59,78.12,79.07,157071,78.989,1229
2023-10-30,80.5,82.14,79.97,81.46,112041,81.434,825
2023-10-31,80.97,81.98,80.12,81.65,83704,81.192,703
2023-11-01,81.8,82.18,80.66,81.92,85349,81.652,670
2023-11-02,82.67,83.2,81.44,82.74,107838,82.144,806
2023-11-03,84.06,88.51,84.06,87.26,249019,87.406,1874
2023-11-06,87.82,88.95,85.68,86.38,151344,86.625,1046
