timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,34.5,34.67,33.89,34.53,8193915,34.327,41621
2023-05-03,34.53,34.81,34.05,34.13,9104961,34.397,44837
2023-05-04,33.95,33.98,32.68,33.08,9305646,33.024,40784
2023-05-05,33.44,34.19,33.32,33.94,7122932,33.838,32283
2023-05-08,34.24,34.43,33.73,34.2,7039450,34.128,32001
2023-05-09,33.94,34.42,33.7,34.2,4507030,34.156,22722
2023-05-10,34.65,34.73,33.11,33.8,7242009,33.7,35012
2023-05-11,33.55,33.64,33.01,33.22,5973719,33.221,29517
2023-05-12,33.38,33.55,32.84,33.23,5838979,33.112,28804
2023-05-15,33.35,33.73,33.06,33.72,6301030,33.526,30886
2023-05-16,33.65,34.24,33.35,33.82,6693924,33.846,30753
2023-05-17,34.3,36.18,34.22,35.93,13982991,35.492,62679
2023-05-18,35.89,36.12,35.54,35.89,7897632,35.855,42253
2023-05-19,35.93,36.0,35.01,35.59,6605742,35.496,32543
2023-05-22,36.07,36.34,35.2,35.46,6900066,35.54,32806
2023-05-23,35.74,36.64,35.31,35.91,8446803,36.189,43736
2023-05-24,35.56,35.74,34.51,34.93,6790329,34.873,35431
2023-05-25,35.1,35.82,35.03,35.75,5226996,35.481,27767
2023-05-26,35.75,36.25,35.71,35.89,5348045,35.914,25909
2023-05-30,36.29,36.93,36.1,36.28,5833454,36.407,28426
2023-05-31,36.87,36.92,35.88,36.33,6804332,36.216,34472
2023-06-01,36.42,36.81,36.0,36.38,5431799,36.526,27604
2023-06-02,36.91,37.64,36.63,37.01,7056849,37.135,32213
2023-06-05,37.08,37.22,36.55,37.1,5504899,36.967,26937
2023-06-06,36.65,37.67,36.61,37.64,4564145,37.4,21155
2023-06-07,37.84,38.26,37.6,38.23,8097379,38.002,37008
2023-06-08,38.24,39.21,38.24,39.11,12183544,38.928,53786
2023-06-09,39.12,39.9,39.08,39.28,12018695,39.588,52321
2023-06-12,39.58,40.22,39.54,40.2,8484732,40.005,36077
2023-06-13,40.39,41.65,40.2,41.56,10652494,41.15,43877
2023-06-14,41.71,42.23,41.48,42.19,9996956,41.959,46048
2023-06-15,41.74,43.02,41.65,42.88,10910093,42.559,51456
2023-06-16,42.86,43.16,42.54,42.79,8949489,42.89,39605
2023-06-20,42.42,42.64,42.13,42.48,7762978,42.43,38600
2023-06-21,42.49,43.04,42.35,42.79,6451270,42.709,30946
2023-06-22,42.61,43.1,42.48,42.94,4659767,42.86,21147
2023-06-23,42.25,43.0,42.09,42.86,6683488,42.637,33633
2023-06-26,42.85,43.58,42.66,43.14,8427134,43.065,40311
2023-06-27,43.68,46.27,43.37,46.09,20731339,45.137,79203
2023-06-28,46.27,46.91,46.05,46.71,13268205,46.55,61213
2023-06-29,46.75,47.41,46.21,46.31,11473447,46.72,52053
2023-06-30,46.65,47.73,46.49,47.54,9712292,47.182,42999
2023-07-03,47.44,48.17,47.44,47.96,4964323,47.907,20978
2023-07-05,47.72,48.82,47.66,48.52,7753610,48.527,37179
2023-07-06,47.99,48.45,47.24,47.33,11007456,47.652,52038
2023-07-07,47.49,48.39,47.14,47.88,11395943,47.83,50970
2023-07-10,47.83,48.61,47.66,48.46,7729975,48.308,37350
2023-07-11,48.58,48.79,48.01,48.66,7885234,48.43,36587
2023-07-12,48.7,49.04,47.88,47.95,12085917,48.289,51768
2023-07-13,49.75,49.81,47.23,47.71,26611422,48.231,97542
2023-07-14,47.78,47.82,45.93,46.49,14260540,46.631,57751
2023-07-17,46.49,47.19,46.32,46.8,7157358,46.885,32984
2023-07-18,46.81,48.39,46.72,48.37,9156323,47.834,44240
2023-07-19,48.11,48.62,47.89,48.55,6884645,48.321,31298
2023-07-20,48.13,48.8,47.7,48.69,8255568,48.356,40956
2023-07-21,48.9,49.1,48.29,48.55,6838141,48.698,33015
2023-07-24,48.11,48.25,47.33,47.48,6911845,47.732,30580
2023-07-25,46.66,46.79,45.44,46.44,10493114,46.135,49793
2023-07-26,46.41,46.78,45.96,46.43,5970960,46.346,30331
2023-07-27,46.03,46.16,45.39,45.75,6747641,45.759,33460
2023-07-28,46.06,46.15,45.49,45.72,6100384,45.793,30500
2023-07-31,45.81,46.33,45.71,46.26,5092529,46.14,26126
2023-08-01,45.74,45.75,44.26,45.4,7102091,45.013,32276
2023-08-02,44.91,45.09,44.63,44.8,5938651,44.833,32131
2023-08-03,44.32,44.64,44.02,44.19,5427301,44.243,26364
2023-08-04,44.47,44.81,44.21,44.59,5447490,44.545,28624
2023-08-07,44.69,45.42,44.49,45.24,4755542,44.91,23556
2023-08-08,44.62,45.94,44.6,45.79,4461153,45.449,25097
2023-08-09,45.74,46.09,44.75,45.03,4657151,45.277,24778
2023-08-10,45.43,45.71,44.49,44.86,5296463,44.972,30445
2023-08-11,44.6,44.69,44.1,44.17,4085153,44.328,21094
2023-08-14,44.0,44.34,43.7,44.23,3842122,44.084,19554
2023-08-15,43.88,44.06,42.96,43.02,5270369,43.3,26960
2023-08-16,43.04,43.75,42.56,42.67,4301622,42.981,22621
2023-08-17,42.67,42.75,41.72,41.78,4626054,42.093,24058
2023-08-18,41.34,41.63,41.09,41.49,4713200,41.407,25510
2023-08-21,41.69,41.86,41.23,41.74,3023134,41.567,15644
2023-08-22,42.02,42.16,41.23,41.61,3171902,41.527,14956
2023-08-23,41.61,42.4,41.25,42.2,5124800,41.983,25812
2023-08-24,42.0,42.48,41.71,41.9,4072329,42.052,22289
2023-08-25,42.1,42.16,41.14,41.7,4403426,41.614,23323
2023-08-28,41.73,42.44,41.73,42.41,3353756,42.196,18482
2023-08-29,42.37,44.06,42.24,43.77,6399965,43.514,33090
2023-08-30,43.81,43.85,43.22,43.23,4144557,43.5,22339
2023-08-31,43.54,43.58,42.43,42.88,4427426,42.969,21938
2023-09-01,43.1,43.19,42.34,42.86,3922713,42.676,20292
2023-09-05,42.48,42.51,41.3,41.76,6342926,41.788,31495
2023-09-06,41.49,42.71,41.49,41.71,5657611,41.963,28201
2023-09-07,41.5,41.67,40.97,41.13,4659157,41.22,24706
2023-09-08,41.15,41.5,40.75,40.82,5880318,41.015,22036
2023-09-11,41.1,41.19,40.73,40.84,4678605,40.962,23230
2023-09-12,40.93,41.25,40.6,40.69,4745838,40.841,20644
2023-09-13,39.5,40.1,39.28,39.55,8655741,39.599,39165
2023-09-14,40.2,40.28,38.93,39.33,9564009,39.373,42878
2023-09-15,39.3,40.11,39.11,39.9,6674052,39.713,29441
2023-09-18,39.59,39.83,38.73,38.89,5540968,39.105,24628
2023-09-19,38.87,39.52,38.64,39.45,5439045,39.174,24311
2023-09-20,39.77,39.87,38.77,38.88,4889578,39.298,23816
2023-09-21,38.58,38.93,38.21,38.3,5742200,38.538,25182
2023-09-22,38.38,38.42,37.52,37.67,5415157,37.836,27771
2023-09-25,37.4,37.73,37.1,37.56,5315339,37.483,23827
2023-09-26,37.2,37.7,36.72,36.77,6311904,37.097,28501
2023-09-27,36.77,37.15,36.52,36.66,5543338,36.801,28536
2023-09-28,36.7,37.47,36.41,36.95,5753524,37.06,29480
2023-09-29,37.25,37.49,36.74,37.0,4833380,37.138,24340
2023-10-02,36.97,37.2,36.3,36.45,4014494,36.624,21138
2023-10-03,36.14,36.29,35.12,35.24,6453691,35.491,30789
2023-10-04,35.47,36.26,35.36,36.06,7211155,35.938,35612
2023-10-05,36.47,36.66,36.01,36.44,5948635,36.303,28557
