timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,101.33,101.7,99.62,100.6,4700533,100.561,24943
2023-05-03,101.06,102.58,100.64,100.86,5352423,101.499,30199
2023-05-04,99.54,99.54,96.61,97.45,9231679,97.481,47496
2023-05-05,98.59,100.85,98.11,100.52,6431593,99.577,33592
2023-05-08,101.7,103.91,101.69,102.97,7313949,103.199,39092
2023-05-09,102.91,102.98,102.09,102.18,4416206,102.585,23578
2023-05-10,103.0,103.25,100.04,101.14,9774205,101.303,48513
2023-05-11,94.8,95.11,91.88,92.31,45376897,92.64,197263
2023-05-12,92.34,92.88,91.24,91.99,16254485,91.883,73495
2023-05-15,91.54,92.87,90.7,92.86,12229036,91.905,53929
2023-05-16,92.04,92.42,90.78,90.98,12609469,91.189,58917
2023-05-17,91.02,93.05,90.85,92.77,9197407,92.208,44474
2023-05-18,92.84,94.24,92.46,93.76,10323365,93.512,47362
2023-05-19,93.0,93.0,91.31,91.35,10566084,91.917,47679
2023-05-22,91.11,91.94,89.89,91.82,10391662,91.004,51682
2023-05-23,91.1,92.03,89.8,89.82,9721927,90.778,45975
2023-05-24,89.44,89.49,88.41,89.07,9128429,88.939,45285
2023-05-25,89.56,89.56,87.79,88.14,9561740,88.333,44580
2023-05-26,88.49,89.24,88.1,88.29,9172935,88.677,46422
2023-05-30,88.97,88.97,87.01,87.82,11154449,87.687,54442
2023-05-31,87.58,88.17,87.15,87.96,6531423,87.645,35973
2023-06-01,88.4,89.06,87.11,88.59,8273147,88.276,42911
2023-06-02,89.63,91.34,89.6,90.77,10147853,90.565,50313
2023-06-05,91.2,91.76,89.44,91.0,15157559,90.668,66487
2023-06-06,91.1,92.51,91.02,92.16,9029986,92.042,43227
2023-06-07,92.78,93.08,91.86,92.52,8208215,92.501,39909
2023-06-08,92.52,92.68,91.3,92.53,6326400,92.108,30716
2023-06-09,92.78,92.92,91.55,91.93,6567916,92.082,33266
2023-06-12,92.25,93.23,91.77,93.14,8803900,92.479,40813
2023-06-13,94.12,94.44,93.44,93.85,8670071,93.984,46525
2023-06-14,94.26,94.52,91.92,92.45,11283769,93.231,52964
2023-06-15,92.06,93.52,91.61,92.94,9305527,92.574,51222
2023-06-16,92.88,92.97,90.86,91.32,13906180,91.757,61622
2023-06-20,90.29,90.78,89.74,89.75,10144030,90.013,49225
2023-06-21,89.55,89.67,88.11,88.64,12746598,88.7,64988
2023-06-22,88.44,89.19,88.12,88.49,7697623,88.532,36684
2023-06-23,88.02,88.4,87.61,88.1,7972996,88.046,42409
2023-06-26,88.04,89.49,87.77,88.7,7195050,88.857,38060
2023-06-27,88.9,89.66,88.49,89.06,6683513,89.182,33284
2023-06-28,89.39,89.4,88.52,88.83,7764675,88.87,39890
2023-06-29,87.8,89.12,87.34,88.95,9872797,88.525,43918
2023-06-30,89.18,89.6,88.6,89.28,8410929,89.121,43637
2023-07-03,89.12,90.95,88.91,90.5,5863843,90.077,25895
2023-07-05,90.11,90.39,89.25,89.79,7997300,89.77,36119
2023-07-06,88.67,88.83,87.78,88.74,8779410,88.395,44645
2023-07-07,88.31,89.73,88.08,88.64,7020392,89.106,36099
2023-07-10,88.25,88.68,87.85,88.1,9060787,88.171,43478
2023-07-11,88.2,89.59,88.15,89.49,9540502,89.263,53118
2023-07-12,90.11,90.71,89.57,90.15,10383729,90.139,52133
2023-07-13,90.55,90.81,89.08,90.47,11402875,90.286,55611
2023-07-14,90.41,90.49,88.42,88.62,14021650,89.134,60679
2023-07-17,88.42,88.49,85.3,85.56,25152851,86.203,102119
2023-07-18,85.51,87.3,85.31,85.95,15919815,86.193,72994
2023-07-19,86.2,87.89,86.19,87.04,12468522,87.233,57884
2023-07-20,86.84,87.18,86.03,86.21,11554739,86.501,54840
2023-07-21,86.3,87.9,85.88,87.18,15396018,86.978,69541
2023-07-24,87.49,87.96,86.55,86.6,10437070,87.194,43708
2023-07-25,85.73,86.31,85.16,85.63,11199830,85.806,50717
2023-07-26,85.67,86.27,85.45,85.86,8497294,85.797,38601
2023-07-27,86.6,86.88,85.19,85.36,10816992,86.101,50265
2023-07-28,85.86,86.58,85.44,86.13,10121133,86.015,47464
2023-07-31,87.0,89.36,86.88,88.89,15171791,88.49,65021
2023-08-01,89.12,89.73,88.46,89.03,10273931,89.185,46237
2023-08-02,88.26,88.33,86.26,86.3,10948490,87.041,50165
2023-08-03,85.82,86.46,85.45,85.49,9934205,85.808,48592
2023-08-04,85.94,87.11,85.45,86.3,8364695,86.375,41541
2023-08-07,86.66,87.23,85.99,86.83,7921700,86.481,40005
2023-08-08,86.5,88.33,86.1,88.13,10637267,87.164,52070
2023-08-09,89.2,89.56,87.04,87.49,15933765,88.026,71772
2023-08-10,89.97,92.53,87.75,91.76,44407066,90.579,188226
2023-08-11,91.32,91.35,88.86,89.02,16787625,89.858,75175
2023-08-14,88.99,89.3,87.99,88.81,10250041,88.552,49680
2023-08-15,87.99,88.23,86.89,87.06,10276415,87.522,50290
2023-08-16,86.54,87.06,86.08,86.35,8430906,86.459,44085
2023-08-17,86.92,86.96,85.8,85.92,8067169,86.276,43523
2023-08-18,85.37,86.61,85.37,85.96,9014765,85.798,47240
2023-08-21,85.81,86.25,85.4,85.88,7272459,85.742,38648
2023-08-22,85.71,86.1,85.37,85.79,6302721,85.734,32262
2023-08-23,85.82,86.33,85.63,85.83,5493336,86.046,28703
2023-08-24,85.51,85.95,82.46,82.47,21028739,83.424,93921
2023-08-25,83.07,83.65,82.46,83.36,12049316,83.076,61237
2023-08-28,83.83,84.69,83.53,84.16,9246931,84.142,45989
2023-08-29,83.79,84.55,83.73,84.4,8440268,84.261,38983
2023-08-30,84.4,84.68,83.83,84.28,7086493,84.204,35357
2023-08-31,84.46,84.61,83.64,83.68,6812548,84.002,34468
2023-09-01,82.11,82.23,80.53,81.64,21147489,81.572,103093
2023-09-05,81.42,82.39,81.17,81.19,8919930,81.78,41402
2023-09-06,80.79,82.09,80.53,80.98,11672529,81.007,57201
2023-09-07,80.82,80.85,79.75,80.57,11069275,80.337,48732
2023-09-08,80.49,81.67,80.17,81.58,10416332,81.156,49098
2023-09-11,81.94,83.85,81.17,82.52,20022086,82.608,94290
2023-09-12,83.03,84.67,82.57,83.68,12727501,83.745,58881
2023-09-13,83.35,84.05,83.12,83.48,6979952,83.562,36247
2023-09-14,84.0,84.74,83.04,84.48,15286869,84.075,73821
2023-09-15,85.22,86.19,84.61,85.58,13081027,85.41,61249
2023-09-18,85.24,85.92,84.98,85.02,7145245,85.343,38242
2023-09-19,83.92,84.79,81.71,81.94,15148202,82.399,78931
2023-09-20,82.03,83.2,81.64,82.56,9719469,82.518,51774
2023-09-21,82.06,83.67,81.92,82.73,10141301,82.921,57312
2023-09-22,82.91,83.35,81.2,81.25,8272976,81.992,41971
2023-09-25,81.56,81.77,80.56,81.01,7582612,80.959,37222
2023-09-26,80.5,80.74,79.79,80.05,9246304,80.184,43150
2023-09-27,80.12,80.56,79.21,79.9,11249948,79.784,55437
2023-09-28,80.28,80.92,79.65,80.13,9320974,80.115,49686
2023-09-29,80.66,81.33,80.41,81.05,8017905,80.793,40235
2023-10-02,80.92,81.77,80.79,81.67,6544800,81.249,35471
2023-10-03,81.25,81.89,79.46,79.54,8992819,80.144,46922
2023-10-04,79.61,79.8,78.73,79.32,8715858,79.182,42586
2023-10-05,79.1,80.94,78.88,80.81,9898949,80.002,47952
2023-10-06,81.05,83.53,80.49,82.94,11410162,82.274,56033
2023-10-09,84.3,84.88,83.13,84.7,9906361,84.142,46785
2023-10-10,84.79,85.29,83.93,84.99,6199163,84.883,31698
2023-10-11,85.37,85.72,84.25,84.85,5771860,84.869,32987
2023-10-12,84.83,85.07,83.51,84.35,7078586,84.246,40672
2023-10-13,83.94,84.58,83.38,84.35,6743001,84.044,40767
2023-10-16,84.31,85.93,84.31,85.71,7187974,85.264,41623
2023-10-17,85.38,86.29,85.31,86.2,6731300,85.865,39450
2023-10-18,85.69,86.26,84.6,84.68,7115374,85.386,40134
2023-10-19,85.26,85.27,83.17,83.25,9519807,84.167,51794
2023-10-20,82.9,83.44,82.61,82.65,7068135,83.001,36581
2023-10-23,82.08,84.03,80.91,83.1,7390350,82.916,41064
2023-10-24,83.41,84.2,81.74,82.56,7237222,82.654,43022
2023-10-25,82.13,82.55,80.51,80.59,6786120,81.249,40431
2023-10-26,80.08,80.61,79.42,79.78,7723199,80.012,44705
2023-10-27,79.75,81.03,79.23,79.33,7457185,79.874,38521
2023-10-30,79.72,80.93,79.53,80.68,6601355,80.199,34974
2023-10-31,80.69,81.67,80.33,81.59,5564345,81.191,30026
2023-11-01,81.53,81.58,80.18,81.07,6039682,80.899,31899
2023-11-02,81.85,83.3,81.82,83.29,7834086,82.87,43570
2023-11-03,84.17,85.93,84.16,85.07,7476518,85.215,40489
2023-11-06,85.08,85.8,83.59,84.02,8494789,84.577,45418
2023-11-07,84.16,84.68,83.95,84.59,6259937,84.313,33004
2023-11-08,84.14,84.92,83.95,84.5,13718611,84.509,68325
2023-11-09,87.84,91.21,87.6,90.34,39378438,90.141,162030
2023-11-10,90.13,90.16,86.93,88.27,18686694,87.932,86647
2023-11-13,88.42,89.9,87.4,89.44,9583406,89.094,48870
2023-11-14,90.03,91.55,89.99,91.07,9538794,91.103,47734
2023-11-15,92.98,94.57,92.74,93.93,14635700,93.923,61657
2023-11-16,93.89,94.61,93.63,94.51,9520930,94.141,49813
2023-11-17,94.75,95.38,93.92,94.15,8283330,94.446,40125
2023-11-20,93.98,95.59,93.87,95.03,8262047,94.897,41345
2023-11-21,94.73,94.96,93.96,94.45,5046391,94.467,28020
2023-11-22,94.91,95.71,94.76,95.07,4942959,95.208,27148
2023-11-24,94.9,96.51,94.9,96.06,3960869,96.0,18483
2023-11-27,95.74,95.74,94.51,95.17,6654083,95.123,36974
2023-11-28,95.0,95.14,92.44,92.5,12162732,93.34,60027
2023-11-29,92.6,93.24,91.44,92.5,10425148,92.365,53353
2023-11-30,93.55,93.86,92.2,92.69,7939959,92.682,39781
2023-12-01,92.73,92.84,91.77,92.58,7375169,92.332,39998
2023-12-04,91.9,92.41,91.61,92.01,6259361,92.026,32875
2023-12-05,91.61,91.78,89.93,90.79,8506314,90.741,43845
2023-12-06,91.11,92.55,90.62,91.5,7025675,91.684,38706
2023-12-07,91.8,93.39,91.65,92.35,6441508,92.702,34955
2023-12-08,92.06,93.54,92.05,92.82,5183208,92.836,26129
2023-12-11,92.71,93.08,91.97,92.2,5780939,92.463,29894
2023-12-12,92.12,92.2,90.86,91.07,6462883,91.424,34759
2023-12-13,91.17,92.87,90.78,92.83,6272154,91.905,33141
2023-12-14,93.21,94.83,93.21,93.94,8596783,94.04,42488
2023-12-15,93.05,93.95,92.93,93.46,7686153,93.376,33801
