timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,50.95,52.12,50.53,51.95,73745,51.779,647
2023-05-03,52.14,53.75,52.14,53.12,71211,53.338,641
2023-05-04,52.98,53.82,52.56,53.52,59671,53.463,443
2023-05-05,53.81,54.03,51.68,52.19,65373,52.653,473
2023-05-08,51.9,51.96,51.38,51.72,80095,51.772,580
2023-05-09,51.7,51.73,50.8,51.46,98942,51.476,728
2023-05-10,51.78,52.13,50.55,51.47,62322,51.468,496
2023-05-11,51.26,51.81,51.05,51.78,46112,51.466,383
2023-05-12,51.81,52.43,51.32,52.01,40607,51.804,328
2023-05-15,52.02,52.2,51.6,51.72,18760,51.901,173
2023-05-16,51.55,51.55,50.56,50.81,63107,50.875,540
2023-05-17,50.96,51.72,50.54,51.59,53342,51.189,441
2023-05-18,51.19,52.28,51.05,52.23,49814,51.942,437
2023-05-19,52.53,52.84,51.78,52.11,43885,52.202,315
2023-05-22,52.03,52.41,50.66,50.93,26750,51.326,243
2023-05-23,50.84,51.97,50.56,51.41,36746,51.374,263
2023-05-24,51.44,51.44,50.21,50.23,43321,50.655,342
2023-05-25,50.05,50.09,49.46,49.87,21679,49.815,183
2023-05-26,49.71,50.42,49.62,49.99,19429,50.096,177
2023-05-30,49.72,49.84,49.05,49.17,31879,49.347,282
2023-05-31,49.2,49.88,48.92,49.42,66730,49.435,491
2023-06-01,49.35,49.98,48.61,48.69,50960,49.085,437
2023-06-02,48.96,49.53,48.9,49.4,180040,49.269,1577
2023-06-05,49.04,49.41,47.99,48.41,115186,48.424,967
2023-06-06,48.22,48.49,47.5,48.0,93451,48.024,848
2023-06-07,48.0,48.73,47.88,48.26,77428,48.443,550
2023-06-08,48.0,48.2,47.33,47.5,68193,47.629,547
2023-06-09,47.45,48.0,47.16,47.84,87386,47.58,499
2023-06-12,47.84,47.95,47.19,47.39,53544,47.434,489
2023-06-13,47.49,48.27,47.33,47.48,58461,47.744,495
2023-06-14,47.61,48.16,47.52,47.64,76125,47.777,592
2023-06-15,47.82,48.08,47.25,47.77,103293,47.611,785
2023-06-16,48.28,49.67,48.03,49.61,134430,48.849,832
2023-06-20,49.8,50.36,49.27,50.25,109039,50.059,837
2023-06-21,50.45,50.7,49.66,49.72,65589,50.123,545
2023-06-22,49.74,50.54,49.51,50.54,42830,50.108,296
2023-06-23,50.19,50.72,49.11,49.17,49096,49.735,377
2023-06-26,49.0,49.4,48.34,49.1,53485,48.93,378
2023-06-27,49.38,49.57,48.98,49.26,44280,49.24,368
2023-06-28,49.21,49.21,48.1,48.19,68235,48.512,536
2023-06-29,48.02,51.13,48.02,48.66,162583,49.272,1289
2023-06-30,48.72,50.78,48.01,48.35,150082,48.697,1316
2023-07-03,48.44,49.53,48.44,49.36,70078,49.265,596
2023-07-05,49.13,50.34,48.7,50.16,153429,49.803,1326
2023-07-06,49.79,50.53,49.09,50.48,82551,49.93,697
2023-07-07,50.48,50.93,49.92,49.96,46012,50.272,399
2023-07-10,49.96,49.99,48.04,48.23,82132,48.831,691
2023-07-11,48.5,49.19,48.23,48.97,52142,48.903,431
2023-07-12,49.33,49.7,48.93,49.04,42245,49.341,314
2023-07-13,48.98,49.19,48.28,48.82,37810,48.751,324
2023-07-14,48.56,49.87,48.31,49.77,34823,49.491,298
2023-07-17,49.44,50.34,49.25,49.81,41085,49.935,345
2023-07-18,49.96,50.06,49.2,49.56,20551,49.655,179
2023-07-19,49.65,50.24,49.61,50.17,32140,50.011,258
2023-07-20,50.18,51.51,49.96,51.47,37582,50.933,277
2023-07-21,51.72,52.0,51.3,51.42,40063,51.612,265
2023-07-24,51.47,52.3,51.05,52.04,67182,51.906,559
2023-07-25,51.74,52.36,51.55,51.9,53110,51.869,459
2023-07-26,51.71,52.99,51.29,52.96,38048,52.701,349
2023-07-27,53.06,53.44,52.8,53.0,52517,53.069,443
2023-07-28,53.22,54.18,52.87,52.9,57646,53.465,501
2023-07-31,52.85,53.33,52.44,52.85,45388,52.93,399
2023-08-01,52.93,53.13,52.07,52.27,42171,52.369,351
2023-08-02,52.24,53.6,52.19,53.15,31449,53.077,261
2023-08-03,53.17,54.02,52.99,53.88,50633,53.677,422
2023-08-04,53.86,54.31,52.94,53.17,32431,53.46,285
2023-08-07,53.06,53.92,52.58,53.85,31009,53.396,261
2023-08-08,53.65,54.0,52.67,53.93,36539,53.561,313
