timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,33.31,33.41,32.51,33.08,11234757,32.869,52195
2023-05-03,32.76,33.39,32.37,32.48,9827619,32.916,52918
2023-05-04,32.3,32.67,31.56,31.69,11965017,31.817,58402
2023-05-05,32.32,33.4,32.21,33.26,14346142,32.983,79662
2023-05-08,33.39,33.74,33.13,33.66,8713248,33.479,49544
2023-05-09,33.32,33.57,33.06,33.28,9267376,33.275,41455
2023-05-10,33.85,33.97,32.6,33.08,12167232,33.158,55383
2023-05-11,32.85,33.29,32.84,33.12,8883319,33.067,42544
2023-05-12,33.25,33.29,32.13,32.4,9447593,32.455,44061
2023-05-15,32.39,32.47,32.12,32.37,13770792,32.307,42100
2023-05-16,32.06,32.24,31.5,31.54,8082320,31.816,40272
2023-05-17,31.81,32.59,31.63,32.44,8198211,32.204,39671
2023-05-18,32.28,32.96,32.25,32.9,11024862,32.704,53547
2023-05-19,33.12,33.17,32.49,32.66,8785151,32.757,39313
2023-05-22,32.71,32.93,32.39,32.86,6545934,32.746,31784
2023-05-23,33.0,33.84,32.94,33.42,12331366,33.518,61776
2023-05-24,33.0,33.04,32.01,32.28,10561489,32.313,42140
2023-05-25,32.16,32.64,32.13,32.41,7090693,32.383,36684
2023-05-26,32.62,33.49,32.35,33.29,11203771,33.02,51984
2023-05-30,33.7,34.28,33.31,33.36,9298058,33.593,45669
2023-05-31,32.95,33.05,31.86,32.41,10577972,32.293,51619
2023-06-01,32.49,33.3,32.13,33.02,9476145,32.849,46475
2023-06-02,33.66,34.48,33.47,34.28,11021274,34.192,56874
2023-06-05,34.45,34.49,33.66,34.13,7166378,34.122,37050
2023-06-06,34.0,35.38,33.98,35.24,10445184,35.004,52404
2023-06-07,35.39,36.46,35.22,36.22,16237322,36.097,75806
2023-06-08,36.2,36.45,35.68,35.85,10671183,35.956,50721
2023-06-09,37.49,38.17,36.22,36.23,19105115,36.958,83671
2023-06-12,36.27,37.02,36.26,36.67,10688617,36.729,51172
2023-06-13,36.96,37.84,36.96,37.65,10027739,37.481,44978
2023-06-14,37.84,37.97,37.04,37.36,11866929,37.514,56899
2023-06-15,37.19,38.26,37.18,38.03,12197849,37.855,62434
2023-06-16,38.12,38.25,37.65,37.96,9391534,37.952,39063
2023-06-20,37.7,37.84,36.91,37.32,9643355,37.217,49299
2023-06-21,37.31,37.31,36.88,37.01,6916506,37.089,37809
2023-06-22,36.78,36.96,36.36,36.66,6594101,36.633,31648
2023-06-23,35.93,36.44,35.8,36.18,6126549,36.164,29931
2023-06-26,36.03,36.99,36.03,36.7,7945265,36.643,39461
2023-06-27,37.01,37.52,36.45,37.48,7000537,37.251,35028
2023-06-28,37.5,38.21,37.41,38.19,9734096,37.875,47413
2023-06-29,38.33,38.62,38.0,38.2,7642526,38.298,35793
2023-06-30,38.31,38.86,38.0,38.56,8258820,38.568,39677
2023-07-03,38.74,39.14,38.63,38.96,4077208,38.991,19654
2023-07-05,39.1,39.54,38.91,39.42,9166703,39.309,44079
2023-07-06,38.92,39.47,38.6,39.46,8402676,39.043,39702
