timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,107.09,107.2,103.71,105.32,19974586,105.223,109244
2023-05-03,105.53,107.49,104.96,105.41,15332013,105.992,94511
2023-05-04,105.47,105.6,103.97,104.69,16488661,104.829,107671
2023-05-05,104.82,105.88,104.11,105.57,17940640,105.048,107825
2023-05-08,105.18,107.96,105.16,107.77,16866261,107.005,99924
2023-05-09,108.38,110.15,107.19,107.35,26380456,108.593,138689
2023-05-10,107.97,112.94,107.93,111.75,46373092,110.606,230264
2023-05-11,115.4,117.92,114.41,116.57,57972774,116.807,304829
2023-05-12,116.68,118.03,116.11,117.51,29559785,117.015,153685
2023-05-15,116.11,118.48,116.01,116.51,23929528,117.086,126235
2023-05-16,116.48,120.75,116.43,119.51,34300576,119.334,176009
2023-05-17,119.64,121.67,118.89,120.84,22550708,120.237,116217
2023-05-18,120.95,123.31,120.83,122.83,23035018,122.268,123510
2023-05-19,123.58,125.97,122.15,122.76,29006442,123.422,144020
2023-05-22,122.94,126.43,122.74,125.05,25032378,125.26,129493
2023-05-23,124.16,124.63,122.21,122.56,23442044,123.439,141555
2023-05-24,121.11,121.91,119.86,120.9,22246883,120.782,132677
2023-05-25,124.52,125.32,121.96,123.48,27852274,123.665,162071
2023-05-26,123.18,125.26,122.45,124.61,24085119,124.441,135153
2023-05-30,125.63,125.66,122.0,123.67,23055803,123.545,131192
2023-05-31,122.71,124.07,122.5,122.87,17977841,123.145,107276
2023-06-01,122.79,124.42,122.62,123.72,19701886,123.329,117823
2023-06-02,123.99,126.15,123.76,124.67,16796469,124.88,96913
2023-06-05,124.01,127.43,123.84,126.01,18947608,126.341,103662
2023-06-06,126.06,128.29,125.36,127.31,18710382,127.234,106112
2023-06-07,127.02,129.04,122.12,122.5,27651650,124.188,160946
2023-06-08,122.23,123.23,121.24,122.14,18965876,122.264,112181
2023-06-09,122.2,123.76,121.91,122.23,15690414,122.777,93699
2023-06-12,122.81,124.05,121.66,123.64,17361615,122.789,101596
2023-06-13,124.98,125.16,123.18,123.83,13461508,124.031,80260
2023-06-14,123.13,124.05,121.45,123.67,19158860,123.078,116327
2023-06-15,123.19,125.46,122.4,125.09,20682832,124.148,125632
2023-06-16,125.93,126.11,123.28,123.53,22544757,124.709,99648
2023-06-20,122.97,124.57,122.14,123.1,15380104,123.117,97254
2023-06-21,122.4,122.66,120.1,120.55,18476210,120.95,111109
2023-06-22,119.87,123.24,118.83,123.15,18499982,121.287,110963
2023-06-23,121.38,122.79,121.06,122.34,14520153,122.084,87481
2023-06-26,120.76,122.0,118.26,118.34,22062011,119.703,125674
2023-06-27,117.08,119.08,116.1,118.33,25874526,117.753,154216
2023-06-28,117.22,120.39,116.85,120.18,18512425,119.287,113128
2023-06-29,119.26,120.06,118.29,119.1,15893939,119.036,99814
2023-06-30,120.17,121.08,119.69,119.7,17400152,120.374,101053
2023-07-03,119.21,120.19,118.81,119.9,9652006,119.447,59886
2023-07-05,119.25,122.61,119.23,121.75,17141059,121.662,104284
2023-07-06,119.8,120.3,118.4,120.11,15706469,119.484,84402
2023-07-07,120.07,121.05,119.4,119.48,13419395,120.245,84987
2023-07-10,118.3,118.31,116.13,116.45,24863693,116.87,149458
2023-07-11,116.29,117.71,115.35,117.14,15929487,116.867,98311
2023-07-12,118.8,120.33,118.41,118.93,19547886,119.231,119162
2023-07-13,120.93,124.83,120.45,124.54,31793490,123.667,179298
2023-07-14,124.8,126.78,123.49,125.42,22391079,125.461,133748
2023-07-17,125.89,127.1,124.19,124.65,16490198,125.103,95943
2023-07-18,124.56,124.68,122.96,123.76,16442501,123.612,99872
2023-07-19,124.5,125.18,121.8,122.03,22861270,123.121,133169
2023-07-20,121.46,124.09,118.22,119.2,24251498,120.558,154201
2023-07-21,120.62,120.99,118.73,120.02,21660820,119.842,132173
2023-07-24,121.7,123.0,120.98,121.53,18007021,121.841,104621
2023-07-25,121.37,123.15,121.02,122.21,28661686,122.049,144865
2023-07-26,130.07,130.98,128.32,129.27,44608224,129.7,251754
2023-07-27,131.65,133.24,128.79,129.4,31747440,131.394,173406
2023-07-28,130.67,133.74,130.57,132.58,23366287,132.69,137252
2023-07-31,132.68,133.53,131.77,132.72,18226029,132.523,105972
2023-08-01,130.78,132.63,130.68,131.55,15050797,131.785,88469
2023-08-02,129.45,130.09,127.56,128.38,16483192,128.694,104466
2023-08-03,127.97,129.39,127.42,128.45,11988221,128.558,79584
2023-08-04,129.28,131.51,127.91,128.11,16862875,129.479,107385
2023-08-07,129.12,131.61,129.02,131.53,14724079,130.628,89844
2023-08-08,130.54,131.51,129.54,131.4,15503951,130.819,98596
2023-08-09,131.66,132.04,129.0,129.66,15551177,130.439,102022
2023-08-10,131.32,132.05,129.45,129.69,13622205,130.571,84143
2023-08-11,128.66,129.93,128.17,129.56,11325474,129.149,72827
2023-08-14,129.17,131.37,128.96,131.33,11864468,130.662,72234
2023-08-15,131.05,131.42,129.28,129.78,11943242,130.24,72737
2023-08-16,128.73,130.29,127.86,128.7,15611893,128.838,94749
2023-08-17,129.87,131.99,129.29,129.92,22732742,130.449,129674
2023-08-18,128.53,129.25,126.38,127.46,20798780,127.388,115867
2023-08-21,127.18,128.73,126.56,128.37,12942778,127.902,79705
2023-08-22,128.46,130.28,128.32,129.08,13332885,129.285,73334
2023-08-23,130.18,133.41,129.87,132.37,18377133,132.439,101166
2023-08-24,133.95,134.25,129.57,129.78,16805758,131.311,105785
2023-08-25,129.62,130.76,127.25,129.88,17297347,128.965,107512
2023-08-28,131.34,132.54,130.14,131.01,12445370,131.024,73458
2023-08-29,132.31,136.57,132.13,134.57,29485085,134.529,165059
2023-08-30,134.79,136.28,134.07,135.88,18065190,135.367,98271
2023-08-31,136.01,138.0,135.79,136.17,16651568,136.706,94647
2023-09-01,137.49,137.5,134.85,135.66,13027321,135.667,76756
2023-09-05,135.37,136.42,134.58,135.77,11542755,135.534,67001
2023-09-06,136.02,136.53,133.66,134.46,12542213,134.697,72222
2023-09-07,133.57,135.58,132.95,135.26,11623173,134.651,65726
2023-09-08,134.95,136.66,134.85,136.38,13928607,136.006,82417
2023-09-11,136.5,137.48,135.78,136.92,12496097,136.683,71754
2023-09-12,136.26,136.88,135.19,135.34,10833200,135.873,68718
2023-09-13,135.09,136.9,134.15,136.71,12660485,135.807,74148
2023-09-14,137.57,138.7,136.24,138.1,15588079,137.899,93075
2023-09-15,138.0,138.52,136.48,137.4,19373515,137.449,96657
2023-09-18,136.71,139.16,136.61,138.21,13935522,138.337,83768
2023-09-19,137.42,138.41,136.62,138.04,11280748,137.582,69127
2023-09-20,138.08,138.08,133.62,133.74,19461145,135.525,116545
2023-09-21,131.44,132.23,130.07,130.44,20720679,131.028,120117
2023-09-22,130.76,132.03,129.6,130.25,13601329,130.994,88578
2023-09-25,129.77,131.17,128.96,131.11,12279091,130.354,77345
2023-09-26,129.8,130.37,127.22,128.56,16309399,128.268,105227
2023-09-27,128.6,130.9,128.55,130.54,14685516,129.724,93025
2023-09-28,129.82,133.3,129.79,132.31,14866227,131.872,92575
2023-09-29,133.28,134.05,130.36,130.86,17967200,131.894,107179
2023-10-02,131.21,134.42,131.15,134.17,15420642,133.284,93050
2023-10-03,133.83,134.26,131.84,132.43,14260803,132.723,90688
2023-10-04,132.78,135.57,132.53,135.24,17872446,134.505,107210
2023-10-05,135.07,135.49,133.45,135.07,12933677,134.76,76522
2023-10-06,134.05,138.16,134.01,137.58,18167022,136.81,108838
2023-10-09,136.89,138.94,135.61,138.42,13227367,137.779,79954
2023-10-10,138.5,139.72,137.33,138.06,17489767,138.651,103668
2023-10-11,138.58,141.11,138.58,140.55,17438912,140.221,100403
2023-10-12,141.09,141.22,138.26,138.97,16905885,139.809,104995
2023-10-13,139.37,140.0,136.61,137.36,15081074,137.861,97812
2023-10-16,138.17,139.63,137.99,139.09,13974137,138.963,84455
2023-10-17,138.58,139.9,137.18,139.72,15344815,138.965,100238
2023-10-18,139.46,140.72,137.38,137.96,16953391,139.238,105001
2023-10-19,138.54,139.66,137.38,137.75,17371221,138.501,113064
2023-10-20,137.25,137.87,135.08,135.6,16142826,136.273,93322
2023-10-23,135.04,137.66,133.95,136.5,16841582,136.446,97300
2023-10-24,137.83,139.36,137.42,138.81,24716147,138.619,138968
2023-10-25,128.31,128.32,125.07,125.61,60599316,126.406,331493
2023-10-26,123.15,124.33,121.27,122.28,40254624,122.593,234680
