timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,103.0,104.0,97.35,100.72,3051747,99.281,19816
2023-05-03,101.01,106.47,101.01,103.8,2292117,104.378,17386
2023-05-04,103.13,103.68,100.81,101.48,1651296,101.729,11684
2023-05-05,103.0,104.87,102.81,104.78,993090,104.232,6568
2023-05-08,105.27,105.64,104.05,104.68,562310,104.692,4159
2023-05-09,103.58,107.2,103.58,106.72,969111,106.04,6816
2023-05-10,107.58,107.78,103.03,103.76,808088,104.316,6156
2023-05-11,102.95,103.88,101.38,103.53,1137136,102.926,7555
2023-05-12,103.99,104.0,101.96,102.6,605770,102.568,4789
2023-05-15,102.56,103.65,102.4,103.05,1273658,102.956,8374
2023-05-16,102.49,102.66,100.28,100.51,684782,101.1,4777
2023-05-17,100.75,104.53,100.72,103.78,1119393,103.273,7498
2023-05-18,103.48,104.34,102.47,104.07,717778,103.532,4916
2023-05-19,104.54,104.6,101.88,101.96,809822,102.663,4983
2023-05-22,101.94,104.55,101.07,103.66,1818893,103.549,10264
2023-05-23,103.14,104.63,101.69,101.8,1222526,102.903,7033
2023-05-24,100.77,101.01,98.78,98.99,957914,99.369,7014
2023-05-25,98.51,99.84,97.55,99.51,1200012,98.891,9220
2023-05-26,100.0,100.58,99.19,99.97,940197,99.907,6327
2023-05-30,99.95,100.35,96.74,99.13,1544758,98.307,11327
2023-05-31,98.74,98.74,95.78,97.69,1947986,97.014,13839
2023-06-01,98.21,99.55,97.39,98.84,1111415,98.651,8340
2023-06-02,100.24,101.22,98.71,100.39,2587839,99.886,9065
2023-06-05,100.49,100.64,97.09,98.1,1963183,98.291,13762
2023-06-06,97.76,101.48,97.52,100.82,1130614,100.365,8337
2023-06-07,101.14,102.49,100.92,101.91,1126296,101.866,7859
2023-06-08,101.55,102.13,100.13,100.87,1061585,100.771,7352
2023-06-09,101.41,101.74,99.86,100.09,1087979,100.592,8130
2023-06-12,99.89,101.65,99.55,100.7,994739,100.41,7145
2023-06-13,100.31,101.75,99.56,100.61,1448989,100.659,9309
2023-06-14,101.14,102.82,100.76,101.16,1618398,101.68,11405
