timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,31.94,31.99,29.79,29.86,9392750,30.297,50726
2023-05-03,29.3,29.88,29.08,29.15,7361608,29.502,44929
2023-05-04,29.07,29.43,28.47,29.02,8357554,28.927,50758
2023-05-05,30.19,30.3,29.79,29.88,6644674,30.019,37942
2023-05-08,30.59,30.84,29.94,29.95,4469027,30.254,26146
2023-05-09,29.52,30.44,29.39,30.1,6830647,30.008,36385
2023-05-10,30.32,30.37,29.21,29.56,7588488,29.537,38936
2023-05-11,29.0,29.19,28.07,28.49,8884529,28.474,47204
2023-05-12,28.82,29.19,28.42,28.61,7460611,28.692,42955
2023-05-15,28.83,29.48,28.66,29.1,5662290,29.081,32142
2023-05-16,28.91,29.06,27.84,27.88,6482762,28.101,33122
2023-05-17,28.34,29.17,27.89,28.94,7265248,28.704,39153
2023-05-18,28.68,29.94,28.47,29.87,7904658,29.313,42334
2023-05-19,30.25,30.6,29.9,30.17,7267306,30.147,39932
2023-05-22,30.15,30.53,29.8,30.22,7065561,30.207,40886
2023-05-23,30.35,30.77,30.04,30.58,7501392,30.503,38282
2023-05-24,30.79,31.29,30.53,30.82,7525763,30.835,38157
2023-05-25,30.25,30.58,29.95,30.32,7979689,30.253,45073
2023-05-26,30.61,30.76,29.82,30.2,7152821,30.135,40310
2023-05-30,29.51,29.82,29.12,29.73,8720457,29.493,45260
2023-05-31,29.1,29.35,28.43,28.65,14148037,28.723,66084
2023-06-01,28.73,30.25,28.72,30.0,8161622,29.682,44589
2023-06-02,30.6,32.13,30.51,31.64,9396792,31.555,48975
2023-06-05,32.35,32.38,30.89,31.16,8554754,31.228,48147
2023-06-06,30.35,31.4,30.35,31.23,6115537,31.12,32917
2023-06-07,31.47,32.7,31.31,32.55,9328734,32.41,48724
2023-06-08,32.69,32.82,31.62,32.15,5442109,32.215,32225
2023-06-09,32.1,32.77,31.94,32.34,5405333,32.324,34554
2023-06-12,31.61,32.33,31.51,31.73,5086251,31.856,28019
2023-06-13,32.31,33.62,32.2,32.7,7470788,33.079,42335
2023-06-14,32.99,33.25,31.78,32.05,5584066,32.404,31018
2023-06-15,32.13,32.94,32.12,32.71,5119437,32.669,30407
2023-06-16,32.76,32.93,32.32,32.58,5725853,32.657,26827
2023-06-20,32.21,32.28,31.26,31.48,5906338,31.527,33911
2023-06-21,31.27,32.45,31.09,31.92,5686601,32.042,32956
2023-06-22,31.5,31.53,30.87,31.27,4641741,31.189,24572
2023-06-23,30.23,30.94,30.04,30.89,7660077,30.663,42544
2023-06-26,31.08,32.0,31.07,31.67,3792503,31.731,22039
2023-06-27,31.58,32.52,31.36,32.42,5964016,32.172,29930
2023-06-28,32.26,32.81,31.75,32.56,5027487,32.465,26547
2023-06-29,32.64,33.22,32.27,33.19,6129336,32.833,29909
2023-06-30,33.43,33.49,32.96,32.99,4986546,33.204,24742
2023-07-03,33.2,34.0,32.96,33.63,2728024,33.64,14140
2023-07-05,33.86,33.93,33.0,33.2,4716945,33.238,24922
2023-07-06,32.84,33.35,32.35,33.01,3519556,32.77,17401
2023-07-07,32.75,35.77,32.73,35.58,10645909,35.062,53813
2023-07-10,35.33,36.16,35.23,36.0,7364916,35.855,38238
2023-07-11,36.22,37.75,36.2,37.52,11292081,37.237,53787
2023-07-12,37.88,38.31,37.64,37.92,7354477,38.017,35605
2023-07-13,38.0,38.57,37.48,37.75,8247964,37.862,37488
2023-07-14,37.18,37.32,36.66,36.89,7748059,36.963,40681
2023-07-17,36.83,37.68,36.66,37.36,5389011,37.356,30295
2023-07-18,37.4,38.48,37.3,38.11,7432326,38.089,40380
2023-07-19,37.12,38.1,36.7,37.01,11968108,37.227,60911
2023-07-20,37.01,37.1,35.56,36.45,13601830,36.113,67078
2023-07-21,36.28,37.09,36.22,36.94,8363785,36.776,42860
2023-07-24,37.21,38.42,37.19,38.26,7563098,38.095,36425
2023-07-25,38.44,38.8,37.92,38.42,5831580,38.426,27740
2023-07-26,38.12,38.54,37.86,38.21,4240496,38.274,21914
2023-07-27,38.44,38.66,37.76,37.93,5975754,38.142,32448
2023-07-28,38.0,38.19,37.72,38.16,4966752,38.07,26118
2023-07-31,38.57,39.23,38.42,39.08,6076787,39.039,32007
2023-08-01,38.8,39.29,38.27,39.27,4613586,38.928,24079
2023-08-02,38.86,39.32,38.36,39.03,4452803,38.882,23364
2023-08-03,39.03,39.99,38.96,39.69,6123677,39.681,31177
2023-08-04,39.91,40.1,39.37,39.55,6595817,39.734,30986
2023-08-07,39.64,39.99,39.42,39.59,3922105,39.701,22290
2023-08-08,38.63,39.89,38.26,39.78,5446084,39.314,30178
2023-08-09,40.0,41.08,39.86,40.46,6525599,40.566,32845
2023-08-10,40.37,40.93,40.06,40.36,5273721,40.429,27816
2023-08-11,40.26,40.85,40.22,40.7,4861605,40.616,26517
2023-08-14,40.58,40.73,40.04,40.31,3827752,40.331,22027
2023-08-15,39.98,40.09,39.2,39.49,4077341,39.558,22948
2023-08-16,39.57,39.99,39.19,39.29,5231452,39.606,26664
2023-08-17,40.05,40.34,39.13,39.27,3188692,39.608,17942
2023-08-18,38.8,39.58,38.7,39.4,5112675,39.28,26287
2023-08-21,39.51,39.78,38.7,39.0,4702126,39.05,23299
2023-08-22,39.11,39.12,38.39,38.58,5496139,38.68,27619
2023-08-23,38.02,38.93,37.69,38.72,4692022,38.576,23483
2023-08-24,38.5,38.9,38.13,38.24,2898752,38.576,16116
2023-08-25,38.52,38.66,37.84,38.15,4117148,38.206,24758
2023-08-28,38.43,39.09,38.24,38.71,3191331,38.689,16885
2023-08-29,38.84,38.92,38.41,38.75,2695732,38.704,15004
2023-08-30,39.0,39.35,38.79,38.91,4281997,39.009,22144
2023-08-31,39.05,39.09,38.51,38.62,4309140,38.744,22452
2023-09-01,39.38,39.89,39.08,39.81,6602680,39.638,30994
2023-09-05,39.96,40.89,39.88,40.7,6338158,40.604,30203
2023-09-06,40.49,40.99,40.4,40.88,3648500,40.714,17399
2023-09-07,40.79,41.26,40.71,41.08,5124161,41.037,22178
2023-09-08,41.11,41.64,41.05,41.28,6874695,41.447,32595
2023-09-11,41.64,42.18,41.13,41.32,4935990,41.66,24767
2023-09-12,41.81,42.74,41.7,42.36,5783044,42.315,27723
2023-09-13,42.49,42.66,41.72,41.9,4176780,42.014,21396
2023-09-14,42.44,42.53,42.12,42.21,3783961,42.339,18836
2023-09-15,42.0,42.52,41.71,42.11,5632221,42.159,25170
2023-09-18,42.47,42.82,42.16,42.64,3550104,42.576,18456
2023-09-19,43.0,43.15,41.06,41.43,5282873,41.838,25897
2023-09-20,41.19,42.14,41.18,41.29,3600987,41.764,19480
2023-09-21,41.42,41.5,40.51,40.76,3666420,40.848,20406
2023-09-22,41.01,41.33,40.61,40.63,2911219,40.888,14652
2023-09-25,40.55,41.04,40.4,40.98,2672516,40.804,14682
2023-09-26,40.52,41.24,40.46,40.79,3819716,40.823,20686
2023-09-27,41.43,42.37,41.13,42.03,4171802,41.992,23221
2023-09-28,41.87,42.42,41.62,41.79,3708632,41.997,19436
2023-09-29,41.65,41.73,40.19,40.5,5382178,40.619,30149
2023-10-02,40.42,40.61,39.32,39.77,4299706,39.652,25159
