timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,7.01,7.1,6.85,7.1,9368045,6.974,20878
2023-05-03,7.1,7.22,7.04,7.07,10337037,7.128,21869
2023-05-04,7.04,7.05,6.76,6.8,9663087,6.841,19149
2023-05-05,6.91,7.09,6.85,7.02,7624795,6.996,17152
2023-05-08,7.03,7.15,7.02,7.07,7113235,7.086,17576
2023-05-09,7.02,7.05,6.9,7.01,5288332,7.0,15334
2023-05-10,7.11,7.14,6.82,6.94,7593039,6.928,19271
2023-05-11,6.91,6.94,6.79,6.85,7416679,6.835,16387
2023-05-12,6.89,6.91,6.7,6.74,6592989,6.766,16397
2023-05-15,6.73,6.94,6.71,6.93,7334906,6.873,18155
2023-05-16,6.88,6.96,6.81,6.81,4928759,6.87,12042
2023-05-17,6.89,7.27,6.85,7.22,12235005,7.128,26877
2023-05-18,7.22,7.24,7.09,7.22,6056160,7.183,15651
2023-05-19,7.22,7.23,7.02,7.09,9319587,7.096,21786
2023-05-22,7.09,7.16,6.87,6.94,9380307,6.967,22389
2023-05-23,6.97,7.17,6.88,6.88,9291180,7.024,21473
2023-05-24,6.86,6.86,6.68,6.76,10182754,6.735,23506
2023-05-25,6.81,6.94,6.77,6.83,8964622,6.836,21365
2023-05-26,6.85,6.96,6.8,6.83,7289949,6.864,18970
2023-05-30,6.89,6.92,6.78,6.81,6823281,6.828,16851
2023-05-31,6.87,6.88,6.7,6.83,10596524,6.784,24727
2023-06-01,6.83,6.97,6.76,6.83,8081610,6.862,19363
2023-06-02,6.94,7.23,6.9,7.18,12171620,7.103,25269
2023-06-05,7.15,7.15,6.96,6.98,7382082,7.012,17943
2023-06-06,6.95,7.41,6.87,7.4,8847602,7.205,19835
2023-06-07,7.44,7.49,7.35,7.42,8141413,7.42,20860
2023-06-08,7.4,7.51,7.25,7.42,6038838,7.416,14655
2023-06-09,7.48,7.55,7.42,7.47,7287316,7.496,19575
2023-06-12,7.55,7.82,7.54,7.72,7384687,7.706,19631
