timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,385.65,386.1,376.58,378.45,380201,379.971,2982
2023-05-03,378.7,386.3,377.21,378.17,288045,380.816,2403
2023-05-04,378.17,378.71,369.66,373.23,263765,373.673,1967
2023-05-05,381.6,388.18,379.58,385.66,340824,384.232,2642
2023-05-08,386.29,387.21,381.15,383.52,303717,383.07,2291
2023-05-09,379.42,381.21,374.49,375.75,324920,377.54,2558
2023-05-10,381.0,388.36,380.5,386.38,315254,385.106,2525
2023-05-11,386.45,389.66,381.82,386.54,268173,385.437,2210
2023-05-12,388.21,390.72,382.88,386.97,291516,386.347,2421
2023-05-15,388.96,404.72,385.8,404.1,592584,397.649,4303
2023-05-16,403.56,413.26,403.56,408.81,596787,409.898,4669
2023-05-17,411.34,420.54,408.78,416.83,470175,415.474,3743
2023-05-18,416.51,429.4,416.51,428.57,497239,425.955,3514
2023-05-19,429.0,429.45,422.1,423.64,440135,424.672,2837
2023-05-22,419.81,426.15,418.86,420.81,314878,421.193,2516
2023-05-23,417.57,420.8,414.32,414.69,294043,416.537,2198
2023-05-24,406.77,410.47,404.8,408.9,348156,407.406,2902
2023-05-25,418.49,436.3,418.12,434.25,676412,429.208,5305
2023-05-26,435.68,465.0,434.47,461.19,892642,455.085,7199
2023-05-30,467.81,473.97,453.66,458.73,538785,460.62,4077
2023-05-31,448.85,455.52,442.22,442.99,466426,446.791,3441
2023-06-01,445.98,455.73,437.2,452.53,512245,449.087,4192
2023-06-02,454.51,458.67,445.16,458.06,514970,455.009,4088
2023-06-05,456.27,461.41,451.42,458.05,440455,457.75,3501
2023-06-06,451.03,464.67,447.0,461.0,487601,458.637,4121
2023-06-07,463.99,472.92,460.61,463.76,483409,465.692,3638
2023-06-08,465.1,475.36,464.02,473.86,395653,471.931,3281
2023-06-09,475.74,477.92,464.91,465.65,464734,468.202,3755
2023-06-12,468.98,476.29,466.09,475.43,491626,471.967,3504
2023-06-13,480.81,482.2,472.44,479.89,289879,478.72,2207
2023-06-14,471.8,481.15,471.15,480.54,362845,477.329,2665
2023-06-15,475.28,477.08,470.57,472.58,361108,473.865,2773
2023-06-16,472.5,475.01,463.1,464.89,605552,469.778,3432
2023-06-20,466.49,470.2,460.35,464.45,254104,464.379,1877
2023-06-21,460.93,464.49,455.43,456.43,273975,458.569,2141
2023-06-22,453.05,467.89,452.96,467.38,279426,464.69,2253
2023-06-23,457.5,459.95,454.59,456.95,316506,457.459,2639
2023-06-26,458.1,468.35,458.1,458.55,266238,462.234,2068
2023-06-27,460.22,478.63,460.22,476.93,310097,470.214,2474
2023-06-28,470.41,477.57,469.52,474.43,296290,473.624,2210
2023-06-29,479.18,479.4,472.58,477.23,187994,476.54,1589
2023-06-30,482.74,488.25,481.2,485.02,332409,485.036,2629
2023-07-03,485.04,488.41,477.34,484.82,192795,481.88,1531
2023-07-05,474.71,479.6,467.01,467.91,512550,471.548,3716
2023-07-06,463.0,465.05,453.59,461.54,466578,458.182,3501
2023-07-07,455.91,465.96,454.09,455.83,245709,459.634,2097
2023-07-10,456.52,469.74,456.38,467.66,298066,465.578,2468
2023-07-11,467.81,467.81,451.54,459.48,240768,456.56,1989
2023-07-12,466.7,467.45,459.81,466.07,303518,464.442,2642
2023-07-13,471.23,477.58,468.98,475.82,202412,474.778,1691
