timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,64.14,64.14,63.27,64.01,7970160,63.732,47232
2023-05-03,64.02,64.18,63.58,63.65,7552286,63.835,47812
2023-05-04,63.74,63.93,63.51,63.72,7740594,63.672,44599
2023-05-05,63.64,64.21,63.63,64.02,6191157,63.994,33038
2023-05-08,63.81,64.06,63.61,63.92,4974843,63.932,27905
2023-05-09,63.64,63.75,63.28,63.39,5464296,63.476,28156
2023-05-10,63.32,63.64,62.99,63.5,6154235,63.293,35520
2023-05-11,63.58,63.93,63.01,63.86,6184502,63.572,34707
2023-05-12,63.86,64.19,63.7,64.11,5771390,63.972,32836
2023-05-15,64.22,64.25,63.71,63.94,5153197,63.945,29462
2023-05-16,63.9,63.9,63.16,63.22,6125998,63.37,32816
2023-05-17,63.4,63.42,62.73,63.15,7280160,63.045,37941
2023-05-18,63.01,63.04,62.57,62.8,9162444,62.778,41295
2023-05-19,63.04,63.1,62.6,62.83,6441262,62.847,32896
2023-05-22,62.79,62.87,61.44,61.51,10130762,61.746,59624
2023-05-23,61.51,61.67,61.17,61.4,9048882,61.507,48558
2023-05-24,61.38,61.43,60.72,60.88,6544534,60.957,37670
2023-05-25,60.47,60.73,60.15,60.41,9002364,60.483,48459
2023-05-26,60.45,60.64,60.11,60.26,7909253,60.301,44149
2023-05-30,60.09,60.2,59.52,59.78,10419292,59.776,53837
2023-05-31,59.92,60.28,59.36,59.66,16571809,59.806,83726
2023-06-01,59.94,60.17,59.77,60.0,8255357,59.963,45704
2023-06-02,60.27,61.32,60.08,61.16,9382437,61.059,49877
2023-06-05,61.02,61.44,60.55,60.75,8027013,60.87,46289
2023-06-06,60.86,60.99,60.12,60.31,7412068,60.351,40803
2023-06-07,60.01,60.36,59.82,60.22,8882089,60.168,48818
2023-06-08,60.13,60.41,59.98,60.37,8135982,60.219,42400
2023-06-09,60.27,60.67,60.17,60.47,7685242,60.516,40542
2023-06-12,60.59,60.65,60.02,60.21,9020226,60.201,41571
2023-06-13,60.21,60.67,60.04,60.45,7516507,60.441,39398
2023-06-14,60.73,61.08,60.6,60.86,8810038,60.89,46844
2023-06-15,60.61,61.3,60.34,61.23,8986431,60.98,47694
2023-06-16,61.6,62.17,61.48,61.67,14776739,61.802,62541
2023-06-20,61.59,61.96,61.24,61.26,9128352,61.557,44359
2023-06-21,61.31,61.72,60.98,61.43,6603086,61.432,33185
2023-06-22,61.81,62.1,61.58,61.85,8147792,61.794,42878
2023-06-23,61.94,61.97,61.18,61.2,8660765,61.58,40972
