timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,208.5,208.5,203.24,205.97,1255611,205.232,9150
2023-05-03,206.38,210.32,205.15,205.31,1306880,208.188,9249
2023-05-04,205.24,206.63,201.27,202.8,1251635,203.464,9507
2023-05-05,204.05,206.52,203.31,205.81,1132491,204.992,8549
2023-05-08,205.6,206.12,203.03,204.05,870802,204.385,6468
2023-05-09,204.1,207.18,203.24,207.12,1256677,205.862,9179
2023-05-10,207.95,208.76,201.98,204.32,1515116,204.836,10957
2023-05-11,204.0,204.44,201.84,203.3,1591293,202.817,11285
2023-05-12,203.32,204.51,201.25,203.26,1212144,202.643,9465
2023-05-15,202.45,202.95,199.35,201.55,1710681,200.927,13214
2023-05-16,196.47,199.97,193.59,199.22,2692838,197.961,18954
2023-05-17,199.37,207.43,198.75,207.2,2007124,204.88,13905
2023-05-18,207.48,209.26,205.5,209.16,1143634,207.557,8639
2023-05-19,208.34,208.53,204.94,206.27,1218521,206.64,8569
2023-05-22,206.7,208.37,202.91,203.15,1965454,204.334,14741
2023-05-23,202.83,209.75,202.44,206.65,3770943,207.411,24730
2023-05-24,206.75,208.93,202.1,203.63,1489919,203.971,11282
2023-05-25,203.0,204.01,200.9,201.04,1441813,202.486,9772
2023-05-26,202.06,206.78,201.21,206.52,1589881,205.008,12026
2023-05-30,207.0,207.44,203.77,205.7,1337406,205.248,10291
2023-05-31,204.12,204.12,199.5,201.13,1520550,201.265,10982
2023-06-01,200.96,204.74,197.48,203.92,1403069,202.25,10749
2023-06-02,205.5,210.3,205.5,209.81,1364922,208.566,9738
2023-06-05,208.3,209.0,206.27,206.78,1271836,207.422,9514
2023-06-06,206.54,208.51,205.63,207.16,1658473,207.591,10428
2023-06-07,208.0,211.85,208.0,211.21,1858453,210.365,13798
2023-06-08,211.85,213.79,210.26,210.46,1267965,211.609,9579
2023-06-09,211.26,211.49,208.77,209.12,1034501,209.761,7590
2023-06-12,210.2,213.85,209.2,213.36,1220627,212.532,9271
2023-06-13,215.0,217.48,214.09,217.35,1439800,216.399,10274
2023-06-14,216.78,218.28,213.75,214.86,1291043,215.983,9411
2023-06-15,215.8,219.6,215.78,218.93,1202149,218.031,8906
2023-06-16,219.34,219.49,216.85,217.08,1754064,218.291,9371
2023-06-20,215.83,216.75,214.41,215.46,1173354,215.582,8396
2023-06-21,215.64,215.81,213.86,214.25,1318425,214.702,10388
2023-06-22,213.79,215.37,211.62,214.82,1551458,214.219,11357
2023-06-23,213.92,216.4,213.1,215.22,1473178,215.215,11384
2023-06-26,215.96,219.03,215.56,217.96,1228933,217.804,8596
2023-06-27,218.99,223.99,218.99,223.56,2291695,223.086,15929
2023-06-28,222.25,224.15,221.55,222.52,2056465,222.703,12560
2023-06-29,223.23,223.81,221.82,222.82,1882876,222.883,12542
2023-06-30,224.1,226.49,223.58,225.7,2126786,225.288,13424
2023-07-03,224.62,226.05,223.49,224.59,820377,225.101,5567
2023-07-05,224.41,226.95,224.12,225.49,1566729,225.189,10513
2023-07-06,222.8,223.56,221.28,221.42,1302200,222.186,9278
2023-07-07,221.05,223.9,220.73,221.94,1070966,222.426,8356
2023-07-10,223.12,229.16,222.88,229.12,1202920,227.26,7983
2023-07-11,231.27,231.27,228.85,229.43,1134387,229.854,8175
2023-07-12,231.75,235.07,231.1,232.11,1116168,233.399,8112
2023-07-13,232.57,233.26,228.44,229.54,891224,229.723,6268
2023-07-14,229.95,230.86,228.48,228.74,801765,229.371,5649
2023-07-17,228.71,230.1,227.25,227.97,936073,228.883,7281
2023-07-18,227.75,231.12,226.55,229.91,907319,229.55,6796
2023-07-19,229.6,232.23,229.48,230.89,789269,230.826,6131
2023-07-20,231.38,231.38,228.42,230.99,941876,230.205,7206
2023-07-21,232.45,235.02,231.72,233.78,1161707,233.934,8505
2023-07-24,234.2,235.81,233.58,234.0,900254,234.436,6706
2023-07-25,232.38,234.39,231.19,233.94,691098,233.396,5277
2023-07-26,233.7,235.16,232.83,234.07,770290,233.946,6068
2023-07-27,236.08,237.21,234.4,234.9,1003988,235.665,7096
2023-07-28,236.96,237.2,234.45,235.09,950351,235.381,6438
2023-07-31,235.08,235.94,232.73,234.27,939164,234.063,7068
2023-08-01,232.94,234.97,232.11,232.35,912059,233.206,6645
2023-08-02,230.0,231.95,229.28,229.49,1149370,230.149,8704
2023-08-03,228.87,229.2,226.55,226.72,1233323,227.659,9728
2023-08-04,224.0,226.21,222.42,223.12,1196476,224.177,9180
2023-08-07,224.2,225.04,222.61,223.3,841366,223.436,6387
2023-08-08,220.0,221.39,217.42,220.91,1059978,219.685,7503
2023-08-09,220.58,221.16,218.5,219.64,1027388,219.912,7715
2023-08-10,221.47,223.25,219.21,220.86,887753,221.016,6999
2023-08-11,221.02,225.2,220.58,223.69,1189399,223.854,9384
2023-08-14,224.37,226.47,223.65,225.89,1412935,225.213,10723
2023-08-15,223.53,226.76,223.26,223.84,1008181,224.317,7421
2023-08-16,224.79,226.86,222.11,222.15,625536,223.851,4781
2023-08-17,223.23,223.87,217.72,218.15,870273,220.122,6504
2023-08-18,217.46,219.95,216.59,219.35,1156708,218.731,7484
2023-08-21,218.62,220.62,216.25,217.59,1330902,218.047,10068
2023-08-22,222.06,227.29,221.23,225.74,2163575,225.351,15360
2023-08-23,225.96,227.5,224.84,227.19,1135970,226.419,8276
2023-08-24,226.79,228.94,222.96,222.97,949413,225.413,7067
2023-08-25,223.81,226.16,221.74,223.07,817692,223.248,6197
2023-08-28,223.99,225.58,221.4,222.72,811888,223.578,5500
2023-08-29,222.74,226.69,222.67,226.41,949544,225.723,7037
2023-08-30,227.5,230.85,227.18,230.31,1340506,229.527,10121
