timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,52.49,52.67,51.43,52.19,3505340,52.138,2498
2023-05-03,52.25,52.7,51.3,51.46,6429960,51.874,5197
2023-05-04,51.51,51.57,50.72,51.22,3808570,51.151,2872
2023-05-05,51.86,53.11,51.65,52.98,6367490,52.545,5172
2023-05-08,53.0,53.15,52.32,52.68,4097810,52.732,3296
2023-05-09,52.0,52.0,51.21,51.58,4953190,51.592,3628
2023-05-10,52.41,53.15,52.01,52.73,4324130,52.655,3515
2023-05-11,52.84,53.08,52.07,52.75,2928480,52.516,2184
2023-05-12,53.02,53.35,52.14,52.71,4319010,52.78,3402
2023-05-15,53.08,55.25,53.0,55.23,8660890,54.477,5932
2023-05-16,55.03,56.42,54.93,55.89,8187300,56.021,6178
2023-05-17,56.45,58.03,56.01,57.41,7042650,57.222,5452
2023-05-18,57.4,60.03,57.4,59.87,8980940,59.36,6591
2023-05-19,59.61,59.61,58.83,58.89,5066520,59.166,3771
2023-05-22,58.54,59.17,58.17,58.51,4521500,58.523,3326
2023-05-23,58.2,58.2,57.21,57.35,4187020,57.622,3252
2023-05-24,56.35,56.91,55.94,56.59,4943060,56.337,4040
2023-05-25,58.6,60.68,57.99,60.21,8954970,59.597,7053
2023-05-26,60.52,63.3,60.0,62.83,7774620,62.137,6053
2023-05-30,64.1,64.46,61.92,63.0,6239510,62.996,4543
2023-05-31,61.84,63.03,61.39,61.67,6383380,62.061,4892
2023-06-01,61.67,62.55,60.47,61.99,6387310,61.633,4853
2023-06-02,62.05,62.2,60.77,61.37,4686830,61.431,3845
2023-06-05,61.28,61.39,60.3,60.56,3560880,60.766,2883
2023-06-06,59.61,61.57,59.38,61.22,4148470,60.804,3186
2023-06-07,61.29,62.12,60.76,61.08,5199210,61.317,4169
2023-06-08,61.19,61.62,60.45,61.45,3553080,61.171,2583
2023-06-09,61.83,62.11,60.58,60.66,4310790,61.154,3471
2023-06-12,61.27,62.85,60.73,62.75,6979100,61.823,4936
2023-06-13,62.5,62.97,61.59,62.55,4976440,62.437,3748
2023-06-14,62.0,63.07,61.3,63.0,4338500,62.295,3407
2023-06-15,61.77,62.51,61.64,62.1,8127540,62.071,5317
