timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,377.77,378.84,370.94,376.03,1287295,374.317,9292
2023-05-03,376.67,379.55,374.33,374.9,947210,377.078,7137
2023-05-04,374.5,376.85,372.14,376.12,1523732,374.678,10238
2023-05-05,380.57,385.15,378.24,384.66,1352230,383.297,9717
2023-05-08,384.01,387.46,383.77,385.51,908856,386.046,6556
2023-05-09,383.88,386.17,382.7,382.94,869409,384.343,6281
2023-05-10,385.99,386.76,377.65,382.54,896924,381.763,6579
2023-05-11,382.21,385.72,379.26,383.39,872086,383.214,6370
2023-05-12,384.49,385.03,378.8,381.92,1013062,381.248,7607
2023-05-15,381.87,383.66,380.52,383.41,970550,382.273,6818
2023-05-16,382.6,383.6,377.31,380.24,1508635,379.727,10023
2023-05-17,382.2,387.52,379.13,387.0,1546018,384.324,10172
2023-05-18,387.11,392.02,385.81,392.02,1514222,388.756,9672
2023-05-19,392.0,392.2,385.14,385.57,1507415,387.99,10149
2023-05-22,384.99,387.37,384.18,384.53,882210,385.518,5332
2023-05-23,381.52,382.03,370.44,373.75,2273934,374.765,14875
2023-05-24,369.37,369.61,365.58,368.5,1388195,367.666,9951
2023-05-25,367.91,370.99,364.91,370.04,1460617,368.324,10405
2023-05-26,371.0,375.68,370.05,374.37,1225666,373.975,7847
2023-05-30,376.28,376.63,366.2,367.5,1893863,370.229,13604
2023-05-31,365.0,365.7,357.85,365.02,2618385,361.471,18117
2023-06-01,367.16,371.09,366.05,370.88,1764272,368.64,11417
2023-06-02,374.59,375.82,372.15,373.73,1163233,373.855,8604
2023-06-05,372.75,373.03,368.53,370.52,1247229,371.141,9750
2023-06-06,372.95,380.38,371.8,379.96,1424075,377.636,11363
2023-06-07,379.29,380.5,368.26,371.39,2052019,372.11,14974
2023-06-08,369.36,369.77,365.84,367.59,1373632,368.253,10024
2023-06-09,370.46,372.11,367.76,369.22,1227886,369.446,9139
2023-06-12,370.67,375.97,369.94,375.31,1195319,373.506,8593
2023-06-13,375.31,377.18,369.81,371.38,1189582,372.258,8621
2023-06-14,372.93,378.08,372.02,374.76,1412760,375.328,9910
2023-06-15,373.27,379.57,370.52,379.04,1262806,376.016,8511
2023-06-16,381.61,382.9,376.16,376.53,2317506,380.02,11187
2023-06-20,375.01,379.51,373.75,374.62,1537313,375.723,11032
2023-06-21,373.96,378.39,373.66,376.14,972439,376.42,6706
2023-06-22,375.11,378.48,373.94,377.8,990267,376.587,6611
2023-06-23,374.98,381.12,373.22,379.81,1562365,378.064,9924
2023-06-26,378.06,379.99,375.35,377.42,1455109,377.243,10304
