timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,56.78,57.68,56.39,57.54,2433801,57.062,15960
2023-05-03,57.78,58.8,57.55,58.36,3940104,58.249,26312
2023-05-04,58.58,58.73,57.61,57.82,4705816,57.946,30354
2023-05-05,59.25,60.47,59.08,59.71,5432570,59.902,31446
2023-05-08,59.41,59.41,57.8,59.04,3931048,58.71,25760
2023-05-09,59.01,59.62,58.45,58.69,3337341,58.933,21104
2023-05-10,58.43,59.41,58.43,59.11,2590384,59.089,15600
2023-05-11,59.35,59.35,58.61,59.28,2266804,59.055,14051
2023-05-12,59.2,59.7,59.2,59.54,2114022,59.446,14944
2023-05-15,59.33,59.87,59.08,59.72,1624790,59.647,10499
2023-05-16,59.69,60.12,59.23,59.94,1845895,59.905,12210
2023-05-17,59.77,59.9,59.09,59.65,2523411,59.482,14706
2023-05-18,59.43,59.92,59.27,59.85,2049571,59.638,14946
2023-05-19,60.23,60.25,59.31,59.68,2926777,59.668,18991
2023-05-22,59.88,60.23,59.05,59.12,2387739,59.419,15156
2023-05-23,59.05,59.05,57.67,57.94,2695140,58.081,19825
2023-05-24,57.89,57.92,57.48,57.57,2726701,57.66,18603
2023-05-25,57.24,57.59,56.81,57.33,2412205,57.341,15589
2023-05-26,57.46,57.87,57.15,57.61,1596539,57.637,11171
2023-05-30,57.42,57.89,57.32,57.75,2091257,57.607,13132
2023-05-31,58.11,58.73,57.82,58.62,2478987,58.397,15109
2023-06-01,58.57,59.56,58.56,59.36,2076328,59.162,12681
2023-06-02,59.01,59.81,59.01,59.48,2023966,59.5,12752
2023-06-05,59.44,59.81,59.05,59.26,1804004,59.341,12071
2023-06-06,59.31,59.37,58.07,58.33,1739670,58.461,11325
2023-06-07,58.04,58.32,56.88,56.9,2945878,57.388,19105
2023-06-08,56.61,57.59,56.48,57.53,1833059,57.259,12036
2023-06-09,57.33,57.55,57.01,57.25,2249712,57.337,14012
2023-06-12,57.43,58.0,56.88,57.91,2213545,57.578,13832
2023-06-13,58.16,58.31,57.85,58.18,1503401,58.115,11150
2023-06-14,58.34,58.56,57.89,58.48,1432501,58.288,10314
2023-06-15,58.71,58.97,58.31,58.8,2098995,58.662,14381
2023-06-16,59.01,59.37,58.36,58.45,3789148,58.867,18399
2023-06-20,58.52,58.98,58.23,58.36,1612784,58.558,10801
2023-06-21,58.3,58.83,57.94,58.41,1363448,58.495,9491
2023-06-22,58.64,59.81,58.64,59.69,1731433,59.459,11374
2023-06-23,59.8,60.03,58.76,59.11,3801669,59.148,19338
2023-06-26,59.01,59.04,57.67,57.71,3562188,58.169,16963
2023-06-27,57.89,58.37,57.64,58.13,1589856,58.113,11382
2023-06-28,57.97,58.01,57.02,57.15,2501048,57.425,16957
2023-06-29,57.0,57.92,56.8,57.42,2982900,57.445,19494
2023-06-30,57.8,58.0,57.23,57.44,2206004,57.497,15050
2023-07-03,57.0,57.12,56.48,56.95,1530372,56.902,10373
2023-07-05,57.06,57.33,56.7,56.97,2534442,56.98,17928
2023-07-06,56.61,57.02,56.51,56.61,2640665,56.686,17181
2023-07-07,56.6,56.67,55.8,55.87,2829611,56.208,18129
2023-07-10,56.15,57.01,56.07,56.38,2573118,56.643,18525
2023-07-11,56.33,56.52,55.28,55.53,3634080,55.545,20326
2023-07-12,56.0,56.49,55.71,56.21,3785266,56.204,22981
2023-07-13,56.32,56.85,56.24,56.74,1849424,56.634,12684
2023-07-14,56.85,57.39,56.59,57.31,1616871,57.106,11481
2023-07-17,57.06,57.84,57.0,57.29,2571178,57.405,16707
2023-07-18,57.27,57.4,55.99,56.55,3337680,56.633,21745
2023-07-19,56.55,57.47,56.55,57.25,2687469,57.213,17781
2023-07-20,57.28,57.76,57.08,57.58,3129287,57.414,19016
2023-07-21,57.91,58.44,57.91,58.1,3610607,58.186,23380
2023-07-24,58.25,58.43,57.86,58.38,2483825,58.188,18724
2023-07-25,58.28,58.78,58.05,58.08,2441836,58.321,17183
2023-07-26,57.88,58.26,57.74,58.17,2749086,58.021,17113
2023-07-27,58.52,58.64,57.5,57.56,2083423,57.961,14703
2023-07-28,58.22,58.43,57.95,58.15,1721171,58.15,12232
2023-07-31,57.92,58.03,57.05,57.49,2256085,57.414,15343
2023-08-01,57.69,57.96,57.44,57.71,1921700,57.692,13243
