timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,122.0,122.43,114.56,116.97,3391958,116.978,23574
2023-05-03,115.37,116.77,109.89,110.07,4437787,111.988,29646
2023-05-04,109.54,110.48,104.44,105.06,4911628,105.83,35331
2023-05-05,107.93,108.46,106.68,106.9,2856275,107.409,17756
2023-05-08,108.52,109.79,107.71,108.71,3125767,108.845,18068
2023-05-09,107.88,111.89,107.69,110.94,3516059,110.638,21236
2023-05-10,111.53,112.97,109.29,111.72,2665668,111.631,17669
2023-05-11,109.59,111.67,108.99,110.1,2184317,110.184,16546
2023-05-12,111.17,111.76,109.08,109.88,1773905,110.112,13792
2023-05-15,110.41,111.94,109.52,110.63,2070060,110.649,15648
2023-05-16,109.88,110.84,106.48,106.75,2914404,107.769,22672
2023-05-17,108.32,111.27,107.1,110.63,2145477,109.676,16565
2023-05-18,109.95,111.3,108.67,110.98,2080800,110.145,15472
2023-05-19,111.81,112.15,109.85,110.31,1378931,110.798,9687
2023-05-22,110.53,111.78,110.35,110.63,1789071,110.972,13257
2023-05-23,110.88,111.51,109.42,109.92,2481000,110.514,17118
2023-05-24,111.05,111.4,109.18,110.54,2510584,110.221,16374
2023-05-25,109.02,109.79,107.43,109.52,2200392,108.789,15925
2023-05-26,110.18,110.31,107.69,108.81,2048467,108.864,15334
2023-05-30,106.54,108.22,106.16,107.79,2391682,107.244,18148
2023-05-31,105.61,106.55,104.32,104.91,3612558,105.319,25956
2023-06-01,105.45,107.27,104.81,105.87,2558314,106.373,19907
2023-06-02,107.94,109.88,106.76,108.91,1931869,108.701,14835
2023-06-05,109.85,110.53,107.6,108.69,1622852,108.743,12166
2023-06-06,107.05,109.41,106.95,109.03,1726296,108.843,12868
2023-06-07,109.13,114.16,108.94,114.12,2335521,112.515,15979
2023-06-08,114.0,114.59,110.49,112.43,2371323,112.746,18251
2023-06-09,112.74,113.54,111.22,113.01,1379529,112.827,9973
2023-06-12,111.09,113.83,111.04,112.37,1846355,112.671,14625
2023-06-13,113.75,115.6,112.32,112.5,1733552,114.048,14217
