timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,87.57,87.57,85.33,86.29,3941332,86.111,23257
2023-05-03,86.4,87.18,84.56,84.75,3840447,85.908,23055
2023-05-04,84.17,84.45,81.61,82.61,6890960,82.568,43069
2023-05-05,83.79,85.02,83.62,84.88,4992613,84.51,27603
2023-05-08,85.48,85.57,84.32,84.43,4036801,84.82,23901
2023-05-09,84.0,84.91,83.69,84.37,2897370,84.446,17280
2023-05-10,85.07,85.22,82.8,83.72,2567680,83.697,16529
2023-05-11,82.78,82.82,81.62,82.63,4155315,82.461,26479
2023-05-12,83.0,83.27,81.67,82.39,3477962,82.224,20693
2023-05-15,82.67,83.38,82.24,82.95,3622085,82.815,21323
2023-05-16,82.72,83.07,81.81,81.86,2963600,82.21,18647
2023-05-17,82.54,83.92,82.5,83.91,3714036,83.346,21574
2023-05-18,83.7,84.55,83.02,84.49,3271537,83.83,21767
2023-05-19,83.79,84.42,82.23,82.24,7216590,82.999,42325
2023-05-22,82.25,83.16,81.9,82.27,3694321,82.446,22941
2023-05-23,82.0,83.57,81.89,82.64,3659068,82.964,23516
2023-05-24,82.01,82.23,80.74,81.22,3797513,81.206,22197
2023-05-25,81.21,83.13,80.98,83.0,4482604,82.435,27339
2023-05-26,82.97,84.64,82.83,83.9,4191425,84.142,26247
2023-05-30,84.16,84.57,83.11,83.42,3489407,83.506,19766
2023-05-31,83.06,83.28,81.13,81.76,4602570,81.891,28077
2023-06-01,82.58,82.84,81.47,82.07,4113395,82.075,25263
2023-06-02,82.94,84.68,82.94,84.35,3684863,84.254,23425
2023-06-05,84.4,84.76,83.22,83.74,3725496,83.854,22729
2023-06-06,83.6,86.23,83.27,85.86,4629100,85.485,28583
2023-06-07,86.05,87.01,85.78,86.5,4944709,86.436,27714
2023-06-08,86.4,86.91,85.18,86.31,4587305,86.15,28336
2023-06-09,86.74,86.96,85.66,86.21,4311120,86.25,24845
2023-06-12,86.2,87.64,86.01,87.44,4108759,86.945,25535
2023-06-13,87.84,88.98,87.59,88.28,3727684,88.535,24074
2023-06-14,88.6,89.49,87.64,87.98,3717663,88.368,23546
2023-06-15,87.63,89.33,87.4,89.05,4200646,88.674,24855
2023-06-16,89.62,89.65,87.94,88.09,4809451,88.71,25107
2023-06-20,87.1,87.21,86.25,86.73,3994252,86.798,23990
2023-06-21,86.56,87.28,86.3,86.34,3460233,86.799,20707
2023-06-22,85.52,85.63,84.35,84.5,4064384,84.765,24302
2023-06-23,83.26,83.92,82.6,83.58,5660459,83.434,30415
2023-06-26,83.56,84.24,83.24,83.59,3677862,83.633,18251
2023-06-27,83.91,84.87,83.37,84.43,3815585,84.3,21253
2023-06-28,84.54,84.56,83.64,83.99,2919701,83.912,17522
2023-06-29,85.34,86.06,84.63,85.24,6544943,85.287,34394
2023-06-30,86.02,86.49,85.4,85.4,3324371,85.861,21274
2023-07-03,86.34,87.66,85.84,86.41,4292035,86.725,23835
2023-07-05,85.95,86.28,85.35,85.92,4302857,85.883,25441
2023-07-06,84.85,84.92,83.02,83.33,5847347,83.583,34931
2023-07-07,83.01,84.04,82.9,83.36,5652347,83.685,36751
2023-07-10,83.42,84.39,83.18,83.4,3925299,83.676,24973
2023-07-11,83.9,85.43,83.62,84.96,8212845,84.731,40110
2023-07-12,86.68,87.71,85.6,85.77,5465101,86.534,31085
2023-07-13,86.23,86.64,85.74,86.21,4104614,86.037,22625
2023-07-14,87.41,87.42,85.56,85.78,5318879,85.982,31964
2023-07-17,85.68,86.9,85.68,86.37,5211013,86.469,32343
2023-07-18,87.54,92.56,87.1,91.94,15137394,91.284,77944
2023-07-19,91.43,93.86,91.32,93.16,7859679,93.026,49452
2023-07-20,93.11,94.14,92.86,93.8,6250112,93.656,39625
2023-07-21,94.27,94.4,93.06,94.01,4121250,93.932,25694
2023-07-24,94.01,95.4,93.7,94.67,4575599,94.661,26493
2023-07-25,94.7,95.57,94.41,94.42,4611668,94.951,26909
2023-07-26,94.4,95.15,93.28,93.54,4886306,93.841,28368
2023-07-27,93.65,94.71,92.55,92.75,4352454,93.55,26387
2023-07-28,92.46,92.6,91.09,91.57,3703037,91.701,23419
2023-07-31,91.89,92.2,91.04,91.56,3115407,91.547,19575
2023-08-01,91.2,91.43,90.63,90.94,2801828,90.937,17600
2023-08-02,89.52,90.14,88.79,89.32,4053024,89.442,24566
2023-08-03,88.84,89.52,88.51,89.14,3549471,89.181,21503
2023-08-04,89.35,90.05,88.52,88.79,4289075,89.397,25629
2023-08-07,89.45,89.71,88.98,89.08,2715960,89.301,17220
2023-08-08,87.85,88.52,86.25,88.47,4150030,87.441,23757
2023-08-09,88.47,89.01,87.47,87.56,3381028,87.989,20046
2023-08-10,87.91,88.93,87.32,87.64,2494256,87.987,16724
2023-08-11,87.06,88.2,87.02,87.7,2519068,87.713,17342
2023-08-14,86.96,87.4,86.52,87.33,2266974,87.078,14521
2023-08-15,86.41,86.47,85.72,86.16,5586983,86.112,30887
2023-08-16,85.74,86.79,85.59,85.99,4091252,86.255,25116
2023-08-17,86.6,86.9,85.2,85.79,5779844,86.147,29228
2023-08-18,84.96,86.3,84.7,84.89,4785590,85.176,28009
2023-08-21,85.02,85.32,83.66,84.25,3216941,84.266,17602
2023-08-22,84.71,84.77,82.84,82.98,3888462,83.403,23531
2023-08-23,83.0,83.72,82.88,83.39,4040682,83.288,25739
2023-08-24,83.17,84.75,83.1,83.44,3209080,83.694,21057
2023-08-25,83.69,84.15,82.74,83.22,3302408,83.2,21752
2023-08-28,83.8,84.87,83.77,84.38,4142384,84.435,24410
2023-08-29,84.41,85.59,84.32,85.55,4417501,85.222,23455
2023-08-30,85.62,86.0,85.03,85.26,3387106,85.344,21298
2023-08-31,85.67,85.67,84.76,85.15,3529400,85.101,15817
2023-09-01,86.0,86.45,85.28,85.75,2979133,85.808,20368
