timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,62.32,62.58,61.24,61.9,7871219,61.903,46203
2023-05-03,61.5,62.18,60.81,60.91,7386963,61.407,41696
2023-05-04,60.54,60.96,59.9,60.51,10121135,60.359,52770
2023-05-05,60.61,61.74,60.1,61.23,8220932,61.227,46701
2023-05-08,61.25,61.35,60.3,60.87,7154264,60.915,36251
2023-05-09,59.84,61.39,59.55,60.93,8757076,60.68,48765
2023-05-10,61.84,62.31,59.79,59.99,9978105,60.6,55149
2023-05-11,60.66,61.81,60.06,61.61,11150436,61.139,67336
2023-05-12,61.98,62.19,60.15,60.92,8753401,61.187,49374
2023-05-15,62.23,64.87,61.8,64.64,15963689,63.495,85159
2023-05-16,64.55,65.22,63.3,63.73,10531791,64.18,58832
2023-05-17,64.58,65.32,63.44,64.92,10187172,64.578,57901
2023-05-18,65.95,68.59,65.08,67.57,23578033,67.664,113747
2023-05-19,67.53,68.39,66.43,68.17,11440901,67.693,63926
2023-05-22,65.75,66.75,64.76,66.23,28631327,65.849,135454
2023-05-23,65.85,67.56,65.71,66.01,10974174,66.615,58912
2023-05-24,64.91,66.73,64.86,66.53,9390432,65.79,54146
2023-05-25,69.76,69.88,67.51,69.61,20102439,68.989,107675
2023-05-26,69.89,74.59,69.8,73.93,22681430,73.101,125132
2023-05-30,74.46,74.77,71.58,71.69,15823060,72.499,94648
2023-05-31,68.9,69.85,67.92,68.2,17230283,68.553,101563
2023-06-01,68.85,69.79,68.09,69.09,12641353,68.991,72114
2023-06-02,69.98,70.55,68.29,69.17,9122787,69.154,55649
2023-06-05,69.5,69.5,67.51,67.77,8104744,68.053,49820
2023-06-06,67.12,68.84,66.81,67.54,8522529,67.675,49504
2023-06-07,68.41,68.67,66.94,67.06,9390659,67.69,55673
2023-06-08,66.54,66.54,64.01,65.32,19517374,64.996,104073
2023-06-09,65.87,66.4,64.46,65.43,10641047,65.443,60683
2023-06-12,65.86,67.54,65.79,67.45,9657555,66.927,57491
2023-06-13,68.56,68.88,67.6,67.87,7917075,68.224,50441
2023-06-14,67.55,69.21,67.52,69.12,6969798,68.406,43922
2023-06-15,68.59,69.52,68.36,68.82,6362433,68.899,40845
2023-06-16,70.22,70.5,66.06,67.66,20180610,67.795,102603
2023-06-20,67.31,67.62,65.77,66.9,7823322,66.527,51135
2023-06-21,66.8,67.2,65.34,65.8,6291502,66.158,43632
2023-06-22,65.53,66.66,65.51,66.25,5407680,66.184,36345
2023-06-23,65.35,65.96,64.84,65.28,6615830,65.381,41047
2023-06-26,65.63,66.7,65.41,65.45,9890811,65.982,56439
2023-06-27,65.27,66.84,63.79,66.79,12146793,65.624,71064
2023-06-28,65.65,67.73,65.39,67.07,15433255,66.849,90905
2023-06-29,67.86,67.95,63.55,64.33,39545518,64.551,171062
