timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,32.5,32.61,31.56,31.76,25752940,31.907,15518
2023-05-03,31.77,32.46,31.59,31.93,31223010,32.121,19733
2023-05-04,31.92,32.36,31.79,32.08,22790710,32.088,14768
2023-05-05,32.35,32.42,31.94,32.28,22028160,32.21,15130
2023-05-08,32.3,33.26,32.2,33.12,33215960,33.011,20000
2023-05-09,33.07,33.63,32.97,33.21,30639830,33.32,18158
2023-05-10,33.52,33.71,32.95,33.54,23107750,33.37,14005
2023-05-11,33.48,34.55,33.18,34.48,47111410,34.039,26244
2023-05-12,34.48,34.82,33.74,33.99,37096260,34.176,22687
2023-05-15,34.06,34.19,33.55,33.59,16911300,33.725,10571
2023-05-16,33.4,33.52,33.19,33.38,18056710,33.342,11399
2023-05-17,33.18,34.14,32.96,34.0,22043680,33.806,13841
2023-05-18,34.73,37.59,34.64,37.13,143886560,36.721,79484
2023-05-19,36.98,37.0,36.38,36.54,42314390,36.603,26426
2023-05-22,36.56,37.2,36.25,36.3,28404500,36.653,17546
2023-05-23,36.02,36.42,35.43,35.6,39952590,35.854,24612
2023-05-24,35.69,36.72,35.66,36.49,50354290,36.247,29581
2023-05-25,35.99,36.74,35.74,35.9,33721400,36.198,20960
2023-05-26,36.11,38.38,35.6,37.89,58950270,37.465,34207
2023-05-30,39.75,40.51,38.58,39.3,65984490,39.43,40656
2023-05-31,39.19,39.63,38.89,39.52,33887050,39.337,19268
2023-06-01,39.74,40.75,39.31,40.31,38357410,40.252,22195
2023-06-02,40.23,40.66,39.59,40.05,33320740,40.129,19829
2023-06-05,40.05,41.39,40.02,40.35,44134160,40.744,25084
2023-06-06,40.45,40.51,39.69,39.93,28896990,40.001,18119
2023-06-07,41.04,41.9,39.92,39.98,77188790,40.648,40790
2023-06-08,39.98,40.95,39.63,40.94,35741310,40.496,19019
2023-06-09,42.45,42.59,41.48,42.0,80413110,42.043,46347
2023-06-12,41.89,42.47,41.66,42.4,37020710,42.052,20853
2023-06-13,42.99,43.73,42.84,43.57,47329950,43.381,27434
2023-06-14,43.5,44.73,43.35,44.09,50578020,44.128,29084
2023-06-15,44.4,44.87,43.95,44.53,41051510,44.425,23870
2023-06-16,44.57,44.75,43.09,43.2,48745040,43.886,25723
2023-06-20,43.02,44.0,43.0,43.47,26422850,43.49,16304
2023-06-21,43.27,43.46,42.25,42.45,26201880,42.733,16898
2023-06-22,42.26,42.47,41.87,42.25,27371500,42.111,19200
2023-06-23,41.84,42.58,41.77,42.4,28208850,42.16,18137
2023-06-26,42.24,43.1,41.49,41.59,26347250,42.108,15319
2023-06-27,41.74,42.09,41.15,41.71,26585860,41.731,17346
2023-06-28,42.31,43.73,42.29,42.98,50009400,43.117,28600
2023-06-29,43.42,43.79,42.62,42.82,30802790,43.085,17299
2023-06-30,43.13,44.41,43.11,44.05,42127970,44.017,24788
2023-07-03,43.98,44.16,43.16,44.14,23661310,43.634,13045
2023-07-05,44.49,45.1,43.96,44.59,44233430,44.496,23811
2023-07-06,44.02,44.28,43.07,43.88,28219710,43.561,17363
2023-07-07,43.86,44.23,43.58,43.81,25094970,43.982,14536
2023-07-10,43.85,44.44,43.68,44.17,22717190,44.045,13802
2023-07-11,43.87,44.08,43.1,44.02,26789420,43.594,16373
2023-07-12,44.46,44.54,43.77,44.41,32820430,44.243,21039
2023-07-13,44.7,45.17,44.12,45.04,34009370,44.709,21117
2023-07-14,45.28,45.65,43.97,44.19,40082590,44.736,26049
2023-07-17,44.56,45.67,44.51,45.01,41046020,45.118,23858
2023-07-18,45.1,47.82,44.88,47.48,84722460,46.541,50025
2023-07-19,47.71,48.34,47.0,47.76,108213360,47.67,63681
2023-07-20,44.71,44.85,43.2,43.74,156200580,43.758,89622
2023-07-21,43.74,43.82,42.32,42.75,77291470,42.859,44455
2023-07-24,42.5,42.86,41.92,42.84,51378950,42.511,27510
2023-07-25,42.77,43.09,42.61,42.77,27016260,42.876,14733
2023-07-26,42.44,42.53,41.56,42.27,36339470,41.979,21929
2023-07-27,42.69,42.75,41.19,41.32,41004040,41.997,25725
2023-07-28,41.56,42.75,41.38,42.58,36573760,42.306,22536
2023-07-31,42.65,43.91,42.63,43.9,38508090,43.565,21602
2023-08-01,43.73,44.52,43.14,43.86,33945560,44.038,19481
2023-08-02,43.52,43.56,42.66,42.97,28108900,43.039,16630
2023-08-03,42.78,44.19,42.72,43.1,37769270,43.657,24376
2023-08-04,43.31,43.65,42.63,43.16,34319880,43.226,21463
2023-08-07,43.62,44.11,42.89,44.08,25023370,43.577,15321
2023-08-08,44.01,44.36,43.51,43.83,21277380,43.813,12570
2023-08-09,43.94,44.06,42.76,42.89,20831370,43.224,12407
2023-08-10,43.11,43.81,42.87,43.0,34082560,43.344,21583
2023-08-11,42.87,43.06,42.13,42.17,20160920,42.467,14101
2023-08-14,42.2,42.89,41.88,42.78,21789730,42.53,15763
2023-08-15,42.44,42.91,42.1,42.37,18444620,42.561,12756
2023-08-16,42.35,42.45,41.52,41.55,23954320,41.88,15713
2023-08-17,41.5,41.52,40.16,40.3,33225810,40.7,23571
2023-08-18,39.93,40.65,39.82,40.45,23315890,40.305,15958
