timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,7.65,7.75,7.33,7.45,50953626,7.457,79087
2023-05-03,7.45,7.77,7.4,7.64,37442260,7.574,57589
2023-05-04,7.75,8.12,7.75,8.06,47564672,7.977,80326
2023-05-05,8.14,8.37,8.1,8.15,31751218,8.244,57038
2023-05-08,8.29,8.54,8.03,8.27,28440389,8.222,54142
2023-05-09,7.93,8.22,7.85,8.16,22657963,8.071,38375
2023-05-10,8.2,8.52,8.04,8.13,44216379,8.234,81729
2023-05-11,8.15,8.45,8.09,8.45,46205464,8.295,71394
2023-05-12,8.27,8.34,7.94,7.95,38779352,8.043,64960
2023-05-15,8.06,8.28,7.9,8.25,32676165,8.126,56572
2023-05-16,8.1,8.11,7.81,7.91,31535902,7.944,56179
2023-05-17,7.82,8.05,7.79,8.03,31116087,7.953,48705
2023-05-18,7.94,8.03,7.73,7.82,43302763,7.847,70701
2023-05-19,7.9,8.14,7.84,8.07,39175568,8.014,63186
2023-05-22,8.25,8.85,8.24,8.79,69673968,8.688,125096
2023-05-23,8.64,8.85,8.59,8.75,35866664,8.752,64839
2023-05-24,8.14,8.21,7.72,7.92,78221780,7.876,127612
2023-05-25,7.86,7.86,7.51,7.54,45696567,7.592,79070
2023-05-26,7.74,7.84,7.54,7.7,39921767,7.693,67698
2023-05-30,7.8,7.92,7.35,7.41,58832042,7.539,93773
2023-05-31,7.44,7.54,7.15,7.53,56716519,7.326,93793
2023-06-01,7.24,7.64,7.0,7.54,69446113,7.402,113757
2023-06-02,7.84,7.99,7.56,7.56,57052465,7.757,103312
2023-06-05,7.66,7.9,7.59,7.67,39322166,7.736,65474
2023-06-06,7.66,7.88,7.3,7.88,75429926,7.614,105875
2023-06-07,7.8,7.97,7.58,7.76,43953964,7.782,70502
2023-06-08,7.8,7.89,7.6,7.79,59074060,7.711,99120
2023-06-09,7.84,8.75,7.69,7.73,126907689,8.123,227770
2023-06-12,8.09,8.6,8.07,8.4,92716351,8.385,167423
2023-06-13,8.73,9.07,8.6,8.89,74198549,8.843,121681
2023-06-14,9.07,9.19,8.8,9.05,55287150,8.984,100824
2023-06-15,9.1,9.9,9.05,9.79,90966291,9.613,165940
2023-06-16,10.16,10.21,9.35,9.4,73030597,9.641,135811
2023-06-20,9.17,9.41,9.06,9.35,44932411,9.256,87449
2023-06-21,9.56,9.84,8.96,9.07,58400865,9.31,103159
2023-06-22,9.03,9.03,8.74,8.92,26324054,8.906,49528
