timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,191.36,192.5,189.75,192.25,1710584,191.326,12722
2023-05-03,192.58,193.25,191.78,192.18,1636612,192.556,12072
2023-05-04,193.08,193.95,192.15,193.38,1858311,193.242,13554
2023-05-05,192.82,194.48,192.39,194.27,1702626,193.852,11762
2023-05-08,193.42,194.0,192.65,193.35,1119550,193.445,8141
2023-05-09,193.59,194.67,192.71,194.14,1483342,193.979,10180
2023-05-10,193.95,195.58,192.67,194.27,1926316,193.971,13826
2023-05-11,194.58,195.52,192.99,195.34,1443706,194.642,10387
2023-05-12,195.34,196.22,194.95,196.12,1282549,195.635,8686
2023-05-15,196.59,196.88,194.0,194.27,1299730,194.668,8360
2023-05-16,194.48,194.48,192.54,193.43,1394361,193.69,8989
2023-05-17,193.43,193.59,190.84,192.06,1833882,191.887,12826
2023-05-18,191.32,191.71,190.41,191.56,1781694,191.006,13247
2023-05-19,192.21,192.86,191.1,191.84,1642821,191.995,11189
2023-05-22,191.24,191.39,186.41,186.64,2593517,187.724,17204
2023-05-23,186.49,186.63,184.59,186.07,2234304,185.466,16769
2023-05-24,186.34,186.74,184.37,184.89,1422039,185.218,10403
2023-05-25,182.7,184.22,181.95,183.8,1488494,183.442,10665
2023-05-26,183.71,184.25,182.39,183.58,1619919,183.646,11511
2023-05-30,182.14,183.09,180.7,181.61,1833652,181.607,12422
2023-05-31,182.86,184.62,181.46,182.35,3357781,183.171,22835
2023-06-01,182.42,182.69,180.8,182.19,1968270,181.845,13829
2023-06-02,182.01,184.29,181.7,184.06,1576849,183.786,10986
2023-06-05,183.88,186.17,183.61,184.19,1925561,184.699,13570
2023-06-06,184.7,185.12,180.43,181.56,1836625,181.752,13883
2023-06-07,180.54,181.74,179.7,180.11,2026008,180.618,12824
2023-06-08,179.56,182.3,179.33,182.1,1697238,181.459,11184
2023-06-09,181.54,182.83,181.0,182.35,1381881,182.235,9634
2023-06-12,182.52,182.73,180.69,181.9,1967842,181.522,13497
2023-06-13,182.13,182.19,181.08,181.54,1284202,181.649,9445
2023-06-14,182.0,183.65,181.43,183.17,1592465,182.648,11889
2023-06-15,184.26,186.17,183.52,185.71,1641836,185.184,12255
2023-06-16,186.14,187.59,185.7,186.04,3465779,186.474,12595
2023-06-20,186.54,187.87,185.24,185.31,1544489,186.344,10640
2023-06-21,185.72,186.88,184.18,185.43,1303618,185.66,9074
2023-06-22,186.73,187.58,185.87,187.35,1521233,186.971,10554
2023-06-23,188.0,188.0,185.95,186.07,2065465,186.943,14867
2023-06-26,186.14,186.43,184.12,184.89,1725895,184.79,13120
2023-06-27,184.67,186.61,183.96,186.22,3058518,185.348,17158
2023-06-28,186.25,186.74,183.38,183.7,2751053,184.147,19032
