timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,39.29,40.12,38.63,39.06,31693206,39.06,132084
2023-05-03,39.2,39.39,38.36,38.45,19143965,38.7,75383
2023-05-04,38.16,38.43,38.02,38.23,14115063,38.22,60515
2023-05-05,38.38,38.5,38.09,38.49,15398396,38.327,62383
2023-05-08,38.53,38.73,38.35,38.67,14099297,38.572,51031
2023-05-09,38.48,38.67,38.39,38.48,11849878,38.513,49268
2023-05-10,38.67,38.72,38.08,38.3,11750059,38.296,48720
2023-05-11,37.6,37.65,37.2,37.58,22107382,37.45,89430
2023-05-12,37.61,37.72,37.23,37.35,12891440,37.408,52437
2023-05-15,37.3,37.36,37.0,37.16,12269022,37.167,48128
2023-05-16,37.02,37.24,36.83,37.01,20281246,37.04,74745
2023-05-17,36.98,37.05,36.51,36.75,16383951,36.727,66041
2023-05-18,36.71,36.78,36.17,36.48,22074716,36.421,85584
2023-05-19,36.65,36.89,36.52,36.77,18195665,36.703,68891
2023-05-22,36.86,38.87,36.75,38.75,73138209,38.092,272883
2023-05-23,38.55,40.14,38.0,39.64,64810607,39.286,241874
2023-05-24,40.1,40.14,38.6,38.63,26474486,39.073,111099
2023-05-25,38.51,38.51,37.65,37.83,21220490,37.957,98896
2023-05-26,38.04,38.44,37.56,37.6,14478414,37.816,63376
2023-05-30,37.35,37.44,36.92,37.01,18975568,37.081,75133
2023-05-31,37.1,38.22,36.87,38.02,24615263,37.715,104497
2023-06-01,38.12,38.21,37.7,38.02,14152139,38.018,66013
2023-06-02,38.25,38.66,38.16,38.36,16313768,38.449,71474
2023-06-05,38.48,39.02,38.34,38.65,13558887,38.685,64783
2023-06-06,38.81,38.86,38.29,38.37,15248485,38.511,68007
2023-06-07,38.35,39.06,38.13,38.89,18423454,38.801,80467
2023-06-08,39.04,39.19,38.73,39.09,12664867,39.046,56388
2023-06-09,39.28,39.59,38.87,38.97,15495737,39.134,75475
2023-06-12,39.01,40.07,38.99,39.9,20195289,39.749,92952
2023-06-13,39.67,40.37,39.45,40.28,18499174,40.14,77665
2023-06-14,40.32,40.34,39.31,39.36,16659647,39.668,74062
2023-06-15,39.41,39.83,39.28,39.75,13595969,39.63,62730
2023-06-16,39.86,40.36,39.84,40.06,22609360,40.101,90631
2023-06-20,39.71,39.87,39.33,39.34,16073357,39.583,73785
2023-06-21,39.2,39.24,38.76,38.9,12353943,39.002,54993
2023-06-22,38.94,38.99,38.41,38.73,12910771,38.68,55534
2023-06-23,38.71,38.87,38.28,38.3,13466920,38.444,55801
2023-06-26,37.02,37.05,36.16,36.89,44585158,36.654,157989
2023-06-27,36.98,37.0,36.28,36.42,25041539,36.53,95690
2023-06-28,36.5,36.54,36.03,36.29,24108074,36.259,84545
2023-06-29,35.99,36.22,35.76,36.12,20617061,36.059,78674
2023-06-30,36.21,36.75,36.14,36.68,21737854,36.494,77817
2023-07-03,36.5,36.75,36.35,36.65,10914591,36.598,42068
2023-07-05,36.58,37.02,36.39,36.46,19030484,36.626,72831
2023-07-06,36.2,36.27,35.62,35.63,23435391,35.836,79077
2023-07-07,35.52,35.77,35.35,35.53,17602834,35.604,64557
2023-07-10,35.57,36.01,35.54,35.68,14247153,35.672,51059
2023-07-11,35.64,36.04,35.61,36.02,13552838,35.886,47696
2023-07-12,36.21,36.25,35.92,35.99,12915724,36.082,50113
2023-07-13,36.01,36.36,35.92,36.06,12796888,36.104,49116
2023-07-14,36.3,36.49,36.0,36.32,13166233,36.294,50726
2023-07-17,36.12,36.12,35.78,35.86,16737739,35.949,54009
2023-07-18,35.92,36.48,35.87,36.24,16179894,36.256,62161
2023-07-19,36.34,36.7,36.2,36.44,12945301,36.494,44933
2023-07-20,36.4,37.07,36.36,36.77,17472382,36.808,67687
2023-07-21,36.8,37.43,36.79,37.4,16338506,37.219,60793
2023-07-24,37.41,37.8,37.37,37.51,13929197,37.614,56631
2023-07-25,37.4,37.72,37.04,37.06,15537818,37.35,61106
2023-07-26,36.87,37.35,36.76,37.21,15760896,37.135,62152
2023-07-27,36.85,37.01,36.18,36.2,17148067,36.474,64479
2023-07-28,36.35,36.45,36.02,36.07,17119296,36.187,63492
2023-07-31,36.18,36.19,35.92,36.06,27720940,36.004,85701
2023-08-01,35.88,36.92,35.37,35.61,28990596,35.994,109536
2023-08-02,35.63,35.89,35.27,35.35,28181974,35.559,99804
2023-08-03,35.18,35.28,34.92,35.0,19369668,35.061,67536
2023-08-04,34.95,35.34,34.65,35.02,20531088,35.057,75338
2023-08-07,35.01,35.86,34.9,35.68,22150604,35.354,75834
2023-08-08,36.37,36.37,35.39,35.64,19500997,35.677,81463
2023-08-09,35.6,36.06,35.51,35.84,13237851,35.897,54681
2023-08-10,35.82,36.09,35.59,35.72,12794231,35.848,50873
2023-08-11,35.6,36.28,35.59,36.04,12820101,36.02,49209
2023-08-14,35.82,36.51,35.82,36.07,15159704,36.198,60942
2023-08-15,35.88,35.91,35.36,35.39,13533506,35.603,52950
2023-08-16,35.14,35.65,34.99,35.48,15418525,35.405,57545
2023-08-17,35.6,36.72,35.59,36.51,22775075,36.426,90581
2023-08-18,36.45,36.85,36.32,36.66,18717050,36.616,70176
2023-08-21,36.71,37.19,36.64,37.01,20046161,37.036,77759
2023-08-22,37.01,37.15,36.55,36.84,13739097,36.824,60928
2023-08-23,37.09,37.13,36.56,36.66,14131207,36.776,56418
2023-08-24,36.48,36.64,36.06,36.16,13081726,36.269,57549
2023-08-25,36.14,36.69,35.96,36.38,11320241,36.391,45367
2023-08-28,36.44,36.52,36.03,36.21,12340877,36.185,48985
2023-08-29,36.26,36.94,36.0,36.15,15888922,36.257,68550
2023-08-30,36.18,36.25,35.82,35.9,12456304,36.01,49688
2023-08-31,35.94,35.99,35.38,35.38,14807995,35.649,57395
2023-09-01,35.64,36.06,35.6,35.78,12957489,35.843,54753
2023-09-05,35.96,36.29,35.35,35.38,19878881,35.755,83294
2023-09-06,35.26,35.28,34.26,34.37,25475322,34.55,98729
2023-09-07,34.47,34.64,34.04,34.28,20367136,34.279,81337
2023-09-08,34.23,34.39,34.05,34.25,13127023,34.199,54724
2023-09-11,34.24,34.3,33.54,33.94,20954690,33.863,81876
2023-09-12,33.97,34.21,33.75,34.15,12458949,34.042,49615
2023-09-13,34.21,34.62,34.0,34.08,18000538,34.241,72413
2023-09-14,34.24,34.38,33.98,34.15,16427720,34.172,69615
2023-09-15,34.06,34.42,33.81,34.07,21416217,34.066,70196
2023-09-18,34.12,34.12,33.44,33.64,17656165,33.637,62702
2023-09-19,33.55,34.01,33.51,33.99,17672376,33.821,65467
2023-09-20,34.08,34.09,33.55,33.62,19389282,33.723,75773
2023-09-21,33.47,33.59,32.83,32.85,21313457,33.156,76232
2023-09-22,33.09,33.09,32.5,32.69,21036836,32.692,75648
2023-09-25,32.69,32.98,32.41,32.98,14418218,32.744,52022
2023-09-26,32.72,32.96,32.36,32.4,18952791,32.626,63877
2023-09-27,32.43,32.5,31.9,32.1,19256282,32.112,65014
2023-09-28,32.06,32.32,31.77,32.09,22325069,32.003,73824
2023-09-29,32.35,33.23,32.3,33.17,27171321,32.99,100415
