timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,21.82,21.96,21.04,21.37,14142574,21.398,78974
2023-05-03,21.35,21.5,20.89,20.91,13858118,21.209,64007
2023-05-04,20.8,21.27,20.6,20.78,9600081,20.907,52080
2023-05-05,20.94,21.1,20.75,21.01,10025247,20.951,54700
2023-05-08,20.98,21.82,20.88,21.59,7492714,21.495,41171
2023-05-09,21.37,21.69,21.35,21.47,5599736,21.483,33885
2023-05-10,21.79,22.17,21.22,21.53,10996294,21.606,60312
2023-05-11,21.64,21.71,21.09,21.48,8185289,21.428,45091
2023-05-12,21.56,21.64,21.02,21.4,9530796,21.286,52577
2023-05-15,21.39,22.13,21.25,22.05,10184148,21.925,55428
2023-05-16,21.96,22.06,21.53,21.59,9059304,21.749,50517
2023-05-17,21.56,22.21,21.48,21.95,7714400,21.96,44211
2023-05-18,21.87,22.49,21.84,22.46,8210448,22.303,50031
2023-05-19,22.45,22.84,22.34,22.7,7941193,22.636,51495
2023-05-22,22.68,23.57,22.63,23.26,8766224,23.348,54775
2023-05-23,23.1,24.2,23.0,23.76,14123845,23.759,77436
2023-05-24,23.54,24.47,23.44,24.31,9760055,24.221,50825
2023-05-25,24.45,24.52,23.53,23.74,6875101,23.787,39296
2023-05-26,23.78,24.34,23.67,24.23,7048695,24.099,36210
2023-05-30,24.45,24.51,23.91,24.41,5433163,24.272,29127
2023-05-31,24.01,24.09,23.37,23.94,7626738,23.79,36938
2023-06-01,23.71,23.83,23.46,23.61,9320394,23.625,49133
2023-06-02,23.72,24.15,23.35,23.47,8113669,23.53,39966
2023-06-05,23.86,24.68,23.77,24.1,8914763,24.248,43929
2023-06-06,24.02,25.19,23.79,24.63,8069941,24.758,41837
2023-06-07,24.63,25.01,24.16,24.35,6180248,24.482,34114
2023-06-08,24.01,24.26,23.61,23.94,5395565,23.961,29426
2023-06-09,24.03,24.47,23.74,23.87,6140767,24.015,30226
2023-06-12,23.88,24.2,23.85,24.1,4213260,24.081,22306
2023-06-13,24.16,24.3,23.76,24.25,5450383,24.07,30132
2023-06-14,24.23,24.68,24.15,24.42,5501394,24.493,29541
2023-06-15,24.1,25.36,24.1,24.96,6751723,24.9,32357
2023-06-16,24.91,25.44,24.74,25.36,8324930,25.175,41591
2023-06-20,25.31,25.49,24.76,25.21,7833283,25.117,41535
2023-06-21,25.12,25.29,24.54,24.9,7179420,24.911,35024
2023-06-22,24.79,26.16,24.59,26.14,12268687,25.666,59843
2023-06-23,25.95,26.72,25.9,26.24,8301857,26.383,44471
2023-06-26,25.92,26.59,25.59,25.61,9335858,25.997,38689
2023-06-27,25.99,26.6,25.67,26.4,6520110,26.258,38400
2023-06-28,27.32,28.35,27.32,28.14,12931285,27.978,57240
2023-06-29,28.08,28.09,27.34,27.64,7212126,27.616,37788
2023-06-30,27.65,27.95,27.3,27.34,7637093,27.55,37755
2023-07-03,27.32,27.53,26.97,27.24,3799806,27.14,21963
2023-07-05,26.96,27.83,26.3,27.73,9470221,27.347,48365
2023-07-06,27.9,28.06,27.16,27.2,7530022,27.489,34586
