timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,123.25,123.25,117.78,119.14,5948752,119.451,29833
2023-05-03,120.09,120.91,116.56,116.65,4121362,118.725,25499
2023-05-04,113.38,115.61,111.84,113.64,4633101,113.894,30078
2023-05-05,116.61,117.96,114.95,116.18,3073832,116.046,18817
2023-05-08,118.0,118.38,115.54,116.99,1873595,117.063,11033
2023-05-09,115.65,116.59,114.57,115.7,1976523,115.753,11760
2023-05-10,117.29,117.65,113.78,113.97,2003638,114.743,12594
2023-05-11,112.56,113.63,111.22,112.7,1585665,112.787,9566
2023-05-12,113.7,113.7,110.31,111.58,1344254,111.446,7506
2023-05-15,111.9,114.16,111.7,113.67,1580256,113.044,9435
2023-05-16,113.73,114.36,111.4,111.59,1339228,112.538,8621
2023-05-17,113.49,119.29,113.49,119.25,2957334,117.415,17834
2023-05-18,118.77,120.47,117.45,120.15,1980723,118.765,12414
2023-05-19,120.64,120.66,116.9,118.48,1513320,118.749,8982
2023-05-22,119.44,120.45,117.81,120.42,1011665,119.504,6505
2023-05-23,120.58,124.6,120.03,121.49,1695473,122.83,11602
2023-05-24,120.16,120.83,119.29,120.25,1252819,119.867,7984
2023-05-25,119.77,120.67,118.53,118.99,1046339,119.263,6084
2023-05-26,119.31,119.36,117.86,118.78,1040046,118.77,6614
2023-05-30,119.53,120.0,116.9,118.85,1117047,118.497,6228
2023-05-31,118.0,118.37,114.17,115.83,1415935,115.851,9776
2023-06-01,117.23,120.03,114.72,119.74,1702071,118.356,11231
2023-06-02,121.68,124.19,120.76,123.58,1460422,123.237,9691
2023-06-05,124.01,124.39,121.89,123.28,1454238,123.527,10205
2023-06-06,122.95,127.88,122.49,126.38,1491715,126.273,10299
2023-06-07,126.26,128.19,124.53,127.56,2042405,126.905,13558
2023-06-08,126.98,129.42,126.06,128.86,1725314,128.076,11080
2023-06-09,128.63,130.54,128.38,128.93,1407078,129.115,10112
2023-06-12,128.51,130.34,125.7,127.41,1707697,127.866,9803
2023-06-13,126.62,129.4,126.34,128.86,2182233,128.647,12097
2023-06-14,129.5,130.34,126.11,126.52,1111534,128.135,7809
2023-06-15,126.51,129.28,126.27,128.79,1219360,128.272,8052
2023-06-16,129.38,129.38,127.37,128.47,1588415,128.543,8873
2023-06-20,127.6,127.91,126.04,126.46,985174,126.744,6588
2023-06-21,126.35,126.8,125.27,126.66,1270390,126.335,7789
2023-06-22,126.55,126.94,122.98,123.44,937010,124.32,6025
