timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,97.9,98.19,93.11,94.73,2147621,94.476,15315
2023-05-03,93.78,98.1,93.04,95.95,3798981,95.761,26387
2023-05-04,95.76,95.94,91.86,92.31,2424402,92.931,17055
2023-05-05,94.21,94.86,93.24,93.44,1355673,93.808,9455
2023-05-08,94.82,95.3,93.78,93.96,1781862,94.468,11819
2023-05-09,93.3,95.12,93.09,93.98,1740335,94.008,12054
2023-05-10,94.34,94.92,93.05,94.23,1864998,94.119,11752
2023-05-11,92.78,93.89,92.35,93.4,1784409,93.113,13599
2023-05-12,94.29,94.75,92.71,93.22,1273428,93.464,8857
2023-05-15,93.25,94.79,92.54,94.22,1919095,93.698,12342
2023-05-16,94.15,94.58,91.41,91.89,2746555,92.513,19663
2023-05-17,93.22,94.98,92.31,94.79,1919440,93.898,13333
2023-05-18,94.39,96.53,93.74,96.28,2601389,95.281,15811
2023-05-19,95.51,95.92,94.45,94.94,1554290,95.096,10479
2023-05-22,95.06,96.45,94.95,95.56,1463881,95.865,10498
2023-05-23,96.43,97.76,95.41,95.64,1899149,96.318,13417
2023-05-24,96.13,96.89,95.45,96.56,1577944,96.233,11665
2023-05-25,95.4,95.49,93.35,95.14,1673754,94.783,12506
2023-05-26,95.87,96.01,94.35,94.91,1141620,95.062,8582
2023-05-30,93.52,93.8,92.18,93.59,1746375,93.266,11197
2023-05-31,91.99,92.73,91.3,91.61,1686065,91.812,11161
2023-06-01,92.88,94.42,92.57,93.05,1823518,93.47,12104
2023-06-02,94.75,97.17,94.24,97.03,2217357,96.471,15888
2023-06-05,98.06,98.26,95.1,96.02,1837030,96.19,13470
2023-06-06,94.66,97.17,94.52,96.82,1715190,96.496,11708
2023-06-07,97.3,101.2,97.13,101.05,2371378,99.782,14691
2023-06-08,101.0,101.5,98.75,99.14,2226080,99.884,14230
2023-06-09,99.42,99.6,97.43,98.76,1790178,98.773,13135
2023-06-12,97.12,98.82,96.64,96.78,1523746,97.196,10673
2023-06-13,98.09,99.25,96.79,96.88,1596273,97.972,11277
2023-06-14,97.84,98.28,94.84,95.7,1306119,96.111,9258
2023-06-15,95.68,97.25,95.36,97.02,1105833,96.752,8058
2023-06-16,97.53,97.84,96.67,97.13,1776700,97.337,8870
2023-06-20,96.68,96.78,93.47,93.48,1880636,94.273,12580
2023-06-21,93.0,94.96,92.65,93.28,1619075,93.939,11441
2023-06-22,92.46,93.17,90.69,90.81,2036866,91.128,13274
2023-06-23,90.0,91.39,89.74,90.86,1951797,90.849,14048
2023-06-26,91.07,92.34,90.86,91.52,1417392,91.59,8844
2023-06-27,91.59,93.03,91.18,92.57,2352769,92.322,12701
2023-06-28,92.67,94.01,91.78,93.4,1530004,93.365,10881
2023-06-29,93.69,94.67,93.4,94.53,1274084,94.325,9921
2023-06-30,95.07,95.88,94.27,95.38,1278346,95.417,9533
2023-07-03,95.65,96.64,95.4,95.66,727729,96.104,5429
2023-07-05,95.65,96.31,94.54,96.13,2359516,95.755,17146
2023-07-06,95.4,96.2,94.51,95.4,2912436,95.519,18812
2023-07-07,95.76,100.3,95.52,99.44,3163315,98.94,21939
2023-07-10,99.52,101.27,99.46,100.33,2290507,100.491,15084
2023-07-11,99.86,101.69,99.8,101.52,1404992,100.96,9528
2023-07-12,102.31,103.16,101.53,101.96,1133382,102.088,7483
2023-07-13,102.29,103.93,101.61,102.58,1575281,102.689,10380
2023-07-14,102.06,102.22,98.65,100.46,1652878,100.191,10299
2023-07-17,100.0,100.85,99.01,99.04,1824252,99.674,11948
2023-07-18,99.03,102.04,98.89,101.16,1156610,101.22,8208
2023-07-19,101.16,103.51,101.13,102.46,1478933,102.529,10358
2023-07-20,103.18,104.55,103.12,104.05,1324846,104.017,9325
2023-07-21,104.42,105.96,104.07,105.73,1508316,105.271,10714
2023-07-24,106.0,108.16,105.8,106.85,2163942,107.137,14176
2023-07-25,106.51,108.46,105.56,107.71,1553189,107.425,10743
2023-07-26,106.95,109.94,106.83,109.59,1463450,109.186,9865
2023-07-27,109.98,110.85,108.8,108.89,1526911,109.757,9365
2023-07-28,109.48,110.68,109.08,110.35,1226456,110.288,8148
2023-07-31,110.72,111.57,110.6,111.55,1190889,111.218,8643
2023-08-01,111.19,112.45,110.65,112.11,1461713,111.777,9854
2023-08-02,111.16,113.24,108.1,108.99,2857238,109.815,17828
2023-08-03,109.54,110.76,107.41,110.41,1943328,109.841,14248
2023-08-04,111.58,113.18,110.45,110.48,1529214,111.688,10601
2023-08-07,111.08,112.82,111.04,111.44,1636706,111.755,11632
2023-08-08,109.92,113.44,108.96,112.68,1468449,111.826,10115
2023-08-09,113.3,115.79,113.01,114.42,2250638,114.839,14812
2023-08-10,114.97,116.19,114.26,114.67,1427770,115.142,9000
2023-08-11,115.04,117.29,115.04,116.64,1523975,116.518,9924
2023-08-14,116.47,116.96,114.3,114.67,1571987,115.056,11497
2023-08-15,112.74,114.54,112.48,113.43,3297983,113.403,22450
2023-08-16,114.0,115.29,113.22,113.27,2447864,114.201,17398
2023-08-17,113.73,115.78,113.48,113.59,2834551,114.598,20321
2023-08-18,112.61,114.78,112.61,114.24,3334184,114.161,21281
2023-08-21,114.9,115.39,112.22,113.33,1441245,113.291,10209
2023-08-22,113.7,114.22,112.62,112.94,1068763,113.146,7091
2023-08-23,111.93,112.44,110.16,112.26,1108851,111.788,7462
2023-08-24,111.62,113.22,111.55,112.39,929822,112.586,6722
2023-08-25,112.79,114.46,111.75,113.89,1302607,113.472,9656
2023-08-28,113.26,114.78,112.62,113.13,1015439,113.242,6973
2023-08-29,113.18,113.52,112.03,112.69,1023169,112.606,6926
2023-08-30,112.85,114.0,112.75,113.65,1251366,113.559,8110
2023-08-31,113.7,114.61,112.07,114.16,1505892,113.936,9719
2023-09-01,116.13,117.31,115.1,117.17,1549154,116.823,9777
2023-09-05,117.7,118.77,116.71,116.74,1283102,117.564,8429
2023-09-06,116.87,117.99,115.61,116.64,946857,116.626,5616
2023-09-07,117.25,118.99,116.77,118.75,1944717,118.355,12054
2023-09-08,119.87,123.56,119.43,122.23,2566329,122.254,14362
2023-09-11,122.9,124.06,121.28,122.34,1798690,122.472,10994
2023-09-12,122.88,124.84,122.6,124.28,2779098,123.99,16369
2023-09-13,124.75,125.19,122.39,123.17,1212249,123.329,7823
2023-09-14,123.91,124.0,122.7,122.97,1205760,123.288,8023
2023-09-15,121.97,122.47,120.34,121.03,2941937,121.254,13697
2023-09-18,122.53,123.91,121.0,122.45,1214568,122.453,7997
2023-09-19,123.4,123.48,119.07,120.22,1589132,120.353,11151
2023-09-20,119.72,121.8,119.55,120.07,1177209,120.83,7424
2023-09-21,122.42,123.84,119.69,119.94,1670616,121.208,10068
2023-09-22,120.5,121.7,118.52,118.58,1389739,119.471,9204
2023-09-25,118.5,120.64,118.46,120.26,1240120,120.056,7746
2023-09-26,119.2,120.28,118.6,119.42,1383499,119.355,8832
2023-09-27,120.46,121.54,119.73,120.8,1255860,120.646,8732
2023-09-28,120.49,123.47,120.39,123.38,1639160,122.64,8510
2023-09-29,123.44,123.44,119.48,120.15,1521249,120.506,11062
2023-10-02,120.09,120.3,118.19,119.02,1394080,118.955,9323
2023-10-03,118.0,118.54,114.13,115.63,1670211,115.468,11402
2023-10-04,113.16,113.3,108.66,110.49,2608046,110.309,16205
2023-10-05,108.78,111.17,108.59,109.48,1920967,109.54,13214
2023-10-06,110.51,110.82,108.2,109.19,1449844,109.711,9982
2023-10-09,111.06,111.66,109.34,111.21,1420577,110.772,9556
2023-10-10,110.86,112.99,110.34,112.39,1221671,112.208,8418
2023-10-11,111.42,112.49,110.16,112.13,1104642,111.586,7118
2023-10-12,112.92,113.0,109.89,110.75,1107269,111.07,7580
2023-10-13,112.46,112.74,110.48,110.6,1528981,111.199,11293
2023-10-16,111.5,112.66,111.07,111.78,1615374,111.878,11287
2023-10-17,111.68,113.98,111.68,113.91,1406610,113.298,9400
2023-10-18,114.19,116.77,113.98,116.25,2007893,115.869,13446
2023-10-19,116.15,116.36,114.62,115.19,1175041,115.483,8381
2023-10-20,115.35,116.03,113.15,113.54,1278386,114.085,8898
2023-10-23,113.31,113.59,112.02,113.05,1232452,112.827,8565
2023-10-24,113.53,113.7,111.89,111.93,1409985,112.501,10017
2023-10-25,112.13,112.89,110.47,110.74,1618791,111.179,10196
2023-10-26,109.86,110.54,108.09,110.1,2020694,109.533,13729
2023-10-27,111.14,112.06,107.85,110.93,3435643,110.52,19790
2023-10-30,112.22,113.51,109.86,112.44,1816821,112.014,12775
2023-10-31,114.43,115.23,112.42,114.07,2017638,113.645,14687
2023-11-01,114.85,117.09,113.74,116.09,1957322,116.316,14138
2023-11-02,116.16,118.52,116.0,118.12,1271698,117.754,9087
2023-11-03,117.76,118.34,115.27,116.79,1242569,116.557,8687
2023-11-06,117.24,118.11,116.34,116.85,1260912,117.128,8961
2023-11-07,115.33,115.47,113.21,113.86,1149206,113.931,8216
2023-11-08,113.05,113.89,111.62,111.81,1237752,112.597,8721
2023-11-09,111.81,112.93,110.54,110.63,925309,111.404,6855
2023-11-10,112.0,113.59,111.74,113.44,986873,112.81,7356
2023-11-13,113.5,114.64,113.25,114.15,768444,114.136,5825
2023-11-14,114.31,115.54,114.16,115.02,1136460,114.937,8474
2023-11-15,114.56,116.92,114.25,115.49,1729378,115.842,12682
2023-11-16,113.44,114.74,111.9,113.53,2716112,113.108,16041
2023-11-17,114.17,117.38,114.17,116.37,1701842,116.259,12408
2023-11-20,116.58,119.02,116.58,118.11,1666630,118.135,12355
2023-11-21,117.5,118.14,116.43,117.41,880980,117.324,6790
2023-11-22,115.89,118.21,114.94,118.01,1018470,117.56,7925
2023-11-24,118.3,120.04,118.0,118.63,682819,119.234,4856
