timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,74.83,75.06,71.93,72.28,9060178,72.657,54874
2023-05-03,72.45,72.99,71.35,71.43,8781544,72.14,52327
2023-05-04,71.77,73.05,71.75,71.81,6654949,72.239,41256
2023-05-05,73.01,75.08,72.91,74.97,8376635,74.47,52824
2023-05-08,75.71,76.38,74.91,75.52,12446295,75.755,68340
2023-05-09,69.53,69.68,65.85,65.91,55330300,67.038,228759
2023-05-10,66.5,66.59,62.78,63.38,38174948,64.06,152169
2023-05-11,63.48,64.38,62.64,64.18,21043000,63.754,96205
2023-05-12,64.1,64.18,61.31,61.69,22878270,62.322,107039
2023-05-15,61.75,62.73,61.58,62.25,15881749,62.176,73710
2023-05-16,61.83,61.98,60.75,60.8,13827872,61.108,65656
2023-05-17,61.16,61.72,60.4,61.46,15363843,61.134,77154
2023-05-18,61.46,61.66,60.46,61.27,15313773,61.099,72011
2023-05-19,61.9,61.95,60.7,60.92,12954620,61.152,60981
2023-05-22,60.95,63.15,60.65,63.03,15449845,62.489,71762
2023-05-23,63.03,63.3,61.84,62.0,12826040,62.584,61390
2023-05-24,61.65,62.22,61.23,61.8,10284660,61.697,53133
2023-05-25,61.67,61.74,59.31,59.37,18210644,59.991,88429
2023-05-26,59.5,60.61,58.95,60.22,15847368,59.955,75908
2023-05-30,61.01,62.19,59.55,62.05,16843268,61.023,82594
2023-05-31,61.84,63.22,61.17,61.99,13930375,61.951,75826
2023-06-01,62.41,63.61,61.83,63.05,12238746,62.897,58817
2023-06-02,63.74,64.4,63.56,63.96,12406368,64.053,65620
2023-06-05,64.07,64.98,63.5,64.51,9863856,64.363,52349
2023-06-06,64.43,65.18,64.23,65.02,9903738,64.888,50016
2023-06-07,65.25,65.32,63.55,64.04,10748674,64.195,57536
2023-06-08,64.23,64.7,63.98,64.24,9800817,64.302,51729
2023-06-09,64.03,64.06,62.43,63.49,12137270,63.265,64870
2023-06-12,63.6,64.26,63.12,63.73,11662056,63.571,60355
2023-06-13,63.59,64.24,63.13,63.56,14229277,63.706,80756
2023-06-14,64.14,65.1,63.02,63.6,18049075,64.094,84999
2023-06-15,63.12,66.21,62.63,65.85,16049368,64.918,74470
2023-06-16,65.95,67.15,65.22,66.43,19618242,66.304,82524
2023-06-20,67.13,69.2,66.78,68.89,23214595,68.3,101844
2023-06-21,68.95,69.02,67.22,68.19,16879423,68.052,74815
2023-06-22,67.48,68.65,67.06,68.57,12918606,67.942,67315
2023-06-23,67.42,68.16,65.85,66.94,15123465,67.059,70826
2023-06-26,66.87,67.58,66.41,66.44,7913240,66.931,41800
2023-06-27,66.87,67.1,65.78,66.23,12620528,66.447,55942
2023-06-28,66.05,66.48,65.62,66.03,11137329,66.06,58225
2023-06-29,66.3,67.34,65.62,65.86,10841276,66.199,55365
2023-06-30,66.09,66.98,65.75,66.73,12486879,66.417,59942
2023-07-03,67.07,68.63,66.84,68.1,6516018,67.912,32223
2023-07-05,68.03,68.9,67.0,68.85,9469199,68.202,52376
2023-07-06,67.71,67.85,65.63,66.14,13168502,66.224,67760
2023-07-07,66.19,67.66,65.98,66.79,8516124,67.143,45182
2023-07-10,66.8,69.36,66.69,69.28,11524219,68.738,61352
2023-07-11,69.64,70.73,69.41,70.62,11502659,70.336,59186
2023-07-12,71.75,71.87,70.28,70.59,10509475,70.838,55420
2023-07-13,71.39,72.74,71.0,72.39,10453966,72.03,57342
2023-07-14,72.66,72.98,71.92,72.1,8051785,72.295,40885
2023-07-17,72.52,73.78,71.96,73.49,8989920,73.171,49698
2023-07-18,73.48,74.41,73.26,74.37,8208007,74.022,49636
2023-07-19,74.47,75.04,73.9,74.22,9044124,74.471,49864
2023-07-20,72.88,74.68,72.8,73.02,9848935,73.686,59379
2023-07-21,72.73,73.62,71.83,72.99,9982325,72.751,53150
2023-07-24,73.04,73.97,73.01,73.69,5864704,73.513,35310
