timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,116.19,117.06,114.44,116.11,3712345,115.837,23057
2023-05-03,116.66,116.82,112.6,112.83,5697450,114.652,33849
2023-05-04,104.05,107.12,103.5,106.58,14720196,105.607,80565
2023-05-05,108.21,109.27,105.77,108.78,6115519,108.064,35990
2023-05-08,108.38,108.83,106.87,108.31,4002785,108.028,21514
2023-05-09,107.0,107.43,105.3,105.77,4581386,106.263,28234
2023-05-10,106.84,107.48,105.14,106.46,4369938,106.554,27474
2023-05-11,106.32,106.51,103.68,104.06,6728719,104.261,36881
2023-05-12,104.48,104.74,102.61,103.62,4792201,103.447,29582
2023-05-15,103.76,106.4,102.89,106.28,4268273,104.976,25395
2023-05-16,105.7,106.48,103.72,103.79,3692659,104.813,24763
2023-05-17,104.19,105.45,103.58,104.81,5481683,104.544,29776
2023-05-18,104.68,107.12,104.68,106.96,4930242,106.095,25771
2023-05-19,106.95,107.12,105.51,105.86,3056261,106.117,17448
2023-05-22,103.73,105.87,103.25,105.28,4976598,104.63,25101
2023-05-23,104.07,105.64,103.47,103.56,3886760,104.323,24453
2023-05-24,102.11,103.14,101.58,103.02,4655956,102.356,28009
2023-05-25,101.92,104.11,101.47,104.02,5639614,102.948,33150
2023-05-26,104.95,111.28,104.82,110.35,8617649,108.705,48959
2023-05-30,114.49,116.69,112.61,116.0,11658859,115.023,68132
2023-05-31,113.63,114.0,111.6,113.41,6531522,113.055,41105
2023-06-01,114.65,116.56,112.31,115.83,4797990,114.977,26263
2023-06-02,117.01,117.4,114.69,115.62,4331816,115.889,26446
2023-06-05,115.63,115.92,112.64,112.73,4258760,113.926,26386
2023-06-06,112.51,116.79,112.24,116.36,4583862,115.471,29575
2023-06-07,116.63,117.16,114.49,115.18,3749703,115.71,22596
2023-06-08,115.6,116.64,114.1,116.35,3025500,115.535,18148
2023-06-09,117.49,120.85,117.38,119.11,8317538,119.352,43815
2023-06-12,121.04,122.31,119.77,122.14,5076341,121.386,28036
2023-06-13,124.29,125.4,122.75,124.43,4321136,124.306,26769
2023-06-14,124.44,124.44,121.5,123.4,3898268,123.163,24562
2023-06-15,121.58,124.69,121.04,123.61,3899294,123.357,24815
2023-06-16,124.59,124.98,122.1,122.68,4518554,123.455,20920
2023-06-20,121.97,122.37,118.71,119.82,4113130,119.985,25028
2023-06-21,118.61,119.02,115.66,115.76,4376489,117.027,27085
2023-06-22,116.01,116.68,114.91,116.4,4217397,115.922,24786
2023-06-23,114.09,115.28,113.03,113.43,4089107,114.203,23598
2023-06-26,114.56,117.61,114.3,116.63,5466026,116.663,32580
2023-06-27,116.74,119.94,115.65,119.79,3317919,118.254,21558
2023-06-28,117.01,118.1,116.58,117.54,3591527,117.329,21938
2023-06-29,117.35,118.15,116.88,118.06,2366420,117.605,15879
2023-06-30,119.6,119.86,118.38,119.04,3067055,119.049,19933
2023-07-03,119.55,120.48,118.46,120.09,1465541,119.561,8340
2023-07-05,119.02,119.05,117.1,117.13,3639509,117.74,21355
2023-07-06,115.2,116.2,113.62,115.22,3757382,114.672,24115
2023-07-07,115.37,117.73,114.76,115.94,2561457,116.483,17028
2023-07-10,116.47,118.28,116.47,117.12,3329120,117.31,22764
2023-07-11,117.8,117.87,114.89,116.87,3052073,116.031,20207
2023-07-12,117.6,119.23,117.1,118.68,3956172,118.297,25569
2023-07-13,119.89,123.42,119.88,123.12,4617379,121.75,29216
2023-07-14,122.94,123.18,121.13,122.56,4502290,122.135,31014
2023-07-17,122.23,124.46,120.76,123.4,3257852,122.848,22803
2023-07-18,122.32,123.23,121.26,122.86,3878451,122.391,24215
2023-07-19,125.34,127.1,124.3,124.42,5094598,125.495,30312
2023-07-20,123.52,124.6,120.22,120.72,4698477,122.166,33914
2023-07-21,122.19,126.66,121.38,124.72,7688745,124.548,39505
2023-07-24,124.75,125.6,123.17,124.1,3500658,124.185,20311
2023-07-25,124.34,125.98,124.2,125.07,3164728,125.213,19599
2023-07-26,123.34,125.24,122.34,124.02,2766028,123.69,17489
2023-07-27,126.41,127.77,124.92,125.85,4667946,126.042,26627
2023-07-28,128.3,129.92,127.56,129.48,5406189,129.113,34754
2023-07-31,129.66,132.97,129.1,132.17,5824307,131.873,33757
2023-08-01,131.75,132.39,130.24,132.08,4015992,131.553,24023
2023-08-02,130.23,131.58,128.83,129.27,6450229,130.026,38140
2023-08-03,116.97,119.11,114.89,118.7,20342694,116.828,98411
2023-08-04,117.76,122.0,117.76,121.5,8209614,120.288,45017
2023-08-07,122.3,122.74,117.92,119.34,4554200,119.379,26791
2023-08-08,117.0,117.88,115.95,117.66,4477918,116.748,29177
2023-08-09,117.23,118.11,116.52,116.57,2892542,117.15,16433
2023-08-10,117.58,118.4,115.07,115.61,3433328,116.586,21130
2023-08-11,114.0,115.46,113.72,114.61,3117881,114.577,18347
2023-08-14,113.81,114.52,112.81,114.02,4193820,113.839,25189
2023-08-15,113.24,113.51,111.39,111.68,4097339,111.885,26014
2023-08-16,111.35,111.92,110.05,110.15,3714051,110.847,23705
2023-08-17,110.28,111.13,109.66,110.08,2668731,110.366,17189
2023-08-18,108.82,110.52,108.5,110.1,3335351,109.558,17329
2023-08-21,109.84,110.96,109.0,110.68,3396227,110.072,19855
2023-08-22,111.53,111.84,109.13,109.47,2491050,110.052,15392
2023-08-23,109.29,111.53,108.85,111.17,3055412,110.955,19617
2023-08-24,112.16,112.57,108.16,108.51,3948318,109.958,26234
2023-08-25,108.85,110.52,107.76,110.32,3406282,109.556,21908
2023-08-28,111.3,112.19,110.62,111.68,2197410,111.395,15974
2023-08-29,110.67,113.99,110.52,113.78,3352619,112.954,21119
2023-08-30,112.56,113.46,111.67,113.27,2593536,112.739,15827
2023-08-31,112.59,115.16,112.43,114.53,3665753,114.332,22581
2023-09-01,115.75,115.75,114.41,115.39,2695870,115.005,16483
2023-09-05,114.91,117.06,114.91,116.55,3059960,116.296,18991
2023-09-06,116.19,116.72,113.63,114.68,4270399,114.644,25363
2023-09-07,110.61,110.7,106.07,106.4,11395876,107.243,61689
2023-09-08,106.26,107.08,105.51,106.14,5872558,106.215,33493
2023-09-11,111.39,111.84,108.82,110.28,11739022,110.165,57113
2023-09-12,109.58,112.74,109.51,111.23,5313168,111.781,30690
2023-09-13,111.58,113.6,111.53,112.64,4534340,112.755,27238
2023-09-14,113.78,114.74,113.0,114.04,3700612,114.047,23344
2023-09-15,113.93,115.19,112.46,113.14,5597491,113.57,26090
2023-09-18,112.87,113.83,112.45,112.75,2674379,113.118,15687
2023-09-19,112.37,112.37,109.91,110.72,3193914,110.799,17918
2023-09-20,111.82,111.82,109.16,109.22,3177550,110.578,19618
2023-09-21,107.99,109.59,107.85,107.96,3584006,108.696,22945
2023-09-22,108.66,109.78,107.36,107.68,3323165,108.534,21440
2023-09-25,106.76,110.48,106.71,110.43,3641307,109.294,20948
2023-09-26,109.89,110.64,109.34,109.72,3345980,109.896,21456
2023-09-27,110.73,110.81,107.43,109.19,4056387,108.758,24490
2023-09-28,109.76,111.91,109.18,111.1,2514398,110.973,15812
2023-09-29,111.88,112.23,110.64,111.06,2202645,111.344,14621
2023-10-02,110.4,111.79,109.6,111.1,2923289,110.616,18882
2023-10-03,110.61,112.26,109.38,110.19,4117749,110.804,27371
2023-10-04,110.8,111.07,108.8,109.85,4141479,109.733,24874
2023-10-05,109.74,110.46,108.95,109.8,2123028,109.621,12454
2023-10-06,110.87,111.33,108.04,110.88,4195825,110.353,27131
2023-10-09,110.32,111.98,109.48,111.8,2591129,110.912,16746
2023-10-10,111.49,112.99,110.42,112.31,3316155,112.051,21246
2023-10-11,112.36,112.64,109.58,111.12,3461318,110.673,20795
2023-10-12,111.98,112.21,110.32,111.45,2646716,111.439,17013
2023-10-13,111.72,111.97,108.54,108.66,2795096,109.424,17808
2023-10-16,109.09,111.08,108.95,110.51,2705965,110.393,16920
2023-10-17,108.81,112.27,108.02,112.2,4418338,110.833,27031
2023-10-18,110.97,112.11,110.03,110.98,3634495,110.91,21739
2023-10-19,112.29,114.4,110.84,111.28,5321162,112.242,33924
2023-10-20,111.5,111.61,108.63,108.63,3982617,109.613,24557
2023-10-23,107.94,110.57,107.68,108.66,3655037,109.184,25076
2023-10-24,109.37,110.34,108.43,109.39,4431561,109.379,26958
2023-10-25,109.03,109.29,104.42,104.78,4074537,105.879,26541
2023-10-26,104.75,106.47,104.33,105.62,4028036,105.494,26509
2023-10-27,106.73,107.89,105.83,106.46,4101643,106.704,28675
2023-10-30,106.61,109.33,106.18,107.83,3548090,107.6,23466
2023-10-31,108.38,109.21,106.69,108.99,3559239,108.442,22196
