timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,806.72,815.24,796.52,798.45,251301,803.174,1992
2023-05-03,802.98,812.99,798.8,803.17,384607,807.01,3119
2023-05-04,775.54,776.58,746.13,753.88,647878,760.313,5076
2023-05-05,753.88,768.6,744.89,762.1,272762,758.664,1926
2023-05-08,761.93,761.93,746.14,752.12,217553,749.767,1649
2023-05-09,753.19,757.4,750.57,754.88,170301,753.602,1374
2023-05-10,756.36,756.36,746.45,749.59,126245,750.789,912
2023-05-11,750.13,750.13,740.11,745.57,311176,742.344,2315
2023-05-12,749.17,751.88,743.53,744.35,168689,746.476,1221
2023-05-15,744.81,751.97,742.95,750.96,142630,749.105,1122
2023-05-16,747.99,747.99,738.52,742.28,185579,741.708,1553
2023-05-17,739.51,751.15,732.49,749.63,220327,744.121,1612
2023-05-18,747.27,749.55,739.76,747.48,199022,744.039,1594
2023-05-19,752.18,764.06,750.18,759.05,240867,759.854,1877
2023-05-22,762.4,768.12,743.13,751.5,301110,749.444,2553
2023-05-23,753.21,756.39,748.38,748.56,166214,750.983,1380
2023-05-24,750.32,751.28,735.38,737.4,239781,740.999,1904
2023-05-25,733.03,736.19,724.03,725.0,233222,728.837,1882
2023-05-26,725.0,726.78,719.0,725.05,368908,722.578,2564
2023-05-30,720.02,729.45,717.88,728.6,215381,724.107,1699
2023-05-31,730.9,736.71,727.4,735.56,202617,732.84,1703
2023-06-01,736.0,740.04,729.01,731.17,241902,734.478,1915
2023-06-02,730.31,740.18,724.12,739.95,211468,733.702,1777
2023-06-05,742.6,751.27,740.5,750.27,243468,748.506,2048
2023-06-06,751.84,754.5,745.42,748.14,180888,748.704,1499
2023-06-07,744.02,746.86,737.81,738.63,174813,742.682,1371
2023-06-08,736.96,751.24,736.96,750.12,130193,746.169,1068
2023-06-09,750.12,751.61,743.03,746.52,261827,747.871,1645
2023-06-12,747.84,754.62,745.03,754.01,163494,750.193,1270
2023-06-13,754.5,767.76,754.5,767.35,191259,763.314,1378
2023-06-14,768.08,774.46,761.86,771.11,209647,769.319,1560
2023-06-15,773.28,788.52,771.34,783.07,283776,782.318,2236
2023-06-16,788.07,794.0,781.36,783.05,317927,787.235,1475
2023-06-20,778.96,787.41,775.81,781.21,170457,781.541,1222
2023-06-21,781.78,786.43,778.07,778.77,127634,781.277,1008
2023-06-22,780.28,783.43,777.0,779.81,199667,780.524,1559
2023-06-23,779.21,787.13,771.62,779.73,163827,779.623,1239
2023-06-26,780.65,785.64,765.02,784.38,223635,780.02,1899
2023-06-27,785.96,786.29,705.0,716.09,1259427,725.072,9127
2023-06-28,708.21,710.05,684.8,700.03,1013590,697.23,7206
2023-06-29,696.77,709.48,689.02,708.42,478607,702.178,3021
2023-06-30,710.16,719.6,704.28,718.54,472000,713.198,3624
2023-07-03,710.09,722.0,710.09,718.09,148397,717.505,1190
2023-07-05,716.36,719.36,712.38,717.83,264257,717.064,2186
2023-07-06,713.74,714.7,703.76,704.83,228413,707.595,1817
2023-07-07,700.59,701.15,692.03,692.45,322113,696.322,2580
2023-07-10,690.0,707.45,688.52,703.36,548025,699.723,3461
2023-07-11,707.94,717.92,705.03,716.83,208364,712.697,1625
2023-07-12,717.75,724.42,714.15,718.42,223655,719.076,1835
2023-07-13,722.57,730.83,720.0,720.98,167270,724.47,1262
2023-07-14,721.12,721.35,715.22,718.52,271424,717.918,2290
2023-07-17,718.88,728.44,717.99,721.61,268264,725.089,1754
2023-07-18,720.0,726.82,715.54,726.55,202833,722.806,1786
2023-07-19,727.58,732.0,718.63,719.01,253915,723.316,2095
2023-07-20,720.0,731.32,720.0,723.02,285461,727.026,2206
2023-07-21,728.79,738.53,721.58,734.63,299564,733.579,2546
2023-07-24,730.45,733.59,723.91,727.13,217888,728.278,1910
2023-07-25,723.22,732.66,721.51,729.88,149581,729.339,1234
2023-07-26,729.88,733.21,724.26,730.96,165085,729.053,1314
2023-07-27,731.21,751.79,731.21,744.66,434573,745.14,3482
2023-07-28,740.0,748.68,723.56,746.1,298616,740.805,2387
