timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,8.58,8.67,8.27,8.31,32685969,8.387,67559
2023-05-03,8.28,8.35,8.02,8.07,34219172,8.185,72070
2023-05-04,8.04,8.09,7.86,7.91,26406621,7.942,57208
2023-05-05,8.03,8.31,7.9,8.23,27732449,8.101,55039
2023-05-08,8.31,8.5,8.19,8.42,18309619,8.37,45323
2023-05-09,8.26,8.36,8.15,8.27,18739119,8.24,42921
2023-05-10,8.49,8.73,8.42,8.7,33850747,8.592,73383
2023-05-11,8.67,8.8,8.56,8.75,17067736,8.724,41969
2023-05-12,8.75,8.81,8.45,8.55,15777435,8.573,43105
2023-05-15,8.49,8.74,8.43,8.7,13914536,8.629,31887
2023-05-16,8.59,8.69,8.39,8.61,18584058,8.556,52533
2023-05-17,8.73,9.39,8.7,9.37,34025628,9.166,79623
2023-05-18,9.21,9.75,9.2,9.69,27829885,9.555,71706
2023-05-19,9.58,9.73,9.48,9.72,15977784,9.651,43749
2023-05-22,9.73,9.97,9.66,9.76,14210616,9.851,36764
2023-05-23,9.68,9.92,9.62,9.8,11514244,9.796,30420
2023-05-24,9.68,9.93,9.61,9.8,11573102,9.778,32294
2023-05-25,9.92,10.07,9.77,9.78,16539645,9.88,41141
2023-05-26,9.87,10.4,9.84,10.28,17446345,10.217,45122
2023-05-30,10.39,10.54,10.13,10.22,17347164,10.314,44248
2023-05-31,10.05,10.23,9.83,10.2,18735381,10.02,45921
2023-06-01,10.06,10.46,10.01,10.33,14584208,10.294,37386
2023-06-02,10.47,10.59,10.29,10.41,17727522,10.397,45598
2023-06-05,10.32,10.7,10.3,10.51,14160163,10.529,37180
2023-06-06,10.43,10.63,10.34,10.51,14517054,10.531,34297
2023-06-07,10.56,10.64,10.09,10.19,16918001,10.274,43589
2023-06-08,10.19,10.21,10.02,10.04,13912763,10.094,40056
2023-06-09,10.15,10.58,10.02,10.09,22123363,10.267,57789
2023-06-12,10.21,10.24,10.02,10.23,16638914,10.129,44430
2023-06-13,10.39,10.43,10.14,10.32,12553960,10.263,33896
2023-06-14,10.3,10.39,10.07,10.25,14570258,10.236,39322
2023-06-15,9.98,10.69,9.96,10.66,25059716,10.424,52069
2023-06-16,10.76,10.84,10.42,10.68,19566507,10.589,50400
2023-06-20,10.58,10.76,10.38,10.58,17944688,10.531,49563
2023-06-21,10.55,10.62,10.14,10.23,19200038,10.299,49303
2023-06-22,10.17,10.64,10.16,10.64,15270895,10.426,42883
2023-06-23,10.4,11.15,10.38,10.82,24232970,10.843,68314
