timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,16.45,16.48,16.13,16.33,5303396,16.288,13855
2023-05-03,15.92,16.12,15.85,15.89,5515558,15.955,16336
2023-05-04,15.75,15.93,15.62,15.87,5120250,15.785,14403
2023-05-05,16.12,16.36,16.06,16.3,4827985,16.238,14504
2023-05-08,16.36,16.45,16.3,16.41,3005506,16.381,9247
2023-05-09,16.28,16.41,16.25,16.3,3350880,16.326,9797
2023-05-10,16.53,16.54,16.26,16.39,2865191,16.399,8473
2023-05-11,16.18,16.32,16.12,16.29,3393790,16.242,9371
2023-05-12,16.35,16.37,16.13,16.2,2565882,16.223,7095
2023-05-15,16.25,16.25,16.06,16.1,4251398,16.126,11928
2023-05-16,15.93,15.97,15.82,15.84,4617240,15.889,13477
2023-05-17,16.17,16.22,16.03,16.13,3209305,16.126,9201
2023-05-18,16.18,16.47,16.12,16.45,5049187,16.312,14201
2023-05-19,16.74,16.81,16.64,16.78,3174264,16.747,9541
2023-05-22,16.56,16.61,16.48,16.54,2863741,16.545,8719
2023-05-23,16.34,16.5,16.25,16.25,2642085,16.343,8394
2023-05-24,15.88,15.89,15.65,15.74,3872757,15.735,8926
2023-05-25,15.56,15.7,15.49,15.65,3801417,15.599,11259
2023-05-26,15.71,15.98,15.7,15.9,3767080,15.863,10858
2023-05-30,15.99,16.01,15.68,15.74,2976780,15.815,8021
2023-05-31,15.45,15.47,15.07,15.3,4459835,15.246,12515
2023-06-01,15.31,15.56,15.28,15.48,3988987,15.447,9899
2023-06-02,15.81,15.96,15.8,15.87,3737015,15.871,9536
2023-06-05,15.85,15.88,15.69,15.75,2973033,15.803,9028
2023-06-06,15.6,15.89,15.59,15.84,3083012,15.791,9621
2023-06-07,15.93,16.09,15.92,16.04,3317260,16.014,9932
2023-06-08,16.38,16.5,16.28,16.33,3983995,16.382,10683
2023-06-09,16.22,16.31,16.18,16.24,3773643,16.25,9858
2023-06-12,16.41,16.52,16.37,16.44,2753088,16.45,8795
2023-06-13,16.71,16.88,16.68,16.81,3682439,16.801,10131
2023-06-14,17.07,17.17,16.88,16.98,3282863,17.043,9627
2023-06-15,16.96,17.21,16.94,17.16,3119220,17.139,8857
2023-06-16,17.38,17.4,17.3,17.34,3837814,17.344,10054
2023-06-20,16.86,16.9,16.71,16.88,4729162,16.814,14297
2023-06-21,16.91,16.97,16.81,16.82,2274442,16.867,7878
2023-06-22,16.62,16.75,16.6,16.63,2401400,16.655,7378
2023-06-23,16.45,16.54,16.41,16.46,3025558,16.472,7075
2023-06-26,16.52,16.69,16.51,16.6,2482248,16.61,6886
2023-06-27,16.61,16.91,16.58,16.9,2847533,16.775,7824
2023-06-28,16.85,16.94,16.81,16.92,2729899,16.893,8182
2023-06-29,17.44,17.58,17.39,17.45,4938168,17.459,15226
2023-06-30,17.57,17.61,17.47,17.54,3018505,17.552,9949
2023-07-03,17.78,17.85,17.76,17.81,1871722,17.807,4996
2023-07-05,17.59,17.61,17.51,17.55,2502272,17.56,8356
2023-07-06,17.38,17.43,17.18,17.36,3103129,17.32,10090
2023-07-07,17.58,17.92,17.56,17.74,4946590,17.765,14796
2023-07-10,17.82,17.91,17.76,17.9,2478732,17.845,8165
2023-07-11,18.0,18.03,17.91,18.0,2469722,17.973,8312
2023-07-12,18.45,18.67,18.43,18.48,6126422,18.556,17311
2023-07-13,18.88,18.95,18.8,18.91,4006320,18.881,12062
2023-07-14,18.8,18.83,18.7,18.76,2763715,18.757,8398
2023-07-17,18.74,18.76,18.54,18.66,3467369,18.661,11596
2023-07-18,18.56,18.75,18.55,18.74,2160485,18.657,6962
2023-07-19,18.58,18.64,18.49,18.55,2601576,18.55,8362
2023-07-20,18.59,18.68,18.47,18.5,2074599,18.536,7180
2023-07-21,18.58,18.6,18.27,18.35,3290012,18.354,9321
2023-07-24,18.57,18.65,18.51,18.51,2452684,18.585,7970
2023-07-25,18.58,18.58,18.47,18.51,3121532,18.528,10294
2023-07-26,18.82,19.28,18.8,19.17,6342595,19.124,19500
2023-07-27,19.75,20.15,19.7,19.8,8673075,19.939,27462
2023-07-28,20.25,20.65,20.24,20.55,9052508,20.505,25113
2023-07-31,20.7,20.71,20.44,20.55,4184539,20.574,12054
2023-08-01,20.05,20.2,20.02,20.12,5327985,20.089,17148
2023-08-02,19.84,19.91,19.61,19.67,4812320,19.717,14095
2023-08-03,19.59,19.69,19.44,19.57,4769070,19.543,14379
2023-08-04,19.69,19.8,19.39,19.43,6300153,19.603,21168
2023-08-07,19.63,19.68,19.5,19.58,4867230,19.579,13761
2023-08-08,19.11,19.35,19.01,19.34,5522704,19.21,15164
2023-08-09,19.24,19.32,19.0,19.12,5507473,19.178,15878
2023-08-10,19.4,19.48,18.71,18.77,12471992,19.039,34284
2023-08-11,18.57,18.59,18.33,18.41,9844937,18.438,27616
2023-08-14,18.35,18.45,18.26,18.41,6381548,18.368,20485
2023-08-15,18.27,18.3,18.03,18.14,5167185,18.12,17819
2023-08-16,18.12,18.24,17.91,17.92,4841201,18.065,16299
2023-08-17,18.02,18.04,17.72,17.75,5804613,17.86,19229
2023-08-18,17.6,17.83,17.56,17.82,6381110,17.723,21078
2023-08-21,18.19,18.21,18.03,18.13,5529648,18.125,17383
2023-08-22,18.34,18.41,18.03,18.09,6095761,18.141,20980
2023-08-23,18.01,18.23,18.01,18.2,3050979,18.143,9836
2023-08-24,18.06,18.12,17.84,17.86,3239735,17.945,9894
2023-08-25,18.11,18.28,17.86,18.18,5056703,18.113,15322
2023-08-28,18.29,18.39,18.23,18.3,3249569,18.307,8897
2023-08-29,18.43,18.88,18.38,18.85,4316901,18.715,13109
2023-08-30,18.75,18.85,18.67,18.72,4366999,18.74,11099
2023-08-31,18.67,18.68,18.47,18.55,7082557,18.573,20201
2023-09-01,18.38,18.4,18.02,18.23,6618273,18.173,21009
2023-09-05,18.1,18.35,17.99,18.26,6739152,18.187,20612
2023-09-06,18.24,18.36,17.98,18.16,5829119,18.138,19126
2023-09-07,18.17,18.25,18.04,18.09,5337863,18.125,16053
2023-09-08,18.11,18.28,18.06,18.23,4650805,18.206,12006
2023-09-11,18.54,18.79,18.46,18.69,4825054,18.656,15330
2023-09-12,19.0,19.26,19.0,19.03,6679711,19.126,20426
2023-09-13,19.12,19.2,18.88,18.95,4571695,19.024,12798
2023-09-14,18.84,18.89,18.63,18.84,4537744,18.777,14097
2023-09-15,18.92,19.3,18.9,19.25,10851039,19.177,31801
2023-09-18,18.95,19.05,18.77,18.94,5357114,18.936,16699
2023-09-19,19.29,19.44,19.22,19.34,4864468,19.334,15559
2023-09-20,19.82,20.0,19.66,19.67,7046024,19.868,23330
2023-09-21,19.34,19.47,19.23,19.33,7409544,19.367,21262
2023-09-22,19.46,19.62,19.3,19.35,7396881,19.443,22217
2023-09-25,18.99,19.25,18.85,19.24,5220949,19.123,15037
2023-09-26,19.01,19.17,18.66,18.84,6269197,18.902,18674
2023-09-27,18.85,18.91,18.58,18.81,4613514,18.743,15388
2023-09-28,18.82,19.35,18.77,19.27,10725558,19.147,33468
2023-09-29,19.28,19.48,19.05,19.13,8116252,19.243,25054
2023-10-02,19.06,19.1,18.79,18.91,4714201,18.917,15937
2023-10-03,18.85,18.88,18.58,18.7,5394623,18.681,17828
2023-10-04,18.66,18.76,18.51,18.75,7643532,18.618,24654
2023-10-05,18.79,18.92,18.66,18.89,6140980,18.813,18020
2023-10-06,18.86,19.59,18.68,19.46,10496588,19.211,29076
2023-10-09,19.0,19.18,18.92,19.11,5087650,19.037,16376
2023-10-10,19.57,19.76,19.52,19.58,6285763,19.648,18955
2023-10-11,20.28,20.42,20.04,20.25,8124850,20.212,24861
2023-10-12,20.09,20.12,19.65,19.77,5699611,19.862,20658
2023-10-13,20.03,20.06,19.62,19.68,6256663,19.784,20954
2023-10-16,19.56,19.87,19.49,19.82,4605690,19.731,17138
2023-10-17,19.73,20.25,19.72,20.06,6410059,20.059,19960
2023-10-18,19.96,19.97,19.66,19.71,5955011,19.781,16754
2023-10-19,19.1,19.24,18.83,18.95,8890387,19.064,32833
2023-10-20,18.83,18.91,18.65,18.88,7454789,18.796,24016
2023-10-23,18.98,19.23,18.88,18.94,7231164,19.061,24392
2023-10-24,18.81,18.86,18.61,18.76,5855154,18.739,16926
2023-10-25,18.79,19.01,18.67,18.89,7325154,18.867,21030
2023-10-26,18.71,18.82,18.4,18.48,8019935,18.576,22457
2023-10-27,18.66,18.67,17.93,18.04,11260040,18.166,33112
2023-10-30,18.38,18.42,17.82,18.0,10091264,18.064,30520
2023-10-31,18.38,18.77,18.31,18.68,8189504,18.588,24145
2023-11-01,18.83,19.08,18.75,18.94,7847706,18.93,25774
2023-11-02,19.59,19.66,19.36,19.61,7901300,19.542,22418
2023-11-03,19.87,20.17,19.87,20.11,6468097,20.075,21117
2023-11-06,19.85,19.92,19.47,19.55,4837946,19.621,15888
2023-11-07,19.33,19.42,19.21,19.37,3333004,19.325,11092
2023-11-08,19.67,19.73,19.46,19.47,5417471,19.549,17840
2023-11-09,19.55,19.56,19.07,19.08,5283967,19.277,18038
2023-11-10,19.24,19.47,19.09,19.38,4649766,19.301,15466
2023-11-13,19.42,19.75,19.34,19.68,4730604,19.625,15571
2023-11-14,20.16,20.42,20.1,20.25,6679689,20.281,20940
2023-11-15,20.34,20.56,20.32,20.45,6325221,20.459,16161
2023-11-16,20.29,20.41,19.91,19.92,6130469,20.067,20353
2023-11-17,20.11,20.24,20.04,20.23,4744430,20.131,15632
2023-11-20,20.37,20.74,20.3,20.61,4244419,20.599,13630
2023-11-21,20.44,20.49,20.16,20.18,3800076,20.278,12807
2023-11-22,20.32,20.33,20.12,20.14,2374731,20.212,8198
2023-11-24,20.42,20.61,20.42,20.46,2250089,20.53,6677
2023-11-27,20.41,20.58,20.4,20.42,3842273,20.481,11297
2023-11-28,20.43,20.58,20.37,20.52,3252569,20.493,10618
2023-11-29,21.49,21.76,21.33,21.57,9359149,21.567,25654
2023-11-30,21.91,21.93,21.64,21.66,6019765,21.765,17202
2023-12-01,21.76,22.02,21.69,22.01,4873356,21.886,14442
2023-12-04,21.78,22.09,21.77,21.98,6259513,21.977,18087
2023-12-05,21.77,22.11,21.75,21.99,3904340,21.995,14755
2023-12-06,22.75,22.9,22.53,22.54,6523017,22.727,20966
2023-12-07,22.52,22.61,22.39,22.55,3502299,22.543,11252
2023-12-08,22.5,22.73,22.5,22.6,3700231,22.639,12462
2023-12-11,22.6,22.65,22.46,22.54,4355056,22.563,14470
2023-12-12,22.78,22.79,22.49,22.62,4450605,22.627,13400
2023-12-13,22.88,22.96,22.38,22.95,5540774,22.712,16368
2023-12-14,23.16,23.52,23.14,23.5,6778409,23.379,21838
2023-12-15,23.52,23.62,23.36,23.46,3751571,23.48,12848
2023-12-18,23.48,23.63,23.4,23.45,3722921,23.481,12737
2023-12-19,23.23,23.42,23.21,23.34,3368069,23.344,10470
2023-12-20,23.12,23.31,22.86,22.88,4983667,23.128,15912
2023-12-21,23.22,23.43,23.1,23.42,6433428,23.258,15491
2023-12-22,23.48,23.58,23.3,23.33,3550405,23.419,10236
2023-12-26,23.39,23.59,23.33,23.45,1581322,23.494,5772
2023-12-27,23.51,23.66,23.49,23.59,1754908,23.582,6256
2023-12-28,23.52,23.56,23.41,23.45,2036289,23.484,7338
2023-12-29,23.46,23.53,23.31,23.32,1850317,23.408,7051
2024-01-02,23.11,23.24,23.0,23.05,4040901,23.123,14041
2024-01-03,22.42,22.45,22.16,22.25,5183892,22.295,17206
2024-01-04,22.34,22.51,22.21,22.21,2447813,22.369,9206
2024-01-05,22.28,22.71,22.28,22.45,3303624,22.499,11007
2024-01-08,22.41,22.76,22.37,22.75,3532240,22.603,11787
2024-01-09,22.46,22.52,22.33,22.34,2658809,22.422,9300
2024-01-10,22.62,22.86,22.59,22.84,3698739,22.752,10865
2024-01-11,22.96,23.0,22.53,22.76,3008664,22.716,10979
2024-01-12,22.5,22.65,22.23,22.3,4000707,22.387,14443
2024-01-16,21.42,21.74,21.37,21.74,7426740,21.589,23103
2024-01-17,21.31,21.35,21.19,21.34,6188409,21.265,17747
2024-01-18,21.61,21.66,21.38,21.56,3168778,21.53,11247
2024-01-19,21.45,21.62,21.34,21.62,4633941,21.452,14589
2024-01-22,21.51,21.57,21.31,21.33,3164820,21.421,8944
2024-01-23,21.25,21.35,21.13,21.32,3209329,21.252,9969
2024-01-24,21.31,21.35,21.04,21.09,4432666,21.189,12856
2024-01-25,21.0,21.15,20.9,21.15,4646356,21.022,14330
2024-01-26,21.22,21.32,21.16,21.21,2837798,21.215,8977
2024-01-29,21.04,21.26,20.88,21.26,3723607,21.066,10650
2024-01-30,21.58,22.07,21.58,21.87,7435806,21.893,22433
2024-01-31,22.11,22.33,21.95,21.96,6493234,22.163,17755
2024-02-01,22.46,22.84,22.35,22.84,6479956,22.61,19543
2024-02-02,23.09,23.13,22.8,23.08,7023719,22.986,22174
2024-02-05,22.7,22.7,22.35,22.57,6670490,22.557,19970
2024-02-06,22.87,23.15,22.85,23.03,4261533,23.021,13235
2024-02-07,23.62,23.65,23.25,23.51,7584015,23.451,26712
2024-02-08,23.91,24.11,23.75,24.05,6298412,23.925,18426
2024-02-09,24.19,24.42,24.09,24.41,4434706,24.276,12937
2024-02-12,24.44,24.58,24.37,24.5,5698889,24.48,18176
2024-02-13,24.16,24.25,23.8,23.99,5572449,24.007,17737
2024-02-14,23.99,24.39,23.91,24.39,5525084,24.186,19296
2024-02-15,25.41,26.1,25.25,25.99,9084255,25.739,31547
2024-02-16,25.8,25.81,25.5,25.69,7942404,25.651,26305
2024-02-20,25.63,25.64,25.21,25.4,6067300,25.39,19298
2024-02-21,25.46,25.63,25.39,25.63,3242524,25.49,11339
2024-02-22,26.33,26.54,26.2,26.29,5108566,26.314,15788
2024-02-23,26.62,26.73,26.5,26.51,4341038,26.606,14440
2024-02-26,26.31,26.49,26.16,26.17,4669120,26.311,15096
2024-02-27,26.27,26.38,26.15,26.16,4173130,26.26,14210
2024-02-28,26.41,26.46,26.16,26.18,5323343,26.319,16756
2024-02-29,26.34,26.4,26.04,26.26,4007891,26.205,12509
2024-03-01,26.32,26.52,26.29,26.49,4175255,26.428,12296
2024-03-04,26.61,26.8,26.5,26.51,4648752,26.648,15022
2024-03-05,26.75,26.95,26.6,26.79,5473412,26.804,19504
2024-03-06,27.11,27.36,27.08,27.17,5075809,27.196,18897
2024-03-07,27.41,27.62,27.36,27.55,4989741,27.509,17984
2024-03-08,27.61,27.69,27.26,27.3,3666230,27.434,12944
2024-03-11,27.63,27.7,27.51,27.58,5490165,27.603,17152
2024-03-12,27.68,28.22,27.55,28.18,4069971,28.038,12381
2024-03-13,27.85,28.01,27.7,27.76,3381200,27.848,12992
2024-03-14,27.8,27.89,27.4,27.5,4397327,27.617,16057
2024-03-15,28.11,28.5,28.08,28.5,5752380,28.373,20710
2024-03-18,28.79,28.83,28.41,28.48,4630712,28.554,17788
2024-03-19,28.71,28.94,28.68,28.82,4193887,28.788,15986
