timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,62.81,66.67,62.81,65.08,6213857,65.293,35463
2023-05-03,65.73,65.93,64.53,64.96,3428770,65.161,20932
2023-05-04,65.12,65.48,64.46,65.01,1621234,64.982,10850
2023-05-05,64.78,65.49,64.59,64.89,940031,65.057,6435
2023-05-08,64.47,64.93,64.34,64.47,914189,64.59,6019
2023-05-09,64.21,64.85,63.9,64.52,754300,64.548,4655
2023-05-10,64.48,64.95,64.22,64.44,1623544,64.619,7043
2023-05-11,64.15,64.46,63.75,64.0,1629213,64.037,9476
2023-05-12,64.02,64.4,63.95,64.25,1155774,64.126,7283
2023-05-15,64.58,64.95,63.59,63.7,1450070,63.948,8918
2023-05-16,63.15,63.88,62.59,63.19,1841894,63.332,11223
2023-05-17,63.1,63.1,61.48,62.13,2692701,62.056,15366
2023-05-18,61.74,62.04,61.32,61.88,1552699,61.777,8254
2023-05-19,62.06,62.99,61.89,62.61,1384234,62.511,9201
2023-05-22,62.88,63.0,62.4,62.45,1034958,62.587,6933
2023-05-23,62.38,62.39,61.59,61.62,1058271,61.934,7085
2023-05-24,61.62,61.65,60.64,60.91,1516740,61.027,10568
2023-05-25,60.55,61.11,60.03,60.73,1248947,60.627,8176
2023-05-26,60.71,60.85,59.9,60.64,1122440,60.439,7891
2023-05-30,59.56,60.64,59.5,60.4,1417311,60.236,9263
2023-05-31,60.93,62.08,60.77,61.85,1970139,61.676,12749
2023-06-01,61.53,62.44,61.24,62.33,1828804,62.128,8305
2023-06-02,62.68,64.31,62.54,63.87,1516649,63.917,9331
2023-06-05,63.74,64.41,63.35,63.81,1123210,63.916,7644
2023-06-06,65.68,65.88,64.18,65.14,2574158,64.945,12893
2023-06-07,65.0,66.51,64.75,66.15,1980619,65.844,11869
2023-06-08,66.59,66.66,65.84,66.4,1261115,66.38,7298
2023-06-09,66.5,67.11,66.24,66.46,1292508,66.591,8127
2023-06-12,66.8,67.33,66.66,67.1,1484352,67.067,7962
