timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,31.27,31.31,28.98,29.12,17845173,29.451,85813
2023-05-03,29.57,29.87,27.95,28.13,17854692,29.053,91535
2023-05-04,27.23,27.86,25.56,26.21,30981094,26.333,151241
2023-05-05,27.43,29.0,27.01,28.69,19730917,28.246,100184
2023-05-08,29.74,29.98,28.28,28.75,13104909,28.908,62451
2023-05-09,28.33,28.79,27.93,28.6,8166223,28.334,40243
2023-05-10,29.1,29.21,27.56,27.9,9395262,27.991,45636
2023-05-11,27.04,27.18,26.49,26.83,13669827,26.73,66724
2023-05-12,27.16,27.32,26.68,27.3,8413029,26.944,41623
2023-05-15,27.27,27.92,27.24,27.87,8837073,27.738,38915
2023-05-16,27.75,28.05,27.16,27.17,9542861,27.444,44392
2023-05-17,27.75,28.96,27.7,28.92,15028514,28.448,68999
2023-05-18,28.78,29.93,28.54,29.84,13455512,29.309,61597
2023-05-19,30.02,30.2,28.89,29.7,10401906,29.542,52339
2023-05-22,29.95,30.58,29.6,30.58,7243956,30.214,39853
2023-05-23,30.7,31.89,30.63,30.75,11053810,31.258,58060
2023-05-24,30.52,30.83,29.87,30.4,6632468,30.331,34577
2023-05-25,30.23,30.54,29.77,30.53,7057391,30.195,36774
2023-05-26,30.5,30.98,30.06,30.7,5329733,30.645,27333
2023-05-30,31.06,31.14,30.23,31.09,7539632,30.773,40578
2023-05-31,30.61,30.79,29.44,30.47,15024201,30.196,75983
2023-06-01,31.04,31.38,30.4,30.96,14511665,31.004,70733
2023-06-02,31.29,32.51,31.18,32.08,9546556,32.066,46773
2023-06-05,32.37,32.46,31.3,31.74,7056156,31.787,35652
2023-06-06,31.54,33.64,31.44,33.05,7865877,33.042,40252
2023-06-07,33.19,33.75,32.8,33.48,6668502,33.334,35487
2023-06-08,33.52,33.61,32.51,33.15,6317971,32.939,31818
2023-06-09,33.28,33.51,32.43,32.63,6581473,32.741,35965
2023-06-12,32.36,33.09,30.6,31.95,13225081,31.641,72873
2023-06-13,31.97,32.89,31.69,32.4,9494435,32.362,47322
2023-06-14,32.78,33.09,31.46,31.72,6727674,32.242,38306
2023-06-15,31.55,32.44,31.46,32.22,6750838,32.058,31300
2023-06-16,32.19,32.36,31.34,31.9,11568955,31.759,55565
2023-06-20,31.69,31.85,30.97,31.35,8197432,31.324,40782
2023-06-21,31.4,31.77,31.05,31.5,4810680,31.538,27258
2023-06-22,31.5,31.51,30.53,30.61,7388678,30.753,38794
2023-06-23,30.09,30.41,29.85,30.0,8380747,30.095,45379
2023-06-26,30.09,30.49,29.94,30.09,8645056,30.105,49666
