timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,156.55,156.8,153.57,155.72,1247993,155.139,8530
2023-05-03,155.32,158.62,154.34,154.57,1435596,156.057,10041
2023-05-04,154.18,154.5,150.87,152.53,1575764,152.277,11194
2023-05-05,154.49,157.77,154.17,156.3,1216562,156.466,8579
2023-05-08,156.48,157.79,155.64,156.5,808342,156.494,5780
2023-05-09,155.7,157.86,155.42,157.42,980369,156.977,7391
2023-05-10,158.18,159.3,155.02,157.73,1584159,157.254,11517
2023-05-11,157.38,159.31,156.54,158.87,1621670,158.399,10756
2023-05-12,157.8,159.3,156.03,157.99,2102323,157.898,15030
2023-05-15,157.97,160.79,157.4,160.57,2243515,159.637,15744
2023-05-16,157.38,160.85,154.7,156.91,3479209,158.38,24604
2023-05-17,155.8,162.84,155.12,160.96,5079029,160.296,32171
2023-05-18,160.87,161.62,153.24,154.18,5307641,155.249,29295
2023-05-19,154.9,155.27,150.93,152.28,2616690,152.672,16349
2023-05-22,151.0,152.74,149.77,151.91,2293054,151.412,16164
2023-05-23,150.33,151.33,146.94,147.16,2866658,148.773,19244
2023-05-24,145.8,145.89,142.13,143.1,4355584,143.628,27345
2023-05-25,142.18,142.2,138.65,140.75,4935933,139.935,29957
2023-05-26,140.31,140.48,137.21,138.93,5411090,138.87,31696
2023-05-30,138.22,138.89,133.58,133.84,7703332,135.002,42131
2023-05-31,134.24,135.26,130.63,130.93,8100997,132.737,45631
2023-06-01,128.6,132.03,126.75,131.16,10129803,129.592,51113
2023-06-02,131.24,133.28,130.56,133.22,5386106,132.103,27993
2023-06-05,131.67,133.1,129.72,130.6,5375466,130.576,29054
2023-06-06,130.1,132.96,129.92,132.7,3890374,131.575,21967
2023-06-07,132.03,132.31,131.01,131.75,3907771,131.599,21212
2023-06-08,131.5,132.77,130.21,131.27,4527794,131.148,19543
2023-06-09,129.5,130.6,126.95,126.99,6499265,128.595,33995
2023-06-12,127.3,127.39,125.08,126.48,5678240,125.995,31249
2023-06-13,127.5,129.4,126.74,128.72,4439920,128.326,23291
2023-06-14,129.2,134.53,127.93,133.23,11146389,132.589,61586
2023-06-15,135.11,138.08,134.6,137.84,7203355,136.714,37937
2023-06-16,138.06,138.06,133.64,133.81,5371638,135.329,28706
2023-06-20,133.12,133.29,131.42,132.72,3217516,132.337,19487
2023-06-21,132.36,133.98,131.33,133.22,2425229,132.914,13989
2023-06-22,133.44,133.76,131.43,132.39,2686101,132.367,15852
2023-06-23,131.01,132.41,130.32,131.83,2400001,131.823,14594
2023-06-26,132.35,135.46,132.34,134.5,2917337,134.323,16429
2023-06-27,133.2,134.84,132.41,132.51,4155819,133.491,23929
2023-06-28,132.7,133.38,131.88,132.47,2844493,132.663,16627
2023-06-29,132.48,134.06,131.77,132.91,4234255,132.942,21091
2023-06-30,133.81,133.85,131.12,131.9,4901177,132.119,27074
2023-07-03,131.59,135.32,131.59,134.86,3034028,134.27,14629
2023-07-05,134.24,134.49,132.49,132.55,2761295,133.081,16103
2023-07-06,131.88,132.97,130.43,130.84,3141531,131.289,18126
2023-07-07,130.5,132.22,129.86,130.05,2628979,131.164,17053
2023-07-10,130.28,131.86,130.28,131.74,2417697,131.176,14446
2023-07-11,132.04,134.3,131.37,133.39,2700967,133.387,15776
2023-07-12,134.85,135.41,132.84,132.91,2104071,133.789,12378
2023-07-13,133.37,134.3,132.69,132.82,1815689,133.243,10456
2023-07-14,132.09,132.68,130.66,130.92,2514735,131.301,14673
2023-07-17,130.8,130.83,128.55,130.01,2949479,130.005,18354
2023-07-18,130.35,131.97,129.04,130.81,2480937,130.781,15360
2023-07-19,131.5,132.93,130.88,132.7,1940422,132.077,11564
2023-07-20,133.13,135.29,132.48,134.64,2646946,134.38,17087
2023-07-21,135.13,136.36,133.6,134.08,2165969,134.626,13666
2023-07-24,134.32,135.6,133.83,135.41,1576374,134.844,9523
2023-07-25,135.09,135.83,133.34,133.6,2485325,134.087,13875
2023-07-26,132.76,135.54,132.45,134.47,3577122,134.365,18632
2023-07-27,135.33,138.28,134.5,134.5,3431784,136.284,18475
2023-07-28,135.85,136.74,134.81,135.0,1755838,135.547,11284
2023-07-31,135.26,136.89,135.26,136.47,2083668,136.299,12236
2023-08-01,136.33,136.54,132.95,132.99,2448154,134.009,15341
2023-08-02,132.2,134.09,131.82,133.54,1899423,133.299,12492
2023-08-03,133.23,134.04,132.6,132.73,2189751,133.267,12061
2023-08-04,133.8,134.62,131.96,132.53,2197276,133.226,13548
2023-08-07,133.02,133.7,131.34,131.94,1871409,132.29,11448
