timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,142.99,143.2,140.09,140.36,3860463,140.759,28333
2023-05-03,140.72,141.22,139.69,139.91,2486620,140.366,17993
2023-05-04,140.13,141.76,140.13,141.26,2153037,141.198,15847
2023-05-05,141.5,143.9,141.12,143.56,2350684,143.071,17751
2023-05-08,144.0,144.31,142.72,144.18,1957996,143.706,14768
2023-05-09,143.81,144.08,141.75,142.03,2362184,142.412,17849
2023-05-10,142.5,143.25,140.99,142.03,2241472,141.942,16759
2023-05-11,141.72,143.41,141.72,142.7,2055919,142.847,16351
2023-05-12,142.72,144.23,142.72,144.12,1930173,143.725,14770
2023-05-15,143.68,144.84,143.4,144.62,1872130,144.293,14052
2023-05-16,144.52,144.94,142.87,143.7,1731658,143.712,12440
2023-05-17,144.44,144.5,140.86,141.58,3676262,141.501,23941
2023-05-18,140.5,140.85,136.33,138.18,6917617,138.204,46240
2023-05-19,138.63,140.15,138.02,139.03,3414616,139.001,23578
2023-05-22,139.84,142.17,136.93,141.6,5487016,139.998,36293
2023-05-23,140.94,141.77,140.31,141.37,2310899,141.12,17617
2023-05-24,141.4,141.67,139.89,140.0,2211491,140.582,15822
2023-05-25,136.42,137.3,134.92,135.76,4922627,136.164,32821
2023-05-26,135.04,136.48,134.1,135.15,4265327,135.082,29399
2023-05-30,134.32,135.79,133.71,135.12,3326445,134.981,22911
2023-05-31,136.18,138.73,135.32,137.25,3337093,137.51,23778
2023-06-01,137.36,139.2,137.18,138.91,3815230,138.475,23908
2023-06-02,129.0,131.35,124.91,131.19,29101862,128.315,153974
2023-06-05,131.97,133.01,130.89,132.22,6082127,132.241,37832
2023-06-06,131.26,131.92,127.39,128.54,7687197,128.672,47897
2023-06-07,128.85,129.0,126.05,126.55,6798444,126.924,45218
2023-06-08,127.8,130.41,127.79,130.32,4944651,129.634,32148
2023-06-09,130.09,131.9,130.0,131.36,3506815,130.988,23850
2023-06-12,131.55,131.8,129.46,130.78,2601589,130.204,17768
2023-06-13,130.5,130.7,129.15,129.88,3041962,129.802,20033
2023-06-14,129.52,129.7,127.72,128.05,5844451,128.445,36193
2023-06-15,130.49,133.25,129.6,132.76,5868922,132.26,35952
2023-06-16,131.26,132.07,130.69,130.93,5479164,131.317,25686
2023-06-20,131.45,131.9,129.84,131.23,4171216,131.156,25640
2023-06-21,131.08,133.85,130.99,132.68,3981669,132.83,25191
2023-06-22,132.96,134.48,132.68,134.34,2668246,133.613,18197
2023-06-23,133.7,134.6,132.6,132.8,1969397,133.401,13766
2023-06-26,133.15,134.98,132.99,134.85,2478349,134.536,16916
2023-06-27,135.0,136.6,134.85,136.17,2038802,136.082,13757
2023-06-28,136.25,136.34,135.12,136.27,1874208,135.821,12674
2023-06-29,135.95,137.28,135.91,136.84,1645824,136.799,10631
2023-06-30,137.26,139.18,137.01,138.9,2502447,138.542,16678
2023-07-03,138.95,139.89,138.17,139.33,1052712,139.135,7379
2023-07-05,138.83,139.65,137.91,139.56,2023530,139.072,12895
2023-07-06,138.74,139.72,138.55,139.16,1724508,139.192,11297
2023-07-07,138.5,139.95,137.88,138.97,1765286,139.153,11798
2023-07-10,139.03,140.35,138.07,138.34,2860739,139.243,18907
2023-07-11,138.07,140.08,137.9,140.02,2285936,139.254,14159
2023-07-12,140.61,141.25,139.57,140.89,2323507,140.482,16281
2023-07-13,141.04,141.2,139.13,140.69,2054674,140.015,14050
2023-07-14,138.96,140.34,138.46,139.68,1860828,139.665,11580
2023-07-17,139.3,139.65,137.77,138.0,2855914,138.618,19959
2023-07-18,138.17,140.46,137.51,138.45,3141032,138.936,21111
2023-07-19,139.7,140.42,137.36,137.58,2601691,138.312,17996
2023-07-20,138.23,141.27,138.23,140.1,3136417,140.367,21192
2023-07-21,141.15,141.84,140.09,140.9,3105964,140.862,20142
2023-07-24,140.57,142.49,140.54,141.37,2769948,141.698,18067
2023-07-25,142.15,142.84,140.89,142.47,2396114,142.074,13969
2023-07-26,141.4,141.75,139.77,141.09,2402079,140.951,15949
2023-07-27,141.68,142.55,139.39,139.88,2995774,140.582,21169
2023-07-28,138.93,142.14,138.34,140.87,4568606,140.99,29318
2023-07-31,140.53,140.6,137.19,137.77,3356764,137.992,20918
2023-08-01,138.11,138.45,135.84,137.26,2313266,136.944,16759
2023-08-02,137.26,137.3,135.27,135.78,2631277,135.98,17897
2023-08-03,135.48,135.97,134.71,135.37,1530612,135.351,10728
2023-08-04,135.79,136.47,134.46,134.6,1802207,135.462,13569
2023-08-07,135.32,137.18,135.01,136.65,1791209,136.48,12944
2023-08-08,136.49,137.57,136.19,136.26,1610425,136.704,11909
2023-08-09,136.23,138.36,136.08,137.71,1803430,137.636,12641
2023-08-10,138.75,139.44,137.58,137.73,1414315,138.284,10394
2023-08-11,137.29,138.57,137.02,138.34,1452019,138.057,10436
2023-08-14,138.95,139.89,138.16,139.5,1635160,139.228,12442
2023-08-15,138.71,139.6,138.18,138.58,1432671,138.838,10261
2023-08-16,138.93,139.68,138.22,138.25,1385976,138.903,10146
2023-08-17,138.66,139.13,136.17,136.37,1886872,137.04,14097
2023-08-18,136.34,137.37,135.63,136.14,1784941,136.34,12897
2023-08-21,135.63,136.6,134.73,135.55,2133986,135.692,16624
2023-08-22,135.03,135.34,134.21,135.16,1932849,134.835,15103
2023-08-23,136.05,136.81,135.76,136.33,1470927,136.368,11434
2023-08-24,134.99,136.28,133.22,133.32,3613409,134.21,25684
2023-08-25,132.84,133.96,131.47,133.35,2601559,132.983,18205
2023-08-28,134.09,135.31,134.04,135.18,1609163,134.834,12138
2023-08-29,135.5,137.07,135.02,136.74,1698433,136.329,12821
2023-08-30,137.42,137.83,136.72,137.39,1525383,137.369,11253
2023-08-31,137.76,138.09,135.99,136.25,1994703,136.759,14521
2023-09-01,137.06,137.67,136.24,137.33,1480983,137.209,11637
2023-09-05,137.33,138.79,136.49,136.89,1938026,137.24,15315
2023-09-06,136.79,138.98,132.4,134.13,7066696,135.227,42689
2023-09-07,134.85,139.96,134.5,137.28,4547291,138.123,30373
2023-09-08,137.83,139.38,136.77,137.63,2102480,138.177,15633
2023-09-11,138.26,141.27,138.04,140.26,2718095,140.152,19628
2023-09-12,140.47,140.61,138.87,140.11,2625252,139.897,18323
2023-09-13,140.44,142.14,139.79,141.5,2716216,141.273,20936
2023-09-14,141.91,144.13,141.17,143.12,4077851,143.186,25899
2023-09-15,143.9,144.93,141.45,141.93,4735941,143.086,25053
2023-09-18,143.24,143.49,140.63,140.81,1796024,141.471,13333
2023-09-19,141.0,142.5,140.2,142.47,2221067,141.575,16170
2023-09-20,142.99,143.05,141.42,142.07,1718619,142.181,12017
2023-09-21,141.93,143.07,139.94,139.99,2078084,141.069,15226
2023-09-22,139.31,140.29,139.3,139.35,1543170,139.814,9695
2023-09-25,138.83,140.04,138.18,140.01,1273058,139.23,9087
2023-09-26,139.91,141.28,139.62,140.46,2059090,140.647,14679
2023-09-27,140.31,140.84,138.63,139.7,1819446,139.688,12007
2023-09-28,140.09,140.76,139.22,139.7,1529783,139.852,10572
2023-09-29,139.51,140.89,139.51,140.05,1331463,140.185,9655
2023-10-02,139.92,140.49,138.54,139.26,1648047,139.333,12167
2023-10-03,138.77,138.77,136.21,136.43,2548098,136.763,16807
2023-10-04,136.23,138.42,135.82,138.06,1891222,137.315,14198
2023-10-05,138.24,138.55,136.84,137.43,1772029,137.694,11834
2023-10-06,137.23,139.46,136.86,139.03,2596845,138.49,17053
2023-10-09,139.27,140.7,138.71,140.14,2264230,139.762,15893
2023-10-10,140.23,142.47,140.12,142.41,1949473,141.847,14710
2023-10-11,142.24,143.53,141.71,143.12,1819401,142.957,13239
2023-10-12,143.51,143.89,139.74,141.14,2031841,140.9,13495
2023-10-13,141.74,142.42,140.52,141.67,1494694,141.53,11198
2023-10-16,142.98,143.68,142.06,143.24,1469040,143.104,10617
2023-10-17,143.23,144.16,141.48,142.77,2011625,142.622,14912
2023-10-18,142.45,142.64,139.58,139.69,3301072,140.356,22610
2023-10-19,139.87,140.08,137.75,137.84,4155213,138.53,28374
2023-10-20,138.47,138.88,136.85,136.99,3050456,137.892,20186
2023-10-23,136.92,139.06,136.92,137.74,1649405,138.31,12047
2023-10-24,139.25,141.31,138.7,141.07,2699368,140.699,18874
2023-10-25,144.0,144.0,137.69,140.99,3681815,140.966,25177
2023-10-26,139.44,143.3,138.41,142.86,3847945,142.168,23613
2023-10-27,142.95,143.39,139.2,140.0,3220666,140.362,20187
2023-10-30,141.32,142.27,139.47,141.57,2736293,140.898,18005
2023-10-31,141.6,144.23,141.29,143.86,2163262,143.518,15057
2023-11-01,144.59,145.43,143.42,145.05,2368648,144.403,14305
2023-11-02,144.83,146.55,143.9,146.5,2908817,145.767,18544
2023-11-03,147.4,148.18,146.75,147.49,2222162,147.67,15955
2023-11-06,147.48,148.66,147.06,147.34,1811515,147.788,12904
2023-11-07,147.67,147.98,146.87,147.13,1673530,147.347,12473
2023-11-08,147.23,147.71,146.04,146.64,2125885,146.606,12380
2023-11-09,146.47,147.6,146.22,146.89,1898534,147.03,9948
2023-11-10,147.35,147.77,145.92,147.61,1875762,147.058,13520
2023-11-13,147.49,147.88,146.59,147.21,1399898,147.297,10343
2023-11-14,148.1,148.5,146.45,147.01,2460500,147.246,15994
2023-11-15,146.66,147.5,145.77,147.2,2042958,146.681,13486
2023-11-16,148.95,149.29,147.07,147.49,2170278,147.84,13882
2023-11-17,148.29,148.57,147.12,147.71,1663605,147.586,11501
2023-11-20,147.55,148.93,147.24,148.5,1383103,148.145,9310
2023-11-21,149.43,149.45,148.14,148.61,1334192,148.627,9555
2023-11-22,149.02,149.6,148.67,148.91,1340190,149.216,8889
2023-11-24,148.88,149.41,148.3,148.98,723796,149.1,4822
2023-11-27,148.98,149.45,148.15,148.8,1412962,148.758,10927
2023-11-28,148.36,148.93,147.96,148.38,1451261,148.417,9904
2023-11-29,148.74,149.62,148.59,149.55,1927354,149.094,11808
2023-11-30,148.31,150.67,148.19,150.45,2059326,149.587,13512
2023-12-01,150.29,152.84,150.29,152.25,2525144,152.011,16385
2023-12-04,151.43,153.43,151.38,152.8,2122146,152.642,13061
2023-12-05,152.91,154.53,151.98,154.0,2438510,153.549,14915
2023-12-06,154.76,155.62,153.69,155.5,2812412,155.22,19021
2023-12-07,155.72,156.91,155.04,156.36,2035109,156.137,13996
2023-12-08,156.81,157.0,154.24,156.4,2005376,156.356,13389
2023-12-11,158.12,160.23,158.0,158.85,2619279,158.846,18067
2023-12-12,159.81,161.19,159.02,160.44,2218214,160.379,15062
2023-12-13,159.95,160.33,158.57,159.55,2324264,159.48,15535
2023-12-14,158.78,158.78,156.2,156.87,2861754,156.946,20449
2023-12-15,157.19,157.39,154.9,156.15,3659618,156.088,16688
2023-12-18,156.58,157.37,155.05,156.26,1205292,156.466,8156
2023-12-19,156.15,156.75,155.34,155.87,1295306,155.825,9096
2023-12-20,156.18,156.66,154.12,154.54,1539197,155.13,10970
2023-12-21,155.42,155.42,154.27,154.93,1404147,154.818,8541
