timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,44.01,44.6,43.07,44.53,5300016,43.814,25658
2023-05-03,44.57,45.27,43.99,44.48,4940660,44.698,24826
2023-05-04,44.31,44.65,42.59,42.92,7112965,43.038,32866
2023-05-05,43.57,45.04,43.21,44.81,5988373,44.314,34391
2023-05-08,45.31,46.24,45.23,45.86,5304279,45.756,25036
2023-05-09,45.72,46.54,45.22,46.36,3607071,46.161,20295
2023-05-10,46.95,47.05,44.24,45.52,5780186,45.313,31323
2023-05-11,45.14,45.34,44.6,45.08,3196560,44.943,18736
2023-05-12,45.41,45.63,44.42,45.08,3095032,44.93,18838
2023-05-15,45.27,45.49,44.76,45.2,3280057,45.182,20141
2023-05-16,45.04,46.17,44.57,45.35,4289291,45.479,23883
2023-05-17,45.93,48.38,45.93,47.75,10846632,47.483,55161
2023-05-18,47.73,48.25,47.46,48.13,4279051,47.96,25631
2023-05-19,48.07,48.21,46.9,47.54,3757923,47.42,22773
2023-05-22,47.74,48.11,46.62,47.41,4303913,47.227,26362
2023-05-23,47.4,49.05,47.2,47.87,5015544,48.3,27873
2023-05-24,47.46,47.46,45.97,46.66,4733025,46.507,28893
2023-05-25,47.2,47.85,46.67,47.48,4292219,47.373,26374
2023-05-26,47.51,48.18,46.93,47.26,3320013,47.477,18478
2023-05-30,47.75,48.64,47.5,48.01,4064679,47.967,21145
2023-05-31,48.75,48.91,46.97,47.47,4500833,47.598,25203
2023-06-01,47.49,48.29,47.05,47.41,3535959,47.681,20116
2023-06-02,48.03,48.94,47.73,48.5,5709891,48.403,32022
2023-06-05,48.45,48.56,47.63,48.26,2592248,48.092,13283
2023-06-06,47.99,49.13,47.81,48.79,2603219,48.67,13687
2023-06-07,49.07,49.74,48.88,49.39,3954016,49.353,21698
2023-06-08,49.27,50.44,49.26,49.87,4216901,50.006,23688
2023-06-09,50.02,50.9,49.85,50.42,4184805,50.533,23738
2023-06-12,50.91,52.01,50.7,51.31,4698691,51.381,26096
2023-06-13,51.87,53.37,51.67,53.19,6480415,52.814,36628
2023-06-14,53.26,53.83,52.72,53.35,5043340,53.321,25977
2023-06-15,52.84,53.68,52.78,53.58,4398182,53.276,23774
2023-06-16,53.44,54.06,52.98,53.5,4284483,53.495,22773
2023-06-20,52.88,53.06,52.15,52.7,3779182,52.597,20866
