timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,32.94,32.94,30.41,30.63,22310600,30.95,105403
2023-05-03,30.79,31.12,29.65,29.8,19213766,30.458,96549
2023-05-04,28.5,29.7,27.27,28.98,40306729,28.358,208575
2023-05-05,30.68,31.31,29.62,30.74,22927496,30.762,111318
2023-05-08,31.51,31.6,29.68,29.74,17703238,30.36,87917
2023-05-09,29.4,30.25,29.01,29.91,14591751,29.756,73078
2023-05-10,30.6,30.65,28.9,29.45,11616475,29.465,61529
2023-05-11,29.0,29.29,28.53,28.92,12845914,28.976,69818
2023-05-12,29.24,29.34,28.74,29.13,11104183,29.002,58812
2023-05-15,29.16,29.79,29.07,29.65,9776930,29.535,46592
2023-05-16,29.5,29.75,28.67,28.68,12134663,29.001,55155
2023-05-17,29.0,30.5,28.93,30.45,16730815,29.964,76521
2023-05-18,30.24,30.56,29.89,30.49,10252789,30.288,55166
2023-05-19,30.66,30.89,29.75,30.11,10812709,30.183,59465
2023-05-22,30.54,31.08,30.07,30.91,9322273,30.681,45623
2023-05-23,31.0,32.1,31.0,31.14,10726403,31.603,53625
2023-05-24,30.83,31.25,30.4,30.81,8376304,30.696,47144
2023-05-25,30.56,30.83,30.15,30.51,7873474,30.461,42692
2023-05-26,30.58,30.79,30.29,30.67,6824339,30.622,37454
2023-05-30,30.87,31.09,30.0,30.66,9854772,30.477,51300
2023-05-31,30.15,30.34,29.39,29.9,12653917,29.814,65603
2023-06-01,30.1,30.6,29.33,30.52,9018960,30.252,44735
2023-06-02,31.0,31.99,30.75,31.74,10152862,31.53,50620
2023-06-05,31.87,31.99,31.01,31.22,8862781,31.367,44071
2023-06-06,31.23,32.8,31.13,32.63,10918963,32.403,56966
2023-06-07,32.74,33.4,32.42,33.26,11198838,33.044,61678
2023-06-08,33.1,33.27,32.5,33.06,9649737,32.855,50955
2023-06-09,33.0,33.36,32.69,32.86,8101581,33.029,45199
2023-06-12,32.71,33.35,31.52,32.16,12155264,32.211,64960
2023-06-13,32.08,33.31,31.75,32.7,16030576,32.678,87657
2023-06-14,33.0,33.44,31.89,32.1,13881830,32.528,69269
2023-06-15,32.2,33.42,31.94,33.29,11860740,32.913,56330
2023-06-16,33.49,33.61,33.0,33.45,13768716,33.37,63046
2023-06-20,33.04,33.69,32.66,33.58,11367069,33.323,56316
2023-06-21,33.66,33.82,33.21,33.43,10392509,33.583,53612
2023-06-22,33.45,33.48,32.14,32.23,10390430,32.506,50652
2023-06-23,31.99,32.51,31.83,31.88,11570281,32.169,59431
2023-06-26,31.87,32.52,31.87,32.32,8123512,32.283,43374
2023-06-27,32.29,32.69,31.83,32.55,6853708,32.483,35466
2023-06-28,32.57,32.57,31.95,32.32,7405032,32.226,34431
2023-06-29,32.18,32.76,32.03,32.76,9842971,32.469,43695
2023-06-30,33.21,33.5,32.85,33.04,11521155,33.079,60049
2023-07-03,33.16,33.78,33.14,33.58,4989150,33.551,23619
2023-07-05,33.33,33.74,33.02,33.53,7795208,33.517,37498
2023-07-06,33.24,33.24,32.05,32.99,9096918,32.596,46290
2023-07-07,32.86,33.8,32.84,33.54,6654451,33.503,34797
2023-07-10,33.22,33.83,33.15,33.74,9486360,33.651,43759
2023-07-11,34.51,35.18,34.06,34.92,11729957,34.832,60156
