timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,231.95,232.37,226.21,226.98,2684757,227.767,17995
2023-05-03,226.98,228.67,225.92,225.98,2281652,227.311,14817
2023-05-04,224.84,226.06,223.48,225.6,3503736,224.836,19938
2023-05-05,228.34,232.34,227.29,231.78,3664275,230.257,21624
2023-05-08,231.25,233.45,231.25,232.23,1645338,232.441,10584
2023-05-09,231.08,234.09,230.82,233.26,2183067,232.889,13986
2023-05-10,234.3,234.81,228.9,231.27,2314369,230.959,15741
2023-05-11,230.75,231.52,228.27,231.01,1663658,230.312,11630
2023-05-12,232.0,232.73,229.82,231.38,1852510,231.119,12269
2023-05-15,231.19,232.83,230.55,232.81,1509695,231.855,9644
2023-05-16,232.61,233.1,229.63,230.47,2410037,230.849,15938
2023-05-17,232.73,233.89,230.55,232.65,2191875,232.263,13986
2023-05-18,232.4,234.15,231.13,233.6,2794712,232.895,20881
2023-05-19,234.0,234.34,231.94,233.31,2162414,233.196,13822
2023-05-22,233.4,233.87,231.17,231.28,2014334,232.346,13555
2023-05-23,229.27,229.49,223.66,224.58,4966579,225.303,31402
2023-05-24,222.55,223.1,220.03,222.25,3722711,221.726,23137
2023-05-25,222.45,224.69,220.49,223.38,3580278,222.847,21612
2023-05-26,223.82,226.21,223.34,225.01,2639171,225.011,17137
2023-05-30,225.01,225.47,219.75,221.64,4030082,221.801,25978
2023-05-31,219.96,221.53,216.14,221.03,5485849,218.62,35804
2023-06-01,222.73,226.71,222.42,226.5,3880854,224.738,25382
2023-06-02,228.81,230.27,227.42,228.79,2947651,228.647,19417
2023-06-05,227.91,228.33,225.31,226.77,2374996,227.025,16376
2023-06-06,226.69,229.25,226.16,228.22,3427882,228.122,22582
2023-06-07,227.0,227.55,221.02,225.27,5153816,223.794,33789
2023-06-08,225.09,225.14,222.41,223.05,3509158,223.684,22677
2023-06-09,223.64,225.18,222.76,223.56,3129972,223.773,19711
2023-06-12,224.41,226.45,223.63,226.17,3399610,225.182,22416
2023-06-13,225.62,227.15,222.63,223.4,4097085,224.658,25993
2023-06-14,223.74,225.47,222.58,223.44,3812511,224.206,25476
2023-06-15,222.02,227.11,221.37,226.17,4545955,224.678,27849
2023-06-16,226.45,229.8,226.08,228.91,6202655,228.173,28441
2023-06-20,227.0,229.57,226.18,226.47,2828162,227.091,18116
2023-06-21,226.12,228.63,224.98,227.25,2694016,227.226,16638
2023-06-22,226.36,228.93,225.5,228.39,2884163,227.836,18557
2023-06-23,227.22,229.98,226.39,229.55,2731073,228.732,16139
2023-06-26,229.44,230.1,226.2,226.3,2883797,227.584,18202
2023-06-27,227.48,228.61,226.52,227.34,2433042,227.619,14723
2023-06-28,227.5,228.06,226.02,227.96,2677452,227.088,17754
2023-06-29,228.79,234.7,228.6,234.32,4031617,233.256,27876
2023-06-30,236.27,238.28,235.95,237.48,3462282,237.43,20532
2023-07-03,237.0,238.4,235.41,237.97,1719345,237.013,11127
2023-07-05,234.41,240.0,233.99,239.45,3871326,238.541,24656
2023-07-06,238.27,239.6,236.69,238.88,2645087,238.274,18521
2023-07-07,236.73,238.44,236.13,236.45,2161521,237.185,14140
2023-07-10,237.01,239.1,236.5,238.16,2882274,238.031,18397
2023-07-11,238.81,240.7,238.12,240.55,1963447,239.483,13293
2023-07-12,241.55,243.95,241.23,242.21,2655389,242.591,18394
2023-07-13,243.79,244.27,243.15,243.31,2280822,243.626,14552
2023-07-14,244.73,244.74,241.96,243.16,2261851,243.004,15868
2023-07-17,243.11,245.37,243.0,243.99,2467319,244.417,16187
2023-07-18,243.1,243.18,237.68,240.77,4300124,240.379,29223
2023-07-19,241.25,242.59,240.12,241.42,2512063,241.676,17567
2023-07-20,241.16,241.61,239.07,239.62,2561335,240.194,18413
2023-07-21,239.74,240.35,238.73,239.25,2366498,239.669,15121
2023-07-24,239.68,241.28,238.19,240.74,2178281,240.123,14583
2023-07-25,240.02,240.8,238.56,238.69,2723451,239.617,18690
2023-07-26,231.28,238.85,227.68,237.1,4443146,235.73,29167
2023-07-27,237.42,238.66,232.96,234.44,3701601,235.01,23332
2023-07-28,234.58,235.88,233.71,235.75,3134727,235.046,22157
2023-07-31,236.0,238.42,236.0,237.73,2285547,237.331,16010
2023-08-01,237.14,240.73,237.0,239.78,2528905,239.218,16619
2023-08-02,238.63,238.79,236.79,237.56,2808336,237.736,18637
2023-08-03,236.0,239.05,235.24,238.76,3035718,237.632,20818
2023-08-04,238.0,241.91,237.84,238.99,2926633,239.846,21320
2023-08-07,239.22,242.18,239.15,241.51,2153608,241.081,14746
2023-08-08,240.42,241.36,237.39,239.29,2373209,238.644,17241
2023-08-09,240.5,241.97,239.49,239.76,2028917,240.73,13585
2023-08-10,240.62,243.95,240.09,240.16,2433771,241.806,16956
2023-08-11,240.0,240.72,238.41,240.04,1863517,239.929,13427
2023-08-14,240.72,243.33,240.26,242.9,2089373,242.274,14040
2023-08-15,242.01,242.67,239.35,239.83,1586096,240.68,10845
2023-08-16,236.53,241.07,236.01,239.29,1688902,239.839,10756
2023-08-17,240.0,240.38,236.49,237.37,2225259,238.093,15584
2023-08-18,235.58,239.05,235.3,238.17,2123232,237.497,14137
2023-08-21,239.38,240.53,237.75,239.46,1826042,239.375,13291
2023-08-22,240.0,241.43,238.67,240.57,2127673,240.346,13048
2023-08-23,241.32,242.54,240.72,242.3,1756905,241.787,11769
2023-08-24,242.25,243.56,239.36,239.47,2286994,241.041,15477
2023-08-25,241.38,243.41,240.21,242.57,1821744,242.213,13132
2023-08-28,243.01,245.23,242.6,243.83,1877256,244.003,13382
2023-08-29,243.5,245.83,243.4,245.34,2105997,244.681,14823
2023-08-30,246.42,248.23,246.05,246.23,2518347,246.883,16440
2023-08-31,245.59,248.02,245.45,245.68,2171734,246.61,14277
2023-09-01,247.47,248.87,246.77,248.11,2122597,248.033,14737
2023-09-05,248.35,248.69,245.2,245.34,2347445,246.329,15885
2023-09-06,245.42,246.66,244.21,246.16,2158373,245.491,15110
2023-09-07,245.5,247.4,245.11,247.14,1774580,246.408,12717
2023-09-08,247.79,248.14,246.44,247.29,1720077,247.295,11875
2023-09-11,247.33,248.36,246.27,247.22,1348062,247.071,8605
2023-09-12,246.94,247.76,246.01,247.3,1592195,247.018,11023
2023-09-13,247.15,250.06,246.61,247.83,2477617,248.597,16829
2023-09-14,245.0,245.54,238.75,241.5,7131161,241.227,48657
2023-09-15,241.9,244.1,240.03,241.07,5362147,241.783,27029
2023-09-18,240.94,245.23,240.77,244.66,2466416,243.92,17251
2023-09-19,245.0,245.12,241.46,243.56,2609636,242.934,17450
2023-09-20,243.63,244.53,241.67,241.86,2533686,243.388,19078
2023-09-21,240.77,240.78,236.27,236.61,3993408,237.767,29211
2023-09-22,236.75,237.79,234.88,235.08,3301582,236.457,24960
2023-09-25,235.38,235.47,232.21,233.36,3288291,233.699,23034
2023-09-26,231.93,232.67,229.6,229.65,3389239,230.81,23984
2023-09-27,230.26,230.68,227.92,229.5,3316680,229.117,23593
2023-09-28,230.67,232.54,229.67,231.66,2358204,231.194,16978
2023-09-29,232.84,233.03,229.65,230.01,3052291,230.939,22340
2023-10-02,229.24,231.37,228.77,231.27,2776035,230.237,19322
2023-10-03,230.47,231.75,227.78,228.81,2991683,229.238,22646
2023-10-04,229.48,231.7,228.88,231.22,2917020,230.6,19815
2023-10-05,230.41,234.19,230.22,233.48,3268131,232.73,24916
2023-10-06,233.17,236.59,232.75,235.04,3386531,235.178,24867
2023-10-09,232.8,235.17,231.7,234.44,2977313,233.718,23552
2023-10-10,234.9,238.22,234.28,236.6,2634133,236.833,19833
2023-10-11,237.55,238.51,234.89,235.68,2426949,236.22,18440
2023-10-12,236.71,237.73,234.89,236.78,2400309,236.407,17788
2023-10-13,236.39,238.65,236.23,237.67,2611408,237.232,19524
2023-10-16,239.0,240.71,238.33,240.07,2956360,239.739,21825
2023-10-17,239.63,241.48,238.29,241.2,2436504,240.242,17584
2023-10-18,239.96,240.83,236.99,237.47,2927520,238.372,22272
2023-10-19,237.47,237.92,233.4,233.81,3157146,235.215,24031
2023-10-20,234.13,235.77,232.64,233.38,2986638,233.794,19924
2023-10-23,231.36,234.46,231.28,231.53,2858562,232.843,20277
2023-10-24,232.89,236.53,232.89,234.65,3639965,234.75,27317
2023-10-25,232.25,238.48,231.29,236.85,6388711,236.141,44463
2023-10-26,234.57,235.61,230.36,231.28,3527982,232.2,24405
2023-10-27,231.17,231.39,228.03,229.27,2820953,229.65,20357
2023-10-30,232.19,233.38,230.03,233.08,2767577,232.019,19230
2023-10-31,233.57,235.72,232.99,235.1,2440260,234.56,17294
2023-11-01,236.14,239.04,235.68,238.58,2733645,238.013,18554
2023-11-02,239.91,243.25,239.2,243.25,2959296,241.906,20176
2023-11-03,245.12,245.32,242.26,243.6,2848555,243.654,19373
2023-11-06,244.0,244.78,242.61,243.49,2009261,243.664,14724
2023-11-07,243.41,245.07,243.38,244.77,2296918,244.361,16896
2023-11-08,243.49,244.75,242.8,243.91,2735994,243.789,19738
2023-11-09,244.33,244.48,240.97,241.64,2342140,242.208,16481
2023-11-10,243.98,245.27,241.97,245.25,1844336,243.979,12614
2023-11-13,245.0,245.68,244.11,244.67,1507428,244.807,9677
2023-11-14,246.17,247.93,245.58,246.94,2487789,246.868,16729
2023-11-15,246.81,248.24,245.34,248.11,4227316,247.556,29634
2023-11-16,248.59,249.45,247.27,248.57,3764876,248.174,28073
2023-11-17,249.45,250.24,248.66,249.56,3799047,249.481,26953
2023-11-20,249.61,250.93,245.6,249.97,4429419,248.496,29142
2023-11-21,250.03,253.34,250.03,252.23,3556483,251.846,24825
2023-11-22,253.0,254.54,252.66,253.72,2432121,253.781,17349
2023-11-24,254.19,254.7,253.5,254.3,738529,254.173,4031
2023-11-27,254.3,254.98,252.52,254.14,2514637,253.693,17592
2023-11-28,253.85,254.15,251.61,252.94,1957690,252.521,13422
2023-11-29,253.92,256.07,253.52,254.23,1916532,254.761,11948
2023-11-30,254.25,256.77,253.17,256.68,2041836,255.191,13321
2023-12-01,255.79,256.91,253.9,256.45,2025094,255.862,13361
2023-12-04,255.91,257.39,254.35,254.44,2509776,255.251,16915
2023-12-05,254.19,254.82,252.14,254.61,1940663,253.409,13846
2023-12-06,255.8,256.83,253.53,254.29,1951852,254.774,12617
2023-12-07,254.89,256.14,253.5,255.82,1589367,255.106,9830
