timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,114.18,114.48,108.47,110.78,2948656,110.46,17514
2023-05-03,109.74,111.21,106.87,107.06,3076031,108.446,21265
2023-05-04,106.99,108.36,104.18,104.31,2973212,105.459,19678
2023-05-05,107.49,108.37,106.5,107.04,2482538,107.284,16829
2023-05-08,109.28,110.48,107.28,107.38,1955404,108.463,12226
2023-05-09,106.22,109.6,105.49,108.4,2481305,108.381,16661
2023-05-10,108.76,112.56,107.36,111.01,3970792,110.719,27400
2023-05-11,109.55,112.68,109.04,110.66,2810933,110.611,20741
2023-05-12,111.51,112.49,110.04,110.52,2244882,110.946,16030
2023-05-15,111.08,113.06,109.89,112.91,3049832,112.034,19844
2023-05-16,112.87,113.11,108.83,109.64,3224517,109.986,22369
2023-05-17,112.37,112.5,109.86,112.1,2525540,111.42,16961
2023-05-18,111.47,112.08,109.89,111.55,3008851,111.066,19132
2023-05-19,112.58,112.89,110.66,111.27,2118921,111.653,14338
2023-05-22,110.72,114.01,110.44,112.79,2269406,112.692,16024
2023-05-23,114.82,115.35,112.39,112.5,3768269,113.69,23548
2023-05-24,113.65,114.93,111.57,114.79,2714933,113.712,18332
2023-05-25,113.15,113.86,111.27,113.18,2782366,112.807,20059
2023-05-26,114.26,114.75,112.67,113.82,1785162,113.681,12741
2023-05-30,111.78,112.48,110.25,111.66,2127313,111.297,13938
2023-05-31,109.41,109.99,106.78,107.04,3535957,107.482,25596
2023-06-01,107.18,107.99,105.66,105.93,3196036,106.802,22838
2023-06-02,107.86,110.01,106.86,109.27,2837084,108.93,19605
2023-06-05,110.52,110.59,105.81,107.39,2904143,107.486,19042
2023-06-06,105.8,109.42,105.75,109.27,1994629,108.722,14038
2023-06-07,109.56,113.71,108.43,113.52,3096297,111.961,21301
2023-06-08,113.09,114.37,110.45,112.44,3148264,112.746,21838
2023-06-09,112.91,113.61,111.09,113.39,1894500,112.807,12986
2023-06-12,111.49,114.42,111.21,113.08,2470112,113.507,17804
2023-06-13,114.99,116.68,113.04,113.08,2273054,114.784,16589
2023-06-14,114.32,114.76,110.75,111.83,1974971,112.285,14493
2023-06-15,111.71,114.38,111.61,114.03,2266813,113.375,16190
2023-06-16,114.54,114.89,113.29,114.21,2917145,114.304,18215
2023-06-20,114.17,114.26,110.35,110.96,2304149,111.42,16617
2023-06-21,109.84,112.79,109.4,111.62,2243689,111.684,16699
2023-06-22,110.18,111.23,108.28,110.39,1862458,110.159,13436
2023-06-23,108.74,112.88,108.68,111.3,2990862,111.538,20318
2023-06-26,111.37,113.92,111.13,112.99,1914369,113.153,13209
2023-06-27,113.21,116.07,112.04,115.35,2118444,114.795,14825
2023-06-28,115.06,115.82,113.72,115.69,1387333,115.184,8734
2023-06-29,115.84,117.05,115.46,116.61,1183635,116.245,8016
2023-06-30,116.53,117.66,115.11,117.3,1673225,116.768,10312
2023-07-03,118.32,118.85,117.32,117.43,877755,117.985,5570
2023-07-05,117.87,117.99,115.96,116.75,1638441,116.651,10964
2023-07-06,115.6,115.99,112.63,113.46,2224044,113.775,13339
2023-07-07,113.39,116.64,112.85,114.88,2770409,115.105,20242
2023-07-10,114.04,115.18,112.16,112.61,2612620,113.167,16487
2023-07-11,113.21,115.98,112.58,115.95,2243421,115.084,13649
2023-07-12,116.99,117.9,114.64,115.04,1741215,115.774,10571
2023-07-13,115.54,116.83,114.3,115.51,1536342,115.562,8995
2023-07-14,115.03,115.38,112.67,113.48,1373819,113.752,8267
2023-07-17,113.22,114.45,113.16,113.71,1266813,113.756,8349
2023-07-18,113.76,117.26,113.7,115.42,1605386,116.03,9233
2023-07-19,115.67,118.17,115.5,118.02,1707598,117.366,11699
2023-07-20,120.0,121.12,119.09,120.73,2009006,120.392,13957
2023-07-21,121.66,123.28,120.73,122.99,2241432,122.62,15172
2023-07-24,124.0,127.89,123.51,125.71,2721136,126.143,18091
2023-07-25,125.3,126.67,124.1,124.54,1970383,125.505,12538
