timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,50.49,50.5,49.82,50.39,6422394,50.194,14241
2023-05-03,50.52,50.7,50.09,50.21,7195110,50.322,14674
2023-05-04,50.18,50.33,49.83,50.16,7901973,50.089,16834
2023-05-05,50.1,50.67,49.94,50.59,8991060,50.528,18367
2023-05-08,50.42,50.98,50.35,50.91,7571613,50.747,17392
2023-05-09,50.91,51.06,50.78,50.99,8095800,50.949,16701
2023-05-10,51.25,51.45,50.41,50.85,9743265,50.779,19307
2023-05-11,50.85,51.09,50.67,51.04,5922867,50.952,11627
2023-05-12,51.2,51.36,50.9,51.02,9013827,51.086,17117
2023-05-15,51.17,51.28,50.46,50.63,9554574,50.734,20178
2023-05-16,50.28,50.51,49.86,49.93,9380589,50.157,19980
2023-05-17,50.38,50.38,49.57,49.84,15534864,49.866,33011
2023-05-18,50.6,51.43,49.98,50.49,30933804,50.6,57602
2023-05-19,50.47,50.49,49.7,49.97,14788362,49.988,30483
2023-05-22,49.9,50.03,49.43,49.53,8918976,49.599,18938
2023-05-23,49.34,49.62,49.03,49.44,9060882,49.393,18714
2023-05-24,49.5,49.51,48.77,49.21,13093356,49.097,24292
2023-05-25,48.96,49.15,48.36,48.72,11066259,48.666,22660
2023-05-26,48.57,48.94,48.49,48.81,9337614,48.793,21406
2023-05-30,48.77,49.1,48.53,48.69,9279156,48.8,19213
2023-05-31,48.47,49.1,48.34,48.96,11866224,48.863,25969
2023-06-01,48.74,49.3,48.65,49.14,12493503,48.999,22741
2023-06-02,49.07,49.67,49.03,49.61,10228782,49.503,21198
2023-06-05,49.79,50.42,49.73,49.93,9558648,50.04,19792
2023-06-06,49.9,50.06,49.5,49.93,8984895,49.78,18211
2023-06-07,49.75,50.12,49.68,50.0,15280884,49.938,29679
2023-06-08,50.13,50.81,49.93,50.72,11328747,50.388,21991
2023-06-09,50.72,51.24,50.53,51.03,9002265,50.988,17630
2023-06-12,51.14,51.43,51.05,51.37,7936359,51.279,16441
2023-06-13,51.51,51.84,51.36,51.77,8662002,51.633,17079
2023-06-14,51.97,52.44,51.87,52.29,10646121,52.253,22192
2023-06-15,52.33,52.74,52.33,52.58,7866342,52.577,16125
2023-06-16,52.69,52.72,51.76,51.84,16031586,52.254,25358
2023-06-20,51.57,51.82,51.29,51.39,8641644,51.501,19381
2023-06-21,51.4,51.78,51.12,51.49,7957695,51.535,17602
2023-06-22,51.66,52.03,51.49,51.92,7052970,51.889,15423
2023-06-23,51.96,52.1,51.67,51.82,9765525,51.854,20712
2023-06-26,51.88,51.93,51.44,51.68,7968972,51.677,15835
2023-06-27,51.38,51.95,51.35,51.5,7260618,51.617,15159
2023-06-28,51.58,51.89,51.54,51.78,10772355,51.757,23567
2023-06-29,51.5,51.58,51.05,51.43,14490261,51.32,24644
2023-06-30,51.66,52.51,51.59,52.39,10117188,52.217,21546
2023-07-03,52.27,52.81,52.11,52.73,5088192,52.623,10533
2023-07-05,52.72,53.04,52.45,52.7,8161143,52.709,17171
2023-07-06,52.64,52.73,52.29,52.37,7207374,52.44,15651
2023-07-07,51.94,52.1,51.15,51.16,10043088,51.542,20570
2023-07-10,51.52,51.83,51.44,51.63,7358160,51.654,15113
2023-07-11,51.59,51.84,51.29,51.55,6868641,51.483,14322
2023-07-12,51.77,51.96,51.61,51.68,9052377,51.76,17549
2023-07-13,51.81,51.87,51.23,51.38,6839124,51.47,14512
2023-07-14,51.37,51.56,51.19,51.55,6014589,51.423,11975
2023-07-17,51.47,51.66,51.27,51.62,6057786,51.54,12158
2023-07-18,51.56,51.89,51.29,51.52,8005023,51.578,16031
2023-07-19,51.6,51.73,51.25,51.54,6785727,51.43,13818
2023-07-20,51.64,52.52,51.63,52.49,8794083,52.213,17730
2023-07-21,52.63,52.93,52.48,52.79,9890733,52.799,19473
2023-07-24,52.82,53.16,52.52,53.1,7109175,52.974,13945
2023-07-25,53.49,53.51,52.76,53.06,8599131,53.062,15425
2023-07-26,53.08,53.56,52.98,53.25,8629470,53.27,17893
2023-07-27,53.36,53.55,53.04,53.05,6466968,53.248,12978
2023-07-28,53.1,53.65,53.1,53.3,5411805,53.416,10981
2023-07-31,53.32,53.55,52.97,53.29,5740542,53.169,11912
2023-08-01,53.32,53.48,52.99,53.04,5946633,53.182,12521
2023-08-02,52.84,53.48,52.84,53.07,7080855,53.148,14980
2023-08-03,53.01,53.17,52.84,53.09,7728378,53.028,14328
2023-08-04,53.25,53.42,52.65,52.78,6438429,52.98,13968
2023-08-07,53.17,53.74,53.04,53.5,7338570,53.517,15326
2023-08-08,53.66,53.87,53.17,53.55,6048897,53.451,13034
2023-08-09,53.64,54.03,53.57,53.64,6962271,53.771,15633
2023-08-10,53.6,53.92,53.34,53.42,6684594,53.569,15128
