timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,113.94,113.94,109.29,110.1,16161507,110.714,88889
2023-05-03,109.08,109.81,107.75,107.93,10930506,108.739,62795
2023-05-04,107.9,108.75,105.91,106.04,11702950,106.813,60149
2023-05-05,108.55,109.43,107.53,108.68,9691933,108.711,56457
2023-05-08,110.5,110.97,109.04,109.11,7013113,109.774,39953
2023-05-09,108.34,110.23,108.21,109.14,7369504,109.402,43857
2023-05-10,109.74,110.01,106.71,107.74,8432408,107.811,46493
2023-05-11,106.49,106.82,104.93,105.79,11303937,105.759,63874
2023-05-12,106.31,107.01,104.77,105.78,8342927,105.864,44611
2023-05-15,105.51,105.93,104.58,105.07,8678666,105.244,43523
2023-05-16,104.63,104.81,102.02,102.52,10061958,102.971,49001
2023-05-17,103.39,105.23,102.85,104.82,8797563,104.232,47001
2023-05-18,104.55,105.91,104.13,105.77,7009933,105.233,42704
2023-05-19,106.57,107.05,105.82,106.26,7309874,106.436,40748
2023-05-22,105.84,107.04,104.88,104.97,7922087,106.043,46245
2023-05-23,105.99,108.22,105.75,106.4,9718469,107.044,52193
2023-05-24,107.38,108.51,106.73,107.59,8890748,107.555,53572
2023-05-25,105.94,106.43,104.71,105.66,7021886,105.623,43783
2023-05-26,106.47,106.95,104.83,104.97,6657438,105.489,33502
2023-05-30,103.29,104.12,102.61,104.04,7350271,103.517,40463
2023-05-31,102.29,103.04,101.74,102.18,8090758,102.296,45073
2023-06-01,101.75,105.58,101.26,103.36,8375090,103.144,47312
2023-06-02,105.16,106.13,104.53,105.76,8480189,105.488,47159
2023-06-05,107.19,107.29,105.09,105.29,7801101,105.896,46091
2023-06-06,104.15,106.27,103.98,106.15,7095844,105.588,41707
2023-06-07,106.79,108.89,106.73,108.53,9688859,108.368,58671
2023-06-08,108.77,109.14,105.9,108.19,8383277,107.834,50409
2023-06-09,108.45,108.61,107.16,107.39,7362596,107.774,42425
2023-06-12,105.81,107.06,105.55,106.42,8462913,106.207,46857
2023-06-13,107.38,108.34,106.27,106.44,7689296,107.209,45229
2023-06-14,107.45,108.11,104.39,105.16,9574952,105.533,59322
2023-06-15,105.5,107.03,105.44,105.89,9944906,106.359,60246
2023-06-16,106.36,106.77,104.95,105.13,14728932,105.835,68192
2023-06-20,104.68,104.77,102.12,102.72,10355539,102.94,57027
2023-06-21,102.5,104.63,102.33,103.87,7343902,103.894,43910
2023-06-22,102.84,103.89,102.65,103.3,7330201,103.317,44752
2023-06-23,102.59,102.82,101.62,102.4,8291669,102.119,45236
2023-06-26,102.19,104.91,102.19,104.29,7722088,104.184,42615
2023-06-27,104.05,104.61,103.27,104.55,7371750,104.06,39720
2023-06-28,104.31,105.82,103.2,105.4,8198465,104.968,45155
2023-06-29,105.66,106.73,105.13,106.7,6978371,105.986,35969
2023-06-30,107.32,107.88,106.81,107.25,7400337,107.498,42031
2023-07-03,107.49,108.46,107.07,107.46,4512636,107.796,24039
2023-07-05,107.63,107.92,106.1,106.91,7611511,106.646,44176
2023-07-06,105.09,105.72,102.43,102.92,11915060,103.485,64703
2023-07-07,101.92,104.0,101.56,103.16,14303035,103.195,73502
2023-07-10,102.97,104.75,102.75,104.69,9567362,104.194,51132
2023-07-11,105.26,106.16,104.81,105.97,8185938,105.635,44429
2023-07-12,107.0,107.65,106.13,106.49,7866558,106.767,46339
2023-07-13,105.97,106.23,103.32,104.54,19016362,104.557,104094
2023-07-14,104.05,104.05,100.53,100.94,20013849,101.624,108331
2023-07-17,100.72,101.67,100.22,101.38,10791106,101.036,59918
2023-07-18,100.92,102.2,100.34,100.92,16302060,101.32,89749
2023-07-19,101.05,102.4,100.8,101.62,10328283,101.906,54448
2023-07-20,102.54,103.66,102.36,103.41,9122294,103.118,52230
2023-07-21,104.16,104.38,103.26,103.89,9882037,103.749,54379
2023-07-24,104.36,106.16,103.96,105.52,10141732,105.483,52930
2023-07-25,105.06,106.1,104.54,105.68,7570735,105.576,41087
2023-07-26,105.11,105.72,104.63,105.09,8302255,105.032,44200
2023-07-27,106.0,106.99,104.74,105.42,11275082,105.795,61026
2023-07-28,105.11,105.16,102.32,104.16,11533906,103.649,58426
2023-07-31,105.19,107.86,105.19,107.24,14873324,107.037,80145
2023-08-01,106.95,107.32,105.53,106.62,7534247,106.314,40535
2023-08-02,106.26,106.38,104.57,105.29,7933271,105.204,44617
2023-08-03,105.89,107.88,105.3,107.12,9985294,106.879,55779
2023-08-04,107.96,109.24,107.33,107.42,9751107,108.344,53331
2023-08-07,107.9,108.42,106.5,107.2,7877593,107.058,41860
2023-08-08,106.04,107.75,104.83,107.73,8020535,106.655,45511
2023-08-09,108.71,110.42,108.31,109.56,13173284,109.664,70055
2023-08-10,110.19,111.63,109.44,110.12,10557220,110.528,55108
2023-08-11,110.37,112.07,110.05,111.83,9517949,111.488,54485
2023-08-14,111.68,111.98,110.78,111.92,8590433,111.47,46173
2023-08-15,110.75,110.86,107.96,108.16,9530871,108.801,54244
2023-08-16,108.28,109.33,106.27,106.34,8814510,107.596,52742
2023-08-17,107.42,110.15,107.42,108.4,11590898,109.058,65500
2023-08-18,107.64,110.2,107.62,110.04,10490835,109.443,58425
