timestamp,open,high,low,close,volume,wap,barCount
2023-05-02,9.73,9.9,9.59,9.75,6632236,9.696,26321
2023-05-03,9.58,9.88,9.56,9.67,6161334,9.712,24772
2023-05-04,9.86,10.31,9.69,10.15,12892791,10.003,50109
2023-05-05,10.24,10.61,10.21,10.4,7962033,10.46,31897
2023-05-08,10.62,10.81,10.39,10.55,6906529,10.535,31968
2023-05-09,9.95,10.56,9.87,10.09,11020416,10.151,48195
2023-05-10,10.24,10.43,9.99,10.3,7394702,10.19,30024
2023-05-11,10.28,10.77,10.21,10.75,10082088,10.606,35956
2023-05-12,10.11,10.16,9.6,9.82,19630722,9.842,62560
2023-05-15,9.91,9.91,9.51,9.8,6118186,9.678,20778
2023-05-16,9.58,9.64,9.37,9.51,5401210,9.505,20576
2023-05-17,9.38,9.66,9.28,9.58,8462616,9.513,32034
2023-05-18,9.41,9.45,9.05,9.13,10703795,9.219,29636
2023-05-19,9.05,9.25,8.97,9.02,8546747,9.064,33499
2023-05-22,9.26,9.65,9.2,9.41,8629170,9.457,27001
2023-05-23,9.2,9.31,9.08,9.11,9598553,9.182,30237
2023-05-24,8.26,8.78,8.0,8.65,23854610,8.225,67845
2023-05-25,8.11,8.13,7.85,8.01,13018337,7.974,38207
2023-05-26,8.08,8.27,7.8,8.2,11755946,8.075,32648
2023-05-30,8.05,8.26,7.81,7.87,17820968,7.959,50183
2023-05-31,8.06,8.08,7.69,7.88,8904766,7.845,27996
2023-06-01,7.78,8.2,7.5,8.02,13113911,7.907,42174
2023-06-02,8.43,8.75,8.39,8.44,15997694,8.541,52148
2023-06-05,8.54,8.66,8.42,8.45,7256596,8.509,24515
2023-06-06,8.45,8.69,8.25,8.65,15443516,8.501,42431
2023-06-07,8.54,8.65,8.31,8.38,10034108,8.448,31748
2023-06-08,8.51,8.61,8.34,8.46,6363252,8.456,21942
2023-06-09,8.78,9.36,8.77,8.87,22727807,9.04,69783
2023-06-12,9.65,10.35,9.63,9.86,38365020,10.039,106699
2023-06-13,10.21,10.34,9.93,10.29,15488494,10.15,53330
2023-06-14,10.6,10.93,10.49,10.8,16650645,10.757,50575
2023-06-15,11.05,11.95,11.04,11.59,23873932,11.543,78979
2023-06-16,11.78,11.87,11.28,11.38,15149165,11.534,55105
2023-06-20,10.78,10.91,10.6,10.88,11457521,10.796,39606
2023-06-21,11.06,11.33,10.55,10.63,8690147,10.804,35314
2023-06-22,10.56,10.57,10.27,10.56,6036105,10.441,23985
2023-06-23,9.95,10.08,9.64,9.9,10757631,9.848,36224
2023-06-26,10.27,10.48,10.09,10.16,6998823,10.251,27413
2023-06-27,10.32,11.0,10.29,10.98,10639121,10.71,38534
2023-06-28,11.41,11.93,11.18,11.78,16265054,11.619,49952
2023-06-29,11.75,11.99,11.4,11.83,14128383,11.686,51359
2023-06-30,12.74,13.53,12.49,13.42,37605549,13.206,118031
2023-07-03,14.38,14.86,13.56,13.98,29739764,14.123,104355
2023-07-05,13.88,15.24,13.76,14.8,29908994,14.823,100367
2023-07-06,14.62,14.69,14.12,14.14,15173996,14.307,56641
2023-07-07,14.0,14.5,13.83,14.16,11541725,14.172,44348
2023-07-10,13.84,14.31,13.58,14.15,11301761,14.056,46134
2023-07-11,14.89,15.18,14.52,14.97,17682388,14.839,60570
2023-07-12,15.49,15.55,14.83,15.15,13037249,15.141,49387
2023-07-13,15.02,15.06,13.92,14.04,21822296,14.272,69102
2023-07-14,14.23,14.43,13.83,14.02,11501417,14.037,41796
2023-07-17,13.62,14.17,13.57,14.07,7358082,13.978,28027
2023-07-18,14.55,14.66,13.99,14.33,10798632,14.344,36669
2023-07-19,14.67,15.53,14.67,14.98,16301637,15.151,55846
2023-07-20,14.64,15.05,14.48,15.04,8008783,14.861,28916
2023-07-21,14.95,15.14,14.44,14.56,9808023,14.658,39408
2023-07-24,14.93,16.38,14.78,16.01,22800914,15.886,80353
2023-07-25,16.46,16.88,15.36,15.36,19319980,15.836,69424
2023-07-26,17.64,21.83,17.55,19.46,125366661,19.73,413597
2023-07-27,20.75,21.05,19.52,20.22,44637644,20.307,159667
2023-07-28,21.52,23.62,21.45,23.39,52840379,22.613,178764
2023-07-31,20.65,21.46,19.9,20.92,47123775,20.412,146718
2023-08-01,19.87,20.69,19.74,20.05,24393401,20.206,87737
2023-08-02,18.5,19.28,18.42,18.83,27988673,18.909,111840
2023-08-03,19.28,19.95,19.1,19.54,20483257,19.57,70508
2023-08-04,19.08,19.19,18.02,18.32,21178111,18.436,80815
2023-08-07,19.03,19.09,18.04,18.7,11826766,18.49,45200
2023-08-08,17.92,18.3,17.66,17.73,15205129,17.877,61357
2023-08-09,17.51,17.64,16.51,16.94,14633549,16.91,54923
2023-08-10,17.29,17.64,16.65,16.78,12608227,17.038,47317
2023-08-11,16.17,16.36,15.89,16.28,12040430,16.13,50961
2023-08-14,15.72,16.4,15.65,16.24,11495111,16.112,45594
2023-08-15,16.45,16.59,15.55,16.11,12675124,15.982,55847
2023-08-16,15.42,16.14,15.33,15.58,10344623,15.736,44689
2023-08-17,16.49,16.65,15.58,15.65,15994846,15.966,66321
2023-08-18,14.55,15.09,14.21,14.98,19669737,14.762,72088
2023-08-21,15.87,17.0,15.61,16.43,22673208,16.428,80259
2023-08-22,16.76,16.89,15.45,15.94,14493968,15.87,52487
2023-08-23,15.6,16.26,15.56,16.06,7429159,16.056,28680
2023-08-24,16.56,16.93,16.02,16.2,8498726,16.311,35641
2023-08-25,16.65,17.58,16.4,17.53,17230511,17.147,62186
2023-08-28,18.44,18.7,17.56,18.46,21648252,18.082,82831
2023-08-29,18.3,19.22,17.47,19.14,20063757,18.632,84350
2023-08-30,18.59,18.98,18.22,18.88,11189491,18.668,49366
2023-08-31,18.66,18.81,17.74,17.79,14164585,18.165,54800
2023-09-01,18.35,19.96,18.12,18.71,29499733,18.996,104960
2023-09-05,18.68,19.86,18.63,18.75,15132976,19.085,58829
2023-09-06,18.9,19.25,18.52,18.95,9467567,18.974,35998
2023-09-07,18.2,18.2,17.31,17.46,11521530,17.605,44218
2023-09-08,17.5,17.71,17.2,17.35,5773030,17.391,22097
2023-09-11,18.22,18.63,17.96,18.48,9236714,18.313,35082
2023-09-12,18.26,19.04,18.26,18.65,7476511,18.673,29830
2023-09-13,18.04,18.38,17.95,18.07,7171092,18.179,31476
2023-09-14,18.08,18.51,18.07,18.35,4816124,18.344,20779
2023-09-15,18.52,18.7,18.01,18.3,5415143,18.273,24439
2023-09-18,18.01,18.57,18.01,18.46,5172739,18.385,21257
2023-09-19,18.39,18.67,17.06,17.49,12602371,17.643,56111
2023-09-20,17.41,17.86,16.25,16.35,14479120,16.764,60263
2023-09-21,15.64,16.18,15.39,15.89,12003970,15.857,54320
2023-09-22,16.99,16.99,16.37,16.44,11028905,16.553,47821
2023-09-25,16.53,16.79,16.25,16.69,11345295,16.576,49657
2023-09-26,16.32,16.81,16.15,16.22,5485016,16.476,25642
2023-09-27,16.36,16.69,16.09,16.69,6710473,16.43,32300
2023-09-28,16.49,17.42,16.47,17.22,8567897,17.128,37476
2023-09-29,18.02,18.46,17.81,18.36,10172739,18.122,46518
2023-10-02,18.3,18.51,17.91,18.13,7650676,18.262,36022
2023-10-03,17.59,17.77,17.24,17.44,8134460,17.465,37946
2023-10-04,17.29,18.01,17.28,17.97,7409251,17.76,32895
