date,pair,industry,position_A,position_B,price_A,price_B,cash,portfolio_value,zscore,open_trade_id,daily_pnl,daily_return
2023-05-02,PNC/TFC,Banks,0,0,119.14,29.12,100000.0,100000.0,,,0.0,0.0
2023-05-03,PNC/TFC,Banks,0,0,116.65,28.13,100000.0,100000.0,,,0.0,0.0
2023-05-04,PNC/TFC,Banks,0,0,113.64,26.21,100000.0,100000.0,,,0.0,0.0
2023-05-05,PNC/TFC,Banks,0,0,116.18,28.69,100000.0,100000.0,,,0.0,0.0
2023-05-08,PNC/TFC,Banks,0,0,116.99,28.75,100000.0,100000.0,,,0.0,0.0
2023-05-09,PNC/TFC,Banks,0,0,115.7,28.6,100000.0,100000.0,,,0.0,0.0
2023-05-10,PNC/TFC,Banks,0,0,113.97,27.9,100000.0,100000.0,,,0.0,0.0
2023-05-11,PNC/TFC,Banks,0,0,112.7,26.83,100000.0,100000.0,,,0.0,0.0
2023-05-12,PNC/TFC,Banks,0,0,111.58,27.3,100000.0,100000.0,,,0.0,0.0
2023-05-15,PNC/TFC,Banks,0,0,113.67,27.87,100000.0,100000.0,,,0.0,0.0
2023-05-16,PNC/TFC,Banks,0,0,111.59,27.17,100000.0,100000.0,,,0.0,0.0
2023-05-17,PNC/TFC,Banks,0,0,119.25,28.92,100000.0,100000.0,,,0.0,0.0
2023-05-18,PNC/TFC,Banks,0,0,120.15,29.84,100000.0,100000.0,,,0.0,0.0
2023-05-19,PNC/TFC,Banks,0,0,118.48,29.7,100000.0,100000.0,,,0.0,0.0
2023-05-22,PNC/TFC,Banks,0,0,120.42,30.58,100000.0,100000.0,,,0.0,0.0
2023-05-23,PNC/TFC,Banks,0,0,121.49,30.75,100000.0,100000.0,,,0.0,0.0
2023-05-24,PNC/TFC,Banks,0,0,120.25,30.4,100000.0,100000.0,,,0.0,0.0
2023-05-25,PNC/TFC,Banks,0,0,118.99,30.53,100000.0,100000.0,,,0.0,0.0
2023-05-26,PNC/TFC,Banks,0,0,118.78,30.7,100000.0,100000.0,,,0.0,0.0
2023-05-30,PNC/TFC,Banks,0,0,118.85,31.09,100000.0,100000.0,,,0.0,0.0
2023-05-31,PNC/TFC,Banks,0,0,115.83,30.47,100000.0,100000.0,,,0.0,0.0
2023-06-01,PNC/TFC,Banks,0,0,119.74,30.96,100000.0,100000.0,,,0.0,0.0
2023-06-02,PNC/TFC,Banks,0,0,123.58,32.08,100000.0,100000.0,,,0.0,0.0
2023-06-05,PNC/TFC,Banks,0,0,123.28,31.74,100000.0,100000.0,,,0.0,0.0
2023-06-06,PNC/TFC,Banks,0,0,126.38,33.05,100000.0,100000.0,,,0.0,0.0
2023-06-07,PNC/TFC,Banks,0,0,127.56,33.48,100000.0,100000.0,,,0.0,0.0
2023-06-08,PNC/TFC,Banks,0,0,128.86,33.15,100000.0,100000.0,,,0.0,0.0
2023-06-09,PNC/TFC,Banks,0,0,128.93,32.63,100000.0,100000.0,,,0.0,0.0
2023-06-12,PNC/TFC,Banks,0,0,127.41,31.95,100000.0,100000.0,,,0.0,0.0
2023-06-13,PNC/TFC,Banks,0,0,128.86,32.4,100000.0,100000.0,,,0.0,0.0
2023-06-14,PNC/TFC,Banks,0,0,126.52,31.72,100000.0,100000.0,,,0.0,0.0
2023-06-15,PNC/TFC,Banks,0,0,128.79,32.22,100000.0,100000.0,,,0.0,0.0
2023-06-16,PNC/TFC,Banks,0,0,128.47,31.9,100000.0,100000.0,,,0.0,0.0
2023-06-20,PNC/TFC,Banks,0,0,126.46,31.35,100000.0,100000.0,,,0.0,0.0
2023-06-21,PNC/TFC,Banks,0,0,126.66,31.5,100000.0,100000.0,,,0.0,0.0
2023-06-22,PNC/TFC,Banks,0,0,123.44,30.61,100000.0,100000.0,,,0.0,0.0
2023-06-23,PNC/TFC,Banks,0,0,123.03,30.0,100000.0,100000.0,,,0.0,0.0
2023-06-26,PNC/TFC,Banks,0,0,123.73,30.09,100000.0,100000.0,,,0.0,0.0
2023-06-27,PNC/TFC,Banks,0,0,124.01,30.49,100000.0,100000.0,,,0.0,0.0
2023-06-28,PNC/TFC,Banks,0,0,123.56,30.47,100000.0,100000.0,,,0.0,0.0
2023-06-29,PNC/TFC,Banks,0,0,125.68,30.64,100000.0,100000.0,,,0.0,0.0
2023-06-30,PNC/TFC,Banks,0,0,125.95,30.35,100000.0,100000.0,,,0.0,0.0
2023-07-03,PNC/TFC,Banks,0,0,127.53,31.39,100000.0,100000.0,,,0.0,0.0
2023-07-05,PNC/TFC,Banks,0,0,126.34,30.99,100000.0,100000.0,,,0.0,0.0
2023-07-06,PNC/TFC,Banks,0,0,123.88,30.82,100000.0,100000.0,,,0.0,0.0
2023-07-07,PNC/TFC,Banks,0,0,125.61,31.88,100000.0,100000.0,,,0.0,0.0
2023-07-10,PNC/TFC,Banks,0,0,125.36,32.19,100000.0,100000.0,,,0.0,0.0
2023-07-11,PNC/TFC,Banks,0,0,126.49,32.48,100000.0,100000.0,,,0.0,0.0
2023-07-12,PNC/TFC,Banks,0,0,127.23,33.02,100000.0,100000.0,,,0.0,0.0
2023-07-13,PNC/TFC,Banks,0,0,129.79,33.62,100000.0,100000.0,,,0.0,0.0
2023-07-14,PNC/TFC,Banks,0,0,125.79,33.1,100000.0,100000.0,,,0.0,0.0
2023-07-17,PNC/TFC,Banks,0,0,127.16,33.43,100000.0,100000.0,,,0.0,0.0
2023-07-18,PNC/TFC,Banks,0,0,130.35,34.51,100000.0,100000.0,,,0.0,0.0
2023-07-19,PNC/TFC,Banks,0,0,132.37,35.59,100000.0,100000.0,,,0.0,0.0
2023-07-20,PNC/TFC,Banks,0,0,133.99,33.06,100000.0,100000.0,,,0.0,0.0
2023-07-21,PNC/TFC,Banks,0,0,134.26,33.05,100000.0,100000.0,,,0.0,0.0
2023-07-24,PNC/TFC,Banks,0,0,135.6,33.5,100000.0,100000.0,,,0.0,0.0
2023-07-25,PNC/TFC,Banks,0,0,133.54,32.58,100000.0,100000.0,,,0.0,0.0
2023-07-26,PNC/TFC,Banks,0,0,136.01,33.36,100000.0,100000.0,,,0.0,0.0
2023-07-27,PNC/TFC,Banks,0,0,133.12,31.99,100000.0,100000.0,1.0455563080260433,,0.0,0.0
2023-07-28,PNC/TFC,Banks,0,0,135.5,33.01,100000.0,100000.0,0.5696409654156251,,0.0,0.0
