trade_id,pair,industry,entry_date,exit_date,direction,entry_z,exit_z,hedge_ratio,entry_price_A,entry_price_B,exit_price_A,exit_price_B,shares_A,shares_B,pnl,return_pct,holding_days,fate
1,PNC/TFC,Banks,2023-08-16,2023-08-28,short_spread,2.0228967213450124,0.2281549329781276,1.1213828159107413,122.73,29.1,118.41,29.37,-81,385,453.8700000000004,0.021465024453017168,8,success
2,PNC/TFC,Banks,2023-09-13,2023-10-10,short_spread,2.1069406941619486,0.18358788941953202,1.1213828159107413,123.61,28.62,122.23,29.25,-80,391,356.7299999999992,0.016923301716097617,19,success
3,PNC/TFC,Banks,2024-01-19,2024-02-06,long_spread,-2.358895997403411,-0.07248424568220241,1.1213828159107413,150.79,37.47,149.29,36.25,66,-299,265.77999999999963,0.012563062290156713,12,success
4,PNC/TFC,Banks,2024-03-15,2024-03-21,short_spread,2.2369975619668274,0.04433550473987302,1.1213828159107413,148.78,34.86,157.81,38.05,-67,321,418.9799999999992,0.019802139300284675,4,success
5,PNC/TFC,Banks,2024-05-03,2024-06-03,long_spread,-2.0845752968456344,1.0720809701453158,1.1213828159107413,156.22,38.85,155.01,37.11,64,-288,423.68000000000006,0.019997281336374212,20,timeout
6,PNC/TFC,Banks,2024-06-07,2024-06-24,short_spread,2.3685185153599972,0.3257070736626106,1.1213828159107413,155.88,36.17,154.9,37.46,-64,310,462.6199999999991,0.021833005962522054,10,success
7,PNC/TFC,Banks,2024-09-16,2024-10-14,short_spread,2.1886432269298637,0.989631174852455,1.1213828159107413,180.92,42.13,188.52,43.59,-55,266,-29.64000000000101,-0.0014009428477708753,20,timeout
8,PNC/TFC,Banks,2025-01-17,2025-01-21,long_spread,-4.855202769777276,-4.3948520833257545,1.1213828159107413,198.54,47.65,198.56,47.89,50,-235,-55.399999999999956,-0.0026225162427957706,1,stop_loss
9,PNC/TFC,Banks,2025-01-21,2025-01-22,long_spread,-4.3948520833257545,-3.406387589573983,1.1213828159107413,198.56,47.89,196.3,47.01,50,-234,92.92000000000104,0.004396652638890646,1,stop_loss
10,PNC/TFC,Banks,2025-01-22,2025-02-20,long_spread,-3.406387589573983,-1.7635271835787856,1.1213828159107413,196.3,47.01,191.89,46.65,50,-238,-134.8200000000014,-0.006418966852001983,20,timeout
11,PNC/TFC,Banks,2025-04-03,2025-04-24,short_spread,2.0079976644993947,0.4323398348469841,1.1213828159107413,161.29,37.04,159.75,37.9,-62,302,355.1999999999993,0.016765741246838693,14,success
12,PNC/TFC,Banks,2025-09-15,2025-09-26,short_spread,2.879539857234403,0.3527391811450609,1.1213828159107413,202.46,44.78,203.32,46.02,-49,250,267.86000000000126,0.012685443990539728,9,success
13,PNC/TFC,Banks,2025-10-15,2025-10-16,long_spread,-2.5540794789417554,0.08035200852432531,1.1213828159107413,182.34,43.26,178.37,41.09,54,-259,347.64999999999867,0.016514890241179563,1,success
14,PNC/TFC,Banks,2025-10-17,2025-10-21,long_spread,-2.4292579047147753,-3.2311026508729976,1.1213828159107413,179.4,42.6,181.91,43.83,55,-263,-185.43999999999966,-0.00880080490536665,2,stop_loss
15,PNC/TFC,Banks,2025-10-21,2025-11-18,long_spread,-3.2311026508729976,-1.6871562352288605,1.1213828159107413,181.91,43.83,180.08,44.34,54,-255,-228.87000000000046,-0.010898680415375605,20,timeout
16,PNC/TFC,Banks,2026-01-16,2026-01-20,short_spread,4.342090944981458,4.161974270747887,1.1213828159107413,223.18,49.99,220.96,49.14,-44,224,-92.72000000000037,-0.004411524012165014,1,stop_loss
17,PNC/TFC,Banks,2026-01-20,2026-01-21,short_spread,4.161974270747887,3.6363360231674324,1.1213828159107413,220.96,49.14,225.49,50.02,-45,228,-3.209999999999468,-0.000151793719428436,1,stop_loss
